{'短评内容': '环境各方面都不错', '短评打分': 5}
{'短评内容': '酒店不错，唯一不愉快的就是走的时候问前台有不有停车票，前台说免费的，只需要登记一下房间号和车牌，不用停车票。结果走到门口，门卫要收取11块停车费。我说住在里面的，门卫说要停车票才不收钱。结果还是给了11块。冲这个打了低分。', '短评打分': 4}
{'短评内容': '不错，环境好，卫生好！', '短评打分': 5}
{'短评内容': '很好，很舒服', '短评打分': 5}
{'短评内容': '酒店硬件设施不错，配有慢回弹的枕头和床垫，4个枕头，比如x,7x这种连锁酒店的档次要好一些，140的价位值得推荐', '短评打分': 5}
{'短评内容': '非常好的商品！非常好的商品！', '短评打分': 5}
{'短评内容': '住的安心住的放心，非常好，正在装修点赞', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '价格有点贵，', '短评打分': 5}
{'短评内容': '不错的，', '短评打分': 5}
{'短评内容': '不错的，', '短评打分': 5}
{'短评内容': '一般般的吧', '短评打分': 5}
{'短评内容': '测试测试。。。', '短评打分': 5}
{'短评内容': '前台顺没有早餐 最后又送了我两张券，让人不爽', '短评打分': 5}
{'短评内容': '࿏༉还ོ༙༙⃐行ོཽ༙̤̮………………ଓ⁾⁾࿐', '短评打分': 4}
{'短评内容': '一直都住这个酒店，很干净卫生，很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '本来只打算住一天，没想到又延迟了一天，就继续定了，可能之前的房间是周末优惠吧，第二次预定多了二十块钱，同一间房，含早餐，虽然没去吃，不过还是还是挺实惠', '短评打分': 5}
{'短评内容': '就在火车站旁边，看起来还不错，网上预定的，价格简直不能再优惠，前台人员态度也很好，房间也足够大，各种设施都齐全，总之就是赞赞赞！', '短评打分': 5}
{'短评内容': '房间太小，墙壁还掉皮。', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '近火車站，位置還算便利，房間還可以，價錢算不錯了', '短评打分': 3}
{'短评内容': '还可以滴，比较安静，离火车站也近，出入方便好评', '短评打分': 5}
{'短评内容': '不错。', '短评打分': 5}
{'短评内容': '离火车站很近，出站后一分钟就走到了。酒店房间还挺新，也很干净，不错！', '短评打分': 5}
{'短评内容': '还不错啦  出差交通很方便 靠近火车站 但是不吵闹', '短评打分': 5}
{'短评内容': '房间环境不错，貌似才装好哦。服务态度还好。', '短评打分': 5}
