{'短评内容': '一直都出汗就非常好京东的价格也很低', '短评打分': 5}
{'短评内容': '高级大床房空间不大，卫生间是开放式的，卫生服务都挺不错。电视老旧。一楼有亚惠美食', '短评打分': 5}
{'短评内容': '房间环境不错，楼下就是美食。。。', '短评打分': 5}
{'短评内容': '一般一般一般一般一般一般一般一般一般一般一般一般', '短评打分': 5}
{'短评内容': '我的发票什么时候给我开呀？京东商城你的服务呢？', '短评打分': 3}
{'短评内容': '不错，吃饭办事坐车都方便', '短评打分': 4}
{'短评内容': '还行吧 卫生有待改善', '短评打分': 4}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '房间设施比较陈旧，周边环境还算可以，出门不远就有很多吃饭的馆子，离地铁站比较近，总体来说还是比较方便的', '短评打分': 3}
{'短评内容': '酒店不错，性价比挺高', '短评打分': 5}
{'短评内容': '。。。。。。。。。。。。。。。。。。。。还行', '短评打分': 4}
{'短评内容': '好，服务好，环境好，住的也舒服', '短评打分': 5}
{'短评内容': '地点离我开会的地方很近，里面的设施很好，服务人员的态度也很好，很干净很卫生，还有就是睡得很舒服，房间里面很温暖', '短评打分': 4}
{'短评内容': '整体还是不错的，交通也比较方便，性价比比较高', '短评打分': 5}
{'短评内容': '总的来说还是不错的！', '短评打分': 4}
{'短评内容': '真的好小阿，吃饭不方便，没注意到不远就是锦江之星，要不就住那了', '短评打分': 1}
{'短评内容': '很好的酒店，各方面都很满意！说句题外话，在大连开车真不容易！', '短评打分': 5}
{'短评内容': '酒店位置还好，在主干道旁边的小路上，白天停车有点难，晚上还好。前台服务态度挺好，房间里也都很干净，很满意！', '短评打分': 5}
{'短评内容': '位置一般，房间太小，卫生打扫的不是很干净，服务员态度不错', '短评打分': 1}
{'短评内容': '房间整体感觉不错 下次还会选择入住', '短评打分': 3}
{'短评内容': '家庭房很干净明亮！标准的配置，很喜欢。\n地理位置也不错，不过大连也不大。', '短评打分': 5}
{'短评内容': '从地方来说挺好的，到市内各个景点都不算远，差不多是中间的位置，房间虽然不大但住起来很舒服，特别是浴室的水很大，洗澡很痛快。\n从价格还是来说还可以，有比他更便宜的，但便宜不了几十块，汉庭怎么也是全国连锁还是更安全一些。', '短评打分': 5}
{'短评内容': '性价比很高，房间很干净，地理位置也很好，逛街很近', '短评打分': 5}
{'短评内容': '位置很好，从火车站坐公交10分钟就到啦，离船站也很近，酒店周围有很多超市和饭店，室内环境很好。', '短评打分': 5}
{'短评内容': '酒店比较干净，服务比较周到，房间较小，但是一个人住大床房还是不错的。PS:我喜欢这里的大床房', '短评打分': 3}
{'短评内容': '卫生间比较干净，到了晚上也很安静，外面就是公车站，里购物的地方都挺近的。网速也不错，十分推荐而且不会让你叫过多的押金', '短评打分': 5}
{'短评内容': 'o                               k   ', '短评打分': 5}
{'短评内容': '地理位置很好，出去酒店外面就是很漂亮的街道，房間也很乾淨，非常推薦。\n', '短评打分': 5}
{'短评内容': '给免费升了房间，自助式的早餐。自带的强生100ml装沐浴液不翼而飞。', '短评打分': 5}
{'短评内容': '住过几次 很干净 环境很好 位置也不错 值得推荐', '短评打分': 5}
{'短评内容': '靠近人民路，有点吵，负责旅游咨询的妹纸很漂亮', '短评打分': 3}
{'短评内容': '位置挺好，房间设施一般，对得起这个价格，服务态度还行吧', '短评打分': 5}
{'短评内容': '住的特价房，不错，虽然小点，但是干净整洁，住的很舒服，以后经常去。', '短评打分': 3}
{'短评内容': '很舒服，免费升级的大床房。服务人员都很热情，很和善。就是午餐太贵，一个套餐48元。', '短评打分': 5}
{'短评内容': '房间非常的干净，简洁，服务态度还需要提高，早餐还可以。', '短评打分': 5}
{'短评内容': '汉庭有即便宜又好的家庭房真好，给一家3口旅游的人们带来了很多方便。下次去还是住这里', '短评打分': 5}
{'短评内容': '挺好的啊，很安静，位置也不错，周围有很多吃饭的地方，服务态度也很好。就是早餐不好吃，今早不到9点下去，粥是凉的，还兑了好多水。菜都没了。鸡蛋是凉的。没有锦江之星人性化，早餐什么时候去吃都是热呼呼的。', '短评打分': 5}
{'短评内容': '真的很不错，各方面都可以，服务也很周到。', '短评打分': 5}
{'短评内容': '服务好，交通也很方便', '短评打分': 3}
{'短评内容': '＋入住当日停水，网络也不好用，总体还行', '短评打分': 3}
{'短评内容': '酒店人员的服务态度都很好，感觉很温馨。房间布局也很喜欢，有大大的窗子和白白的纱帘。住了4天，很舒服~', '短评打分': 5}
{'短评内容': '不错，很干净，感觉挺好', '短评打分': 3}
{'短评内容': '很好的服务 很好的环境 一直支持汉庭酒店', '短评打分': 5}
{'短评内容': '房间很干净 服务业很周到 交通便利 下次还会入住', '短评打分': 5}
{'短评内容': '非常好，服务很好，房间很干净，明天都打扫，就是隔音不好，晚上会被吵醒', '短评打分': 5}
{'短评内容': '房间还可以，声音不大，可能不是旅游旺季，比较安静，有早餐，不错。', '短评打分': 5}
{'短评内容': '挺好，住的挺舒服的，                   下次还会来住汉庭', '短评打分': 5}
{'短评内容': '位置啊~什么都不错，也蛮干净的~服务态度也好~', '短评打分': 5}
{'短评内容': '感觉很不错，服务员很热情，很有礼貌，由于到店较晚没有标准间，免费升级套间，环境还不错。', '短评打分': 5}
