{'descr': '环境不错，看样子是刚装修的', 'star': 5}
{'descr': '环境不错', 'star': 5}
{'descr': '房间新装修的很干净，热水很快，床上很干净，上网速度快，前台服务态度好。晚上有保安巡楼很安全', 'star': 5}
{'descr': '预订方便，价格优惠，酒店安全放心，酒店位置非常好，位置好，非常好找，交通也很方便，对面就是机场大巴站，地理位置繁华，好开心。装修也很温馨，很好，客用设施设备齐全，房间很大，床上用品干净，布草很舒服，蛮喜欢的！大堂宽敞，很大气，很明亮，走廊干净，墙面也很干净，地毯很新，走廊消防设备完备，都配有灭火器，每个走廊都有摄像头，很安全，卫生间很大，很干净，很安静，通风好，无异味，配有吹风机，浴巾是封包的，很', 'star': 5}
{'descr': '修的很干净，热水很快，床上很干净，上网速度快，前台服务态度好。晚上有保安巡楼很安全', 'star': 5}
{'descr': '55', 'star': 5}
{'descr': '55', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '房间不错，很干净，面积也可以', 'star': 5}
{'descr': '房间好小，选价位低点的高档型酒店比这类连锁酒店性价比高很多，窗锁坏了还好是5楼，女性出行安全系数不够高', 'star': 3}
{'descr': '第二次来这边住，还是选择住七天，周围交通很便利，环境也很好，购物很方便，炒鸡棒！下次来的时候还是会选择住这里', 'star': 5}
{'descr': '一般般', 'star': 4}
{'descr': '出来办事，住这个还是挺方便的，离金沙江地铁站近！', 'star': 5}
{'descr': '去华师大开会，订了这里。位置非常好，过马路就是华师大，旁边是购物中心。酒店两边有小吃店和便利店。酒店房间比较小，没有窗户通风。只有浴巾，没有洗漱用品。不过这个对我无所谓。电热水壶看着不干净，没敢用。', 'star': 4}
{'descr': '主要是考虑离华师大很近，地铁13号线也很近，环球港就在附近，地理位置不错。但房间有点偏小，太过局促，造成房间空气稍差一些。周边道路汽车噪音有点大，总是在开窗和不开窗犹豫。总体看，在华师大周边类似的快捷酒店之中属于比较好的了，适合短期住宿。', 'star': 4}
{'descr': '不错，还是很方便，干净卫生，交通方便。', 'star': 5}
{'descr': '不错，还是很方便，干净卫生，交通方便。', 'star': 5}
{'descr': '交通和地段都非常好，可是酒店的设施实在是太陈旧了！', 'star': 4}
