{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '环境安静，网络不太好，联不上。', '短评打分': 4}
{'短评内容': '暖气没感觉，卫生间热水不给力、下水道不通畅、脏！很久没有住过这么糟糕的酒店了！但愿酒店以后会好点儿！', '短评打分': 3}
{'短评内容': '太不好找了，环境不好，酒店里面设施还好', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店比较老，但服务还可以，内部餐厅比较实惠，饭菜很好', '短评打分': 3}
{'短评内容': '超垃圾的管理，登记的二十四小时房，刚睡下服务员就呱呱敲门，说时间到了，让退房，服务员一点素质都没有，和土匪没啥区别，厕所连纸也没有，白毛巾快成黑毛巾了，住的怕怕，马桶上还有血渍，唉，超垃圾的一次住宿', '短评打分': 1}
{'短评内容': '不错哦，房间特别大，又安静', '短评打分': 5}
{'短评内容': '亲...偏了点', '短评打分': 3}
{'短评内容': '酒店位置太偏僻，不过公交还比较方便，房间也太大，适合做会议室。', '短评打分': 3}
{'短评内容': '楼道不好找服务员，电脑没有网', '短评打分': 4}
{'短评内容': '不错，房间设施挺好的，又干净，真心的不错', '短评打分': 5}
