{'短评内容': '，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '房间灯不够亮', '短评打分': 3}
{'短评内容': '服务员死脑筋房间灯不够亮', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '位置很方便，房间特别干净，性价比高，前台服务也很热情，早餐自助餐，品种挺多的，尤其喜欢现场煮的馄饨和煎鸡蛋，停车场很大，停车方便，总体感觉很不错，选对了，推荐', '短评打分': 5}
{'短评内容': '地理位置非常好，交通方便，周边吃东西地方也多，在一层餐厅吃过一次，物美价廉，早餐必须赞一个，品种多，质量好，非常棒，房间干净卫生，有窗户，通风好，特别要说一下，非常安全，有专门的安检台，对客人安全特别负责，住的放心，服务到位，下次还会来的', '短评打分': 5}
{'短评内容': '房间挺大！也挺干净！早点最好！总体不错', '短评打分': 5}
{'短评内容': '哈哈哈哈哈！不错不错不错！', '短评打分': 4}
{'短评内容': '还可以！总体感觉还不错！！', '短评打分': 4}
{'短评内容': '什么宾馆，退都不给退，黑店', '短评打分': 1}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '隔音太差，隔音太差，隔音太差！', '短评打分': 4}
{'短评内容': '服务态度不错', '短评打分': 4}
{'短评内容': '酒店位置很好，房间内要用的东西比较齐全，桌子看上去有点旧了，不过挺干净的，床软软的也比较舒服，唯一感觉不好的是枕头，2个高了，1个又低，连睡了2天感觉颈椎有点不舒服。酒店服务也不错。房间还有雨伞备用，周五出去的时候下雨了，懒得上房间去取，也可以在大堂内凭房卡借伞，感觉挺满意的，吃东西很方便，既可以在酒店内就餐也可以到酒店外吃，酒店周围各种不同的餐馆、小吃店教多，还有养生的美容的，想购物的话也有较大', '短评打分': 5}
{'短评内容': '酒店位置很好，房间内要用的东西比较齐全，桌子看上去有点旧了，不过挺干净的，床软软的也比较舒服，唯一感觉不好的是枕头，2个高了，1个又低，连睡了2天感觉颈椎有点不舒服。酒店服务也不错。房间还有雨伞备用，周五出去的时候下雨了，懒得上房间去取，也可以在大堂内凭房卡借伞，感觉挺满意的，吃东西很方便，既可以在酒店内就餐也可以到酒店外吃，酒店周围各种不同的餐馆、小吃店教多，还有养生的美容的，想购物的话也有较大', '短评打分': 4}
{'短评内容': '很好很舒服，喜欢', '短评打分': 5}
{'短评内容': '中等水平', '短评打分': 4}
{'短评内容': '服务热情周到，环境良好，交通方便。', '短评打分': 5}
{'短评内容': '我们的生活方式，我们的生活方式，', '短评打分': 4}
{'短评内容': '来门头沟两三次了，都住的这里，这里还是很不错的，虽然设施老了些，但是卫生和服务都是很好的，宾馆一楼还有吃饭的地方，不远还有物美，那里也很多小吃，买东西也方便。', '短评打分': 5}
{'短评内容': '酒店很一般，价格倒还行，就是有些旧，但是地理位置很不错，出行还算方便的。', '短评打分': 5}
{'短评内容': '酒店很一般，价格倒还行，就是有些旧，但是地理位置很不错，出行还算方便的。', '短评打分': 5}
{'短评内容': '酒店很一般，价格倒还行，就是有些旧，但是地理位置很不错，出行还算方便的。', '短评打分': 5}
{'短评内容': '小标间还可以 比想象中大 环境挺安静的 设备齐全', '短评打分': 5}
{'短评内容': '不错的酒店，房间不算小，卫生也还好，价格稍微贵了点。', '短评打分': 5}
{'短评内容': '酒店还可以,住宿条件一般,菜的味道不错,就是价格偏高。', '短评打分': 3}
{'短评内容': '外观比较大气，房间有点不搭调了，然后房间的隔音效果真不咋滴，前台服务员态度一般，退房时间12点，害我背个大包去考试，太不给力了~~', '短评打分': 1}
{'短评内容': '这家酒店规模较大，房间干净，只是临街一面噪音大', '短评打分': 3}
{'短评内容': '简直就是黑店黑店黑店，打死也不会再去入住，\n，', '短评打分': 1}
{'短评内容': ' 酒店房间有点小，别的都不错', '短评打分': 3}
{'短评内容': '房间有点小', '短评打分': 3}
{'短评内容': '性价比很高的宾馆,房间很干净,整洁,美观,宽敞,明亮,很舒适,打九分', '短评打分': 3}
{'短评内容': '服务一般，设施一般。但周边环境和交通方便。', '短评打分': 5}
{'短评内容': '饭店环境很优雅安静 价位也比较适中 非常满意  下次有亲友来还会入住晨光！', '短评打分': 3}
{'短评内容': '靠马路边的房子晚上太吵！', '短评打分': 3}
{'短评内容': '房间不大但很干净，服务态度也很好。隔音一般，短期休息感觉不错！', '短评打分': 3}
{'短评内容': '洗澡水得放好久才热，不是我不想节约水，是凉水怎么洗澡？我在网上看到的是标准间是双人床，一进门单人床让我郁闷了好久。其他还好。', '短评打分': 3}
{'短评内容': '很干净的房间，浴巾厚实松软，床不是那种一般的软床，略有些硬，睡得很舒服', '短评打分': 5}
{'短评内容': '挺好的，属于京煤集团的嘛，由国有资产在里面，条件肯定不错，推荐。', '短评打分': 5}
