{'短评内容': '位置还可以啊', '短评打分': 4}
{'短评内容': '不错的服务', '短评打分': 5}
{'短评内容': '好吧，挺好的', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '没有早餐，位置在市中心，吃东西 停车方便', '短评打分': 5}
{'短评内容': '没窗户 房间实惠', '短评打分': 4}
{'短评内容': '。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '房间一大一小二床，还不错', '短评打分': 5}
{'短评内容': '还行交通方便', '短评打分': 5}
{'短评内容': '环境还可以，就是房间有点小', '短评打分': 5}
{'短评内容': '性价比较高 就是对面的KTV 偶尔会影响睡眠', '短评打分': 5}
{'短评内容': '明明住了4天，1号一5号，楷我油，居然之前只算我住2天，还好至电携程客服，把原来的又补回来了，返利70呢！还能吃顿好的呢，希望酒店确认人员下次别工作糊弄人，把人当傻瓜。这种错误不应该。', '短评打分': 4}
{'短评内容': '一如既往的好，每次来都住。但是现在不能预授权了，不知怎么回事。其它都好', '短评打分': 5}
{'短评内容': '一直住这家，这次帮别人订的。', '短评打分': 5}
{'短评内容': '很好，一直这家', '短评打分': 5}
{'短评内容': '环境好服务好 前台美！', '短评打分': 5}
