{'短评内容': '少了日式的内涵，其它还好。', '短评打分': 5}
{'短评内容': '附近好吃的很多还有便利店，交通方便。哈哈哈哈哈哈服务态度真的比五星酒店还好', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '非常不错哦', '短评打分': 5}
{'短评内容': '东西不错，很好，物流很快，喜欢', '短评打分': 5}
{'短评内容': '除了公共卫浴这点，其他还是不错的，挺整洁的', '短评打分': 4}
{'短评内容': '到青岛感受到了日本出差的待遇，酒店门口给人感觉很别具一格，进门服务卫生以及细节中的画面很感人，大家看图吧，很值得说的就是料理做的太棒了，被酒店服务感动下专门在酒店吃了晚餐，太地道了，期待明早的早餐哦，以后来青岛都住这家，很满意', '短评打分': 5}
{'短评内容': '很有日式风格的旅馆：整体入住的感觉很特别感觉在日本一样，最普通的房间都很大，而且现在淡季200不到还含双早的价格很划算。不过有些陈旧的感觉，细节部分有些破损如地板、壁纸等没有维修。早歺点的是日式，但完全没有和风的口味，还误以为是中式的。最近老板也由日本人换成了中国人，还是希望可以继续维持日式的感觉与舒适度！', '短评打分': 5}
{'短评内容': '来青岛那么多次，第一次住这里，非常好的酒店，服务，设施，卫生都很好，以后还会住这里', '短评打分': 5}
{'短评内容': '服务很好，就像到了日本人家里一样，进门需要换鞋，早餐可以在卧室里吃，很暖和。', '短评打分': 5}
{'短评内容': '环境很好，整洁干净，虽然不大但是非常有日式风味，精致的细节能看出店家很用心地在经营，特别是早餐丰盛又别致，性价比超高！！', '短评打分': 5}
{'短评内容': '居住一流 比五星还好 怀石料理80分吧 孩子很高兴 服务一流', '短评打分': 5}
{'短评内容': '确实是日式的酒店 里边和在日本时住的一样 卫生间完全是日本酒店配置 周围环境一般', '短评打分': 5}
{'短评内容': '很接近我在日本住过的酒店。无论是服务还是设施或是早餐。都原味还原了日本的风格。值得推荐', '短评打分': 5}
{'短评内容': '不错不错，很好很好，服务很好，很ok啊，就是周边一般', '短评打分': 3}
{'短评内容': '对于自驾游来说其实位置不算偏 和最繁华地段距离无非七八公里 卫生和服务态度基本完美 想要体验一下异国风情还是可以来一次的 很有新鲜感', '短评打分': 3}
