{'短评内容': '环境不错服务态度很好', '短评打分': 3}
{'短评内容': '第一次来、很好', '短评打分': 3}
{'短评内容': '环境挺好的，性价比比较高。装修比较新。地理位置交通也比较方便', '短评打分': 5}
{'短评内容': '位置挺好，价格便宜。新装修，房间性价比高。', '短评打分': 5}
{'短评内容': '酒店还可以，跟普通的商务酒店差不多，到雁荡景区也方便，就是国庆去的，贵了点。', '短评打分': 5}
{'短评内容': '那啥，其实不是我去住的，帮同学订的，不过据说也不错哦，推荐下吧~~', '短评打分': 5}
{'短评内容': '住宿条件尚可，餐饮一般。', '短评打分': 3}
{'短评内容': '介绍中说是房间有电脑可以上网，我才定的，结果来了根本没电脑，失望！', '短评打分': 3}
{'短评内容': ' 酒店蛮干净 饭菜味道也蛮好 只是离景区有点远', '短评打分': 3}
{'短评内容': '酒店还好，洗澡水很好，水很大。', '短评打分': 3}
{'短评内容': '满屋烟味，象个情人旅馆，床不舒服，隔音不好。', '短评打分': 1}
{'短评内容': '有点吵,晚上大车来来往往的,早餐服务还不错', '短评打分': 3}
{'短评内容': '酒店离景区稍微有点远，感觉景区里边的酒店或许会更安静一些，卫生基本上还可以，房间隔音比较差，晚上隔壁刚好有一帮人喝酒，那是相当的吵。。。！', '短评打分': 1}
{'短评内容': '地理位置不错，周边环境比较繁华。服务态度还可以。房间比较干净，设施齐全，就是我去的那两天电视效果比较差。网速也稍显慢一点。总体来说还是很不错，特别是圆床房，房顶还有面大镜子，比较有情趣，非常适合情侣。个人认为性价比很高，下次有机会还会选择这家。', '短评打分': 5}
{'短评内容': '不能刷卡，空调效果不好！热水供应不太好！服务态度不错！', '短评打分': 3}
{'短评内容': '经济，实惠。环境非常好。出行方便。离雁荡山非常近。适合去山上玩的朋友住。朋友住了感觉很不错', '短评打分': 5}
{'短评内容': '卫生差些，服务一般，价格偏高，设施陈旧了些。', '短评打分': 1}
{'短评内容': '卫生一般,卫生间水龙头快掉了,淋浴室漏水严重,洗完澡整个地上全是水地砖很滑,很不安全.', '短评打分': 3}
{'短评内容': '很差', '短评打分': 3}
{'短评内容': '  房间太小不是很干净', '短评打分': 5}
{'短评内容': '+', '短评打分': 5}
{'短评内容': '是为朋友预定的，朋友住了之后很满意，挺干净的，饭也很好吃。觉得性价比不错。', '短评打分': 5}
{'短评内容': 'The hotel is fine and location is good.', '短评打分': 3}
{'短评内容': 'The location is good and breakfast is OK', '短评打分': 3}
{'短评内容': 'The location of the hotel is good but other is fair.', '短评打分': 5}
{'短评内容': '酒店的位置不错，到景区很方便，很适合旅游人士。', '短评打分': 5}
{'短评内容': '位置不错 在车站旁边 其他就马马虎虎了', '短评打分': 1}
{'短评内容': '设施还算比较齐全，也比较新，洗漱用品都提供，质量还不错，感觉挺好的。', '短评打分': 5}
{'短评内容': '房间比较干净，以暖色为主，让人感觉很温馨，出行也很方便，周边有公交车。', '短评打分': 5}
{'短评内容': '不能刷卡，餐厅和住房是分开付款，我2月17日在楼下餐厅吃饭，一盆松糕算78元经过交涉改18元。建议住温州，动车30分钟就到雁荡山。', '短评打分': 1}
{'短评内容': '卫生条件很好很干净，设施完善，地理位置交通还方便，服务热情后到，性价比一般', '短评打分': 3}
{'短评内容': '服务挺热情的,吃饭也很方便,离汽车站很近,很容易找到', '短评打分': 5}
