{'短评内容': '早晨6点就没了。。。', '短评打分': 5}
{'短评内容': '环境好，清新幽静，卫生也好，被子床单都干净整洁，出入要刷身份证，虽不是很方便，但是住得放心，安全感强。这里吃饭喝茶也很方便，入住的客人很多是公司或公务员或学生，客户群体较有素质。', '短评打分': 4}
{'短评内容': '毕竟就是这个价位，差不多就行了。', '短评打分': 2}
{'短评内容': '设施旧，位置还可以，夜晚楼上动静大', '短评打分': 3}
{'短评内容': '周围环境非常赞，可是酒店装修太老了', '短评打分': 5}
{'短评内容': '很好，体验超级棒，下次还来', '短评打分': 5}
{'短评内容': '房间较大，晚上比较安静。人不多 但吃饭人超多', '短评打分': 5}
{'短评内容': '服务很一般。', '短评打分': 3}
{'短评内容': '酒店旧了，服务一般，早餐设置时间限制，只有周边环境还好。', '短评打分': 3}
{'短评内容': '挺不错的，满意', '短评打分': 4}
{'短评内容': '安静整洁，依山傍水，酒店外的景色优美，酒店内设施还算齐全略显陈旧卫生还可以，早餐在酒店外面的餐厅好热闹', '短评打分': 5}
{'短评内容': '安静整洁，依山傍水，酒店外的景色优美，酒店内设施还算齐全略显陈旧卫生还可以，早餐在酒店外面的餐厅好热闹', '短评打分': 5}
{'短评内容': '  一如既往的好，散步 吃饭 已经习惯了这个区域的生活.', '短评打分': 5}
{'短评内容': '一如既往的好，散步 吃饭 已经习惯了这个区域的生活', '短评打分': 5}
{'短评内容': '酒店位置很好，前台客服服务态度很好，房间干净整洁。交通比较方便，客户反映还不错，下次还会选择此酒店。', '短评打分': 5}
{'短评内容': '清洁大婶晚8点多还在走廊吸尘，吵到不行；房费含早餐但前台办理入住时没有主动提供早餐券； 酒店明确写有免费定点接送 真的要用了却被告知司机休息没人开；机场大巴在花园酒店只有下客，必须要到皇冠假日酒店才行。对这个国营老饭店的服务真是吐槽到无力。', '短评打分': 3}
{'短评内容': '住的行政房服务，卫生和环境都很棒，就是房间设施落后了些，比如空调没有制热，晚上稍冷；洗浴花洒该换了。。。总体4星吧', '短评打分': 5}
{'短评内容': '内环境还行', '短评打分': 3}
