{'短评内容': '不推荐旅游和公务出差的人去', '短评打分': 4}
{'短评内容': '早餐很好 18元', '短评打分': 3}
{'短评内容': '早餐很好 18元', '短评打分': 3}
{'短评内容': '环境卫生一般，不隔音，洗澡间没法用，感觉不值', '短评打分': 3}
{'短评内容': '居然没有暖气', '短评打分': 5}
{'短评内容': '订购京东下单，艺龙订房，中间接到短信价格与实际支付有误，问酒店说是艺龙订房，看不到价格，京东客服联系艺龙找不到原因，补偿40京豆，没有影响使用。', '短评打分': 5}
{'短评内容': 'goooooooooooooood', '短评打分': 5}
{'短评内容': '还好吧。', '短评打分': 5}
{'短评内容': '这个价位还可以', '短评打分': 5}
{'短评内容': '晚上很安静，楼下便利店，很方便', '短评打分': 5}
{'短评内容': '周边交通确实方便。但是房价总是变幻莫测，连续3周住了3次，3个价', '短评打分': 4}
{'短评内容': '第二次住，感觉性价比高，酒店位置交流方便又很安静。美中不足的就是设施比较陈旧，淋浴蓬头，衣架，椅子都问题。无线网速一般。', '短评打分': 4}
{'短评内容': '客房舒适整洁 交通便利', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '服务非常好雾霾天气联合商家赠送雾霾口罩贴心好好的', '短评打分': 5}
{'短评内容': '位置很好，回北京临时捞脚，大门在农业部这边，需要绕下才能进去，住进第一个房间，进门连拍3个蟑螂，与前台沟通换了隔壁房间才一切OK', '短评打分': 4}
{'短评内容': '酒店地理位置好，离团结湖地铁站B口走路就3分钟。离农业部也就3分钟的路程。出门就有超市和吃饭的地方，很方便。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '设施略差，毛巾有味道', '短评打分': 3}
{'短评内容': '房间虽然不大，但很干净！边上餐饮很多！！！！！！！！', '短评打分': 5}
{'短评内容': '在北京还算是不错的酒店，标准间比宜必思大多了', '短评打分': 5}
{'短评内容': '酒店简洁干净实用,安静且离地铁站近,推荐入住.\r\n薛彦晨', '短评打分': 3}
{'短评内容': '酒店干净整齐，服务态度也很好，交通也很便利。', '短评打分': 5}
{'短评内容': '酒店比较干净，服务也不错，比较安静,值得入住！', '短评打分': 5}
{'短评内容': '房间挺大，卫生状况很好，早饭也不错。交通也很便利，出门不远就是地铁10号线。', '短评打分': 5}
{'短评内容': '给朋友定的，据说挺不错的！在这个价位比较超值！', '短评打分': 5}
{'短评内容': '酒店的咖啡机怎么没了？这个店的咖啡太差了。希望专为品尝汉庭咖啡的客人别住这家店。', '短评打分': 1}
{'短评内容': '非常非常非常的推荐，说实话，以前从没考虑过这家酒店，但是这次住过之后觉得设计的非常合理，人性化，被子很温暖蓬松，床垫也很棒，枕头有两个，有一个还是双面的，有一面是荞麦，非常贴心，有吹风，暖气、热水很充足。餐厅的饭也很不错，服务态度都非常棒，住了四天，以后出行会考虑汉庭的。', '短评打分': 5}
{'短评内容': '位置好，离地铁近，但房间较小。闹中取静，环境还可以', '短评打分': 5}
{'短评内容': '地点很好，离三里屯，燕莎都挺近的。酒店不在路边，环境较好，不吵，室内空间也较大。总体感觉不错。', '短评打分': 5}
{'短评内容': '硬件条件还可以,地理位置也,就是价格有点小贵', '短评打分': 5}
{'短评内容': '地理位置不错，交通方便，设施比较人性化，卫生也不错。', '短评打分': 5}
{'短评内容': '卫生、方便，快捷，下次还来，凑20个字嗨嗨嗨嗨挺难', '短评打分': 5}
{'短评内容': '，酒店位置交通便利，离农业部近办事方便，住的更好的房型，相对其他经济酒店，价格显贵。服务尚可，早餐不贵但一股', '短评打分': 3}
{'短评内容': '环境很不错。。位置也很好。。。以后还会去', '短评打分': 5}
{'短评内容': ' 总体感觉很好。大堂接待亲切、专业。房间干净、舒服。还会选择汉庭快捷的。', '短评打分': 3}
{'短评内容': '交通很方便，出门就是地铁，饮食很多选择,。', '短评打分': 5}
{'短评内容': '交通方便,宾馆安全,卫生.只是大床房有些挤,房间较小.', '短评打分': 5}
{'短评内容': '很方便', '短评打分': 3}
{'短评内容': '一般般                \n性价比不是很高  \n位置倒不错 \n出地铁就是  \n感觉比一般的汉庭要差点', '短评打分': 1}
{'短评内容': '离三里屯好近，方便实惠', '短评打分': 3}
{'短评内容': '没有高级大床房了 只有普通大床房 房间在二楼 一进门一股霉味 房间也很小 地理位置是不错 就是打车非常难打 但是边上就是地铁团结湖站 还算ok~', '短评打分': 1}
{'短评内容': ' 第一感觉还不错，房间挺满意的', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '很不错！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '还不错，位置不错，房间小了点。到的时候很迟了，就剩下一间房间', '短评打分': 5}
{'短评内容': '感觉还行。价格便宜啊。推荐一个。位置也挺方便的。', '短评打分': 5}
{'短评内容': '客户来意大利使馆办签证，住着儿就是为了方便，但是他在通广大厦厘米阿妈，停车极难，不会再去第二次了', '短评打分': 1}
{'短评内容': '房间小，潮湿，三楼的房间，诡异的是窗外竟然是楼外面的走廊，太不安全了。室内的洗手兼淋浴间太小了，一共也就2平米，洗完澡座便器就全湿了。唯一优点是位置不错，性价比不是很高。', '短评打分': 1}
{'短评内容': '我住的是周末百元房，房间很大，很划算，也很安静。觉得很值，推荐该酒店。', '短评打分': 5}
{'短评内容': '该酒店环境比较好，离三里屯也比较近，就隔音不好，旁边那个声音太大！', '短评打分': 3}
{'短评内容': '店内环境还行，秉承汉庭的一贯风格，性价比不错，主要是离一些大使馆很近，办签证的口以考虑这里。。', '短评打分': 5}
{'短评内容': '早餐不错，交通挺方便，卫生环境也不错。，整体感觉还不错。', '短评打分': 5}
{'短评内容': '很好，干净整洁！！才200元，距离使馆很近很方便！', '短评打分': 5}
{'短评内容': '还不错。房间和卫生间是一体的。一定小心，地上有水非常滑。', '短评打分': 3}
{'短评内容': '在院内，相对比较安静，环境也还可以！服务质量也可以！', '短评打分': 5}
{'短评内容': '位置很好，离地铁站仅50米，院内停车也方便，早点较实惠。\n房间较小，隔音差，房间在电梯旁，从天不亮开始，电梯就基本没消停过，再加上楼道的噪音，早晨基本就别想睡。', '短评打分': 5}
{'短评内容': '卫生不错,房间大', '短评打分': 3}
{'短评内容': '环境不错，去周围使馆非常方便', '短评打分': 3}
{'短评内容': '就在团结湖地铁站对面，非常方便。去三里屯也很近。', '短评打分': 5}
{'短评内容': '长虹桥店位置非常好，出门就是团结湖地铁口，房间很干净', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '就在农业部边上，位置闹中取静，离三里屯近，挺干净的，不错。', '短评打分': 5}
{'短评内容': '卫生和所处的地理位置都不错，属于闹中取静，离三里屯很近。', '短评打分': 5}
{'短评内容': '汉庭长虹桥店位置非常好，出门就是团结湖地铁口，房间也很干净', '短评打分': 3}
{'短评内容': '里面设备，一般.........................', '短评打分': 1}
{'短评内容': '交通便利，离地铁团结湖站很近，周围有很多餐饮配套，不错的。', '短评打分': 5}
{'短评内容': '酒店距离各国使馆非常便捷，里地铁站又非常近，值得推荐。', '短评打分': 5}
{'短评内容': '因为特殊原因未能入住，却不退，还扣掉一晚的房费，实在是不合理~！', '短评打分': 1}
{'短评内容': '服务不错', '短评打分': 3}
{'短评内容': '设施在这个价位可以说非常的不错   交通也很方便  从团结湖东北口出来之后往回走到十字路口不要过马路，左转就能看到', '短评打分': 5}
{'短评内容': '帮朋友定的房间，朋友说不错，交通很方便，一出地铁就找到了~', '短评打分': 5}
{'短评内容': '位置好，交通方便，距离地铁站近。早餐还可以。', '短评打分': 5}
{'短评内容': '交通便利，各方面都不错，卫生间设置的不是很合理，太透明。另外，枕头不是很好用。', '短评打分': 5}
{'短评内容': '交通方便。环境很好、房间挺安静的！设施齐全！', '短评打分': 5}
{'短评内容': '地理位置非常好，离十号线团结湖站步行5分钟。 床上用品质量非常好，尤其是被子柔软舒适。服务态度好，连打扫卫生的都跟你微笑问好！', '短评打分': 5}
{'短评内容': '房间干净,设备很新. 距离使馆区非常近,性价比很高', '短评打分': 3}
{'短评内容': '靠近10号地铁站,团结湖站,步行2分钟就到. 距离德国大使馆很近,打车起步价就到,步行到德国大使馆25分钟.\r\n\r\n干净舒适', '短评打分': 5}
{'短评内容': '靠近团结湖地铁站，十分方便！价格比较便宜，服务态度好，性价比高！', '短评打分': 5}
{'短评内容': '酒店位置好，紧邻地铁10号线团结湖站B出口，出行很方便。酒店在院子里，也很安静', '短评打分': 3}
{'短评内容': '位置挺不错的。离三里屯5分钟走路！离地铁2分钟走路！价格还行。干净！', '短评打分': 5}
{'短评内容': '服务非常好，位置也不错。离地铁口非常近，可以转地铁到各大繁华场所，性价比很高', '短评打分': 5}
{'短评内容': '+交通方便离团结湖地铁站很近，很安静', '短评打分': 5}
{'短评内容': '交通方便，就是价格太高，房间太小。性价比低。', '短评打分': 3}
{'短评内容': '位置不错，房间的空间太小。还涨价，性价比不高。', '短评打分': 1}
{'短评内容': '服务比较好，除了前台MM总是要推销汉庭的金卡之外。', '短评打分': 5}
{'短评内容': '房间很大床很舒服，酒店的服务也很好，交通也很方便唯一不足的是房间浴室下水不是很通畅有积水。总体来说不错，推荐！', '短评打分': 5}
