{'短评内容': '华侨饭店应该是岱山最好的酒店了，还不错', '短评打分': 3}
{'短评内容': '环境不错，早餐很丰富！在岛上有这个酒店已经不错了！', '短评打分': 5}
{'短评内容': '酒店位置还不错，周五周六较难预定。。。。。。', '短评打分': 5}
{'短评内容': '设施有点陈旧，服务还可以，总体来讲在这种小地方，算OK吧。。。凑合着住了。。\n价格偏高，性价比不合适。。。住客可以自己考虑', '短评打分': 5}
{'短评内容': '很干净很不错。就是晚上楼下KTV的声音太嘈闹了。', '短评打分': 3}
{'短评内容': '很好，我很满意。很好，我很满意。很好，我很满意。很好，我很满意。很好，我很满意。很好，我很满意。很好，我很满意。很好，我很满意。很好，我很满意。很好，我很满意。很好，我很满意。很好，我很满意。很好，我很满意。很好，我很满意。', '短评打分': 5}
{'短评内容': '位于衷心地段，shopping 比较方便', '短评打分': 5}
{'短评内容': '岱山最好的酒店之一，不过没吃过饭，不知味道好不好。', '短评打分': 5}
{'短评内容': '据说是岱山县最好的酒店，硬件设施还凑活。最令人头疼就是半夜12点还能听见狂吼的歌声。问了下总台才知道，原来四层是KTV，总台大言不惭的说酒店隔音效果不好，可是我明明住在十层呀！难道酒店是纸糊的不成？一看KTV营业时间得到凌晨2点呢！弄得我一整晚没睡好！气愤之极！！！！！！！！！！！', '短评打分': 1}
{'短评内容': ' 不错。周末不涨价就更好。', '短评打分': 3}
{'短评内容': '设施陈旧，楼下ktv太吵了,噪音大，早餐不好，不怎么卫生', '短评打分': 1}
{'短评内容': '总体感觉不错，整洁舒适，早餐品种也很丰富', '短评打分': 5}
{'短评内容': '岱山最好的酒店了，设施都不错的。房间挺好。\n', '短评打分': 5}
