{'短评内容': '挺方便的，到店也不用交押金', '短评打分': 5}
{'短评内容': '马桶漏水。。。房间隔音差', '短评打分': 4}
{'短评内容': '挺不错的！', '短评打分': 5}
{'短评内容': '首先房间卫生不干净，床单上有毛发，床头的柜子上不干净，洗刷台上有茶锈印。再讲下室内设施，团购说是有小冰箱，挂衣柜，但是实际没有，房间里没有椅子，商务出差处理文件不能坐着。希望以后如实提供房间信息。', '短评打分': 3}
{'短评内容': '离儿研所挺近，还不错。', '短评打分': 5}
{'短评内容': '环境好，离儿研所非常近，很方便！赞！！', '短评打分': 5}
{'短评内容': '去北京儿科所非常放便。几分钟路程。没有来的急照相啊', '短评打分': 5}
{'短评内容': '不错，位置好', '短评打分': 5}
{'短评内容': '不好，脏，热水壶有酸味，没有赠送矿泉水', '短评打分': 3}
{'短评内容': '离儿童医院近，房间不怎么好', '短评打分': 5}
{'短评内容': '环境不错交通方便', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '替同事订的，反映办事能力地点较近，但周边环境太恶劣…都是俄语环境', '短评打分': 4}
{'短评内容': '老毛子太多', '短评打分': 3}
{'短评内容': '离使馆区很近，走路几分钟。从首都机场过来可以坐北京线到雅宝路下过天桥走过去。但是周边就比较一般了。只能说办事方便吧。', '短评打分': 4}
{'短评内容': '其他都好，唯一的问题是住了这两天居然不提供热水', '短评打分': 5}
{'短评内容': '在外地的时候不能上网，一直没来得及点评。当时订的是大床，但去后前台说没大床了，给换了两张单人床的房间，前台的服务还是很不错的，而且给换的房间自己也很喜欢，可能外国人住的多的原因，电梯里的香水味很浓，但总体来说，酒店还是很不错的，如果在附近办事情的话，可以选择住那儿。', '短评打分': 5}
{'短评内容': '还不错价格很优惠环境也不错', '短评打分': 3}
{'短评内容': '就一点离雅宝路近，其他没有一个地方好的。就10多平方，介绍说26。骗人啊。', '短评打分': 1}
{'短评内容': '难找。外围环境拥挤杂乱。服务态度一般。因为接俄罗斯人多，不太待见中国人。开发票不能当时出具，过后去取不但给开错日期了，还让我们自己处理。最后给写了个证明了事。去外交公寓12号楼办事的人比较方便，走走即到。去儿研所的房价也算ok。时间紧迫又要开发票的人就不要选了。早餐一般，服务态度还不错。', '短评打分': 1}
{'短评内容': '服务可以，客人俄罗斯人为主', '短评打分': 3}
{'短评内容': '还可以，交通便利。离首都儿研所雅宝路部比较近，客户步行就可以了。', '短评打分': 5}
{'短评内容': '位置好，服务不错。感觉还好。在雅宝路商业区。方便购物。', '短评打分': 5}
