{'短评内容': '停车方便，位置也好，上船方便', '短评打分': 4}
{'短评内容': '酒店位置较好，房间比较陈旧，无早餐供应，有停车场，就是位置少，临时住住凑合吧。', '短评打分': 3}
{'短评内容': '很好的酒店', '短评打分': 5}
{'短评内容': '很后悔 携程怎么和这样的酒店合作？', '短评打分': 1}
{'短评内容': '一个字 差  不说了差的不能再差', '短评打分': 1}
{'短评内容': '酒店环境及卫士都是非常差的，以后不会去住了。', '短评打分': 1}
{'短评内容': '地毯太脏了，下次一定不会去住，服务员态度也不好。', '短评打分': 2}
{'短评内容': '没什么可说的.........', '短评打分': 2}
{'短评内容': '有待提高，老板娘有点抠，离景点算近', '短评打分': 3}
{'短评内容': '还行吧，老板娘有点抠，环境一般', '短评打分': 3}
{'短评内容': '装修过很久了，不是很干净很旧，但是地理位置很好，价格适中', '短评打分': 3}
{'短评内容': '环境卫生不行，赶上小长假，乱加价，还好艺龙解决好了。', '短评打分': 3}
{'短评内容': '还不错。我是周末去的。所以价格高点，平时价格更优惠点。', '短评打分': 3}
{'短评内容': '住房条件差，以后不会再住这了', '短评打分': 2}
{'短评内容': '预定大床房，结果说只有标间，电话里告诉我给我把床拼起来，到了才发现还是分开。房间有蟑螂，整层楼就一个吹风机，最恶劣的是，早上7点都不到就开始装修，电钻声根本让人无法睡觉，吵死，强烈建议大家别去', '短评打分': 2}
{'短评内容': '湖景房面对美丽的千岛湖，感觉十分惬意！门口有1路公交，直接可到中心广场，挺方便。', '短评打分': 5}
{'短评内容': '物有所值！环境不错，卫生也可以值得入住。', '短评打分': 5}
{'短评内容': '又脏又破，房间边上还有个唱歌的，睡都睡不好！再也不会去住了！', '短评打分': 1}
{'短评内容': '极差。 酒店硬件不好就算了，软件更不行。服务员懒散，预定个车票提前一天退还要收50%的手续费。难怪司机都说这家宾馆是当地人都知道的又贵又差。后悔入住', '短评打分': 1}
{'短评内容': '酒店的设施还行，卫生状况还算可以，地理位置不错，开车到码头15分钟样子。', '短评打分': 5}
{'短评内容': '这种级别的酒店与房价很不相符，卫生间地面只要洗澡就水漫金山，很不舒服~', '短评打分': 1}
{'短评内容': '房间不太干净，桌子没有擦还有上一户留下的大片粘糊糊饮料的痕迹，卫生间有小强，床上有头发，牙膏没有盖儿不方便扎开使用，性价比超低', '短评打分': 3}
{'短评内容': '酒店位置很好，就在湖边，晚上散步就可以欣赏风景。房间干净，服务也还行，就是有的房间门锁不太好使。', '短评打分': 5}
{'短评内容': '还可以吧，洗澡水大下的慢，周边吃饭方便，隔音一般，网不好上，也没人管，昨天生意好啊，价格也不少550', '短评打分': 3}
{'短评内容': '房间不错，很大很干净，好评', '短评打分': 3}
{'短评内容': '一般般....................................', '短评打分': 1}
{'短评内容': '酒店位置不错。\n希望在服务方面继续加强。比如电吹风可以多备几台（叫了一晚都没叫到），卷纸应该换成大卷的。', '短评打分': 5}
{'短评内容': '地理位置很不错，就在湖边上，离码头也不远，坐公交可以直接到达。 房间还可以，就是卫生间太小，淋浴不是封闭的很容易在地上积水。但总体感觉还不错。', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '整体感觉不错，就是墙壁有点脏，服务态度一般', '短评打分': 5}
{'短评内容': '  不错', '短评打分': 5}
