{'短评内容': '不贵，房间比较多，以后还会来', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '基本不错，就是老旧了点', '短评打分': 4}
{'短评内容': '房间挺干净 简介 只是洗澡不方便 不是独立卫生间', '短评打分': 5}
{'短评内容': '不错，还可以。', '短评打分': 5}
{'短评内容': '房间卫生特别不错，清洁也很及时，设施非常好，周边环境也很安静 ，酒店服务人员态度也非常不错，有贵宾的感觉 ,下次我还会选择这家酒店。 ', '短评打分': 5}
{'短评内容': '距长江大桥不远，挺方便的，不错，卫生间干净卫生，在离这不远的地方有许多大排档，烤串很好吃，推荐大家去。', '短评打分': 5}
{'短评内容': '酒店还可以吧，总体来说！！！', '短评打分': 5}
{'短评内容': '房间不错，我很满意。', '短评打分': 5}
{'短评内容': '舒适', '短评打分': 5}
{'短评内容': '不错的。不错的不错的不错的不错的。不错的不错的不错的不错的。不错的不错的不错的不错的。不错的不错的不错的', '短评打分': 5}
{'短评内容': '挺好的不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间很大很大、大到只有一个床位、洗手间够亮敞、就像苹果七的磨砂黑一样亮、特别是毛巾、可以看透、还可以练习一指神功、周边环境很好、可以听听街道的呦呵声和麻将声', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '出差到这边附近、交通还算可以、房间还可以、就是设施不是很齐全、希望酒店可以添加一下、服务员比较敬业！', '短评打分': 5}
{'短评内容': '点餐可以送进房间，不错', '短评打分': 3}
{'短评内容': '还行，有很大进步，前台的小妹妹也很清纯美丽！', '短评打分': 3}
{'短评内容': '不错不错不错不错不错不错', '短评打分': 3}
{'短评内容': '价格有点稍高,进入房间七拐八转的有点像迷宫哦！房间卫生还不错!', '短评打分': 4}
{'短评内容': '环境不错，住的也好舒服，就是网络差点', '短评打分': 3}
