{'短评内容': '住得舒服，环境也挺不错的，一句话，', '短评打分': 5}
{'短评内容': '位置不错，在28楼，可以看贵港老城区，西江美景，个人认为唯一不好的就是没有一次性鞋子，总感觉怪怪的。', '短评打分': 5}
{'短评内容': '湿湿水啦', '短评打分': 3}
{'短评内容': '好，方便，路刚修好', '短评打分': 5}
{'短评内容': '早餐太简单了', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '第二次入住了，只要出差，就一定会来雅斯特', '短评打分': 5}
{'短评内容': '每次来贵港都住这里。很满意。', '短评打分': 5}
{'短评内容': '还可以，网上特价定的房，几乎都是这间。网定12点要退房，放毛巾浴巾在洗漱水槽下，下边架子生锈，毛巾有异味。', '短评打分': 4}
{'短评内容': '这酒店环境部错，位置也比较安静，而且高楼层。空间也比较大，是一次比较愉快的体验', '短评打分': 5}
{'短评内容': '住得很舒适，不错！', '短评打分': 5}
{'短评内容': '不错房间身干净也很大很舒适，前台服务很好，还送早餐', '短评打分': 5}
{'短评内容': '环境和装修豆不错，可以看到江边，然后也很安静', '短评打分': 5}
{'短评内容': '环境不错，房间宽敞', '短评打分': 5}
{'短评内容': '周边环境比较差', '短评打分': 4}
{'短评内容': '环境还可以', '短评打分': 4}
{'短评内容': '卫生还可以', '短评打分': 4}
{'短评内容': '酒店环境及服务都不错，酒店门口道路状况极差，附近吃东西也不方便', '短评打分': 4}
{'短评内容': '很好，适合出差时住，卫生干净整洁，价钱很合适，酒店环境非常好，安静，大气，上档次，房间很新，床很大非常舒服，前台美女服务非常好，很贴心，早餐很丰富很好吃，大厅有免费自助奶茶与咖啡，有大型停车场，很方便快捷，30楼有自助洗衣房，洗衣服都非常方便呢，周围是商业街，购物非常方便，酒店楼层很高，四周景色优美，非常棒，以后都推荐给朋友住，非常值得推荐。好评。', '短评打分': 5}
{'短评内容': '房间很新，很大，床很大很舒服，很舒适很安静，酒店内部环境很不错，设备齐全，大厅有免费自助奶茶与自助咖啡，房间有一张贵妃椅，躺在上面靠近窗户就可以俯视贵港夜景的美，一袭晚风吹过，享受自然风，很是舒服。靠近市中心，交通都很便利，离汽车站高铁站都很近，非常的方便快捷，地下停车场很大很宽，很方便，地下停车场有上到大厅的电梯，非常方便，住得很舒服，很愉快的入住，非常值得推荐入住喔。', '短评打分': 5}
{'短评内容': '周围是商业街，这两天外面都很热闹，购物方便。酒店楼层高，四周景色好，赏心悦目。只是早餐品种较少，好多是冷的，望改进。', '短评打分': 5}
{'短评内容': '  好评好评好评，位置很好找，酒店环境非常好，很安静，房间很大，房间很新，夜景非常美，楼层高风景很美，很喜欢，床很大很舒服，环境非常好，靠近步行街，吃住都很方便，隔音很好，性价比超高，安静大气上档次，环境舒适又时尚，有地下停车场，停车非常方便，有自助洗衣房，很方便，很快捷，特别喜欢，前台服务员态度特别好，很热情，很贴心，值得推荐入住。', '短评打分': 5}
{'短评内容': '高铁到得比较晚，来到酒店都晚上10点了。剩下的大床房没有电视了，自愿同意换了一间双人间。房间还是很不错的，宽敞还有躺椅休息，在26楼，楼层比较高。', '短评打分': 5}
{'短评内容': '条件一般，不过有警察查房。', '短评打分': 3}
{'短评内容': '房间宽敞，卫生不错，沿江路（不过还没修好），不远是东湖公园，旁边有商场，地处旧街道，店铺小吃比较多', '短评打分': 5}
{'短评内容': '很卫生，每次回去都住，交通方便', '短评打分': 5}
{'短评内容': '这次感觉挺好，舒适，价格划算。', '短评打分': 5}
{'短评内容': '无论出行还是周边餐饮都很方便。', '短评打分': 4}
{'短评内容': '房间挨着电梯井，电梯运行时噪音很大，影响休息', '短评打分': 4}
{'短评内容': '干净舒适，早餐丰盛，前台和保安阿叔服务热情，下次还来', '短评打分': 5}
{'短评内容': 'buzhide!!!!!!!!!!!!!!!!!!!!!', '短评打分': 1}
{'短评内容': '干净方便，房间特别大，床很舒服。此外，我喜欢自助洗衣：）', '短评打分': 5}
