{'descr': '屋子有霉味 床底很脏', 'star': 3}
{'descr': '还不错', 'star': 5}
{'descr': '没住过这么破的地方，我晚上八点多火车到沈阳，留的地址是万达什么楼，到楼下打电话，说换地址街，让我到楼下麦当劳等，等了四五十分钟打了三四个电话人才来，然后就带我去了一个这么奇葩的房间，说我来晚了，我就想知道，这样的放假也能拿出来住么？而且我还是提前预付房费了。真是太奇葩了！都半夜了也懒得换地方了。总之，大家注意点吧，能把提前一周预定的人，安排到这种放假，店家的责任心，真的没谁了！', 'star': 2}
{'descr': '不怎么干净，位置也不好找，以后不会定这种公寓型酒店了', 'star': 2}
{'descr': '卫生也对得起这个价格了，下楼接我们那哥们太冷了，上楼、退房都没说几句话。住的还可以。', 'star': 5}
{'descr': '空间很大，设备齐全，总体来说还算比较满意，在那个价格全是性价比很高的了', 'star': 3}
{'descr': '空间很大，设备齐全，总体来说还算比较满意，在那个价格全是性价比很高的了', 'star': 3}
{'descr': '还可以，比较方便，有家的感觉~~~~~如果厨房能给用就太给力啦！~', 'star': 5}
{'descr': '还可以，比较方便，有家的感觉~~~~~如果厨房能给用就太给力啦！~', 'star': 5}
{'descr': '酒店质量和图片介绍严重缩水，之所以选择公寓是因为有孩子方便些，离火车站近，可是住进后让我很失望。首先，房子面积根本没有介绍的那么大，家具设施很破旧，床更是旧的不象话，中间都沉下去了。电视机小不说，按键都掉没了，这些还不重要，还要开机一段时间后才有声音，我晕倒。有一个所谓的厨房，也有油烟机，但却没有炉具和。卫生间灯很多，能亮的没几个。空调不好用而且运行起来声音更是大的吓人，晚上根本不能用，房间又冷，', 'star': 1}
{'descr': '酒店质量和图片介绍严重缩水，之所以选择公寓是因为有孩子方便些，离火车站近，可是住进后让我很失望。首先，房子面积根本没有介绍的那么大，家具设施很破旧，床更是旧的不象话，中间都沉下去了。电视机小不说，按键都掉没了，这些还不重要，还要开机一段时间后才有声音，我晕倒。有一个所谓的厨房，也有油烟机，但却没有炉具和。卫生间灯很多，能亮的没几个。空调不好用而且运行起来声音更是大的吓人，晚上根本不能用，房间又冷，', 'star': 1}
{'descr': '离车站近， 开间式的。周围很方便。自在一些。还不错。', 'star': 5}
{'descr': '离车站近， 开间式的。周围很方便。自在一些。还不错。', 'star': 5}
