{'短评内容': '房间内有很大的不明味道，第二天起床后嗓子痛。', '短评打分': 3}
{'短评内容': '酒店位置很好找，离火车站车程3公里。房间很不错，空间大，设施齐全，交通方便，周边餐饮购物也方便，性价比高，值得推荐', '短评打分': 5}
{'短评内容': '环境可以', '短评打分': 5}
{'短评内容': '酒店服务,环境配套,不错离东站近', '短评打分': 5}
{'短评内容': '不错房间环境可以，房间也够大，装修也不错', '短评打分': 4}
{'短评内容': '房型不错 附近环境也好', '短评打分': 5}
{'短评内容': '还不错，看起来高大上，各种设备，用品齐全，唯一一点是吹风机放在抽屉里，一顿好找！看下面的，是房间内饰，整洁大方，最好一张在门口。这一个酒店是杭州火车东站一带比较好的，安静、整洁、安全。我就住这附近，这次朋友远道而来，在京东上居然订到210的价格，非常幸运，正常价格是369元，价格牌上显示569元。真是一次物美价廉的住宿啊！酒店门口是一条街的龙虾烤鱼店，晚上营业到凌晨三四点，约莫三十多家吃饭的店铺，价格适中。休闲娱乐也有十来家，离西湖四十元出租车费。杭州不大，适宜旅游。', '短评打分': 5}
{'短评内容': '还不错 房间挺干净的', '短评打分': 5}
{'短评内容': '性价比很好', '短评打分': 4}
{'短评内容': '还是可以的。', '短评打分': 4}
{'短评内容': '听说还可以！！？！？？', '短评打分': 3}
{'短评内容': '还好吧，就是太旧了点。。。。。。。', '短评打分': 3}
{'短评内容': '还集体相信你', '短评打分': 3}
{'短评内容': '去千岛湖临时在此过夜，还是不错的，距离杭州东站很近，周边吃饭的地方也很多，就是房间好像有点陈旧，好在服务人员还是很热情，小问题很快解决了', '短评打分': 5}
{'短评内容': '非常经济实惠的酒店！交通方便。', '短评打分': 5}
{'短评内容': '非常好，很喜欢，性价比超高！以后都去', '短评打分': 5}
{'短评内容': '非常好，很喜欢，性价比超高！以后都去', '短评打分': 5}
{'短评内容': '挺不错，价格值', '短评打分': 5}
{'短评内容': '环境很好，卫生条件极好。服务也到位。', '短评打分': 4}
{'短评内容': '很不错，房间干净整齐。周边餐饮很多。', '短评打分': 5}
{'短评内容': '还不错，房间很大，浴缸挺不错的，就是地毯有些脏。', '短评打分': 5}
{'短评内容': '晚间噪音较大，旁边有工地正在施工，起码要1年的时间。房间还算宽敞，毛巾、浴巾质量较差，应该更换。前台服务态度一般，服务水平有限，做事马马虎虎。去前台开房间的时候，竟然说没有我的订单，后来打4006才给解决。最后朋友结账的时候还多收了60元房费，打电话联系客服。说已经结账了退不了。不建议入住。', '短评打分': 1}
{'短评内容': '酒店环境很好，舒服，价格便宜，很好 赞一个！', '短评打分': 3}
{'短评内容': '帮朋友订的，朋友还是满意的！', '短评打分': 3}
{'短评内容': '设施没的说非常好，唯一就是热水供应有问题，', '短评打分': 5}
{'短评内容': '酒店在巷子里，很不好找，杭州在机场路上还有另一家和丽酒店。', '短评打分': 1}
{'短评内容': '房间总体不错，就是隔音效果不好，外面过道里有人说话，房间里听的清清楚楚', '短评打分': 3}
{'短评内容': '訂的是290的房間  結果只給我270的房間  還扯說 因為現再價格都上揚 所以都是一樣的', '短评打分': 5}
{'短评内容': '酒店硬件还行，服务一般。地理位置优越，交通方便。', '短评打分': 5}
{'短评内容': '不算繁华地段，但很方便，酒店很新，设施很好，服务员态度也很好，房间感觉不错，下次再去还会入住。', '短评打分': 5}
{'短评内容': '酒店整体感觉不错，希望早餐能有个较好的改善。', '短评打分': 5}
{'短评内容': '酒店干净卫生,设施挺齐全的,与三星的酒店差不多,以后有机会还会去!', '短评打分': 5}
{'短评内容': '酒店装修很有特色，卫生间非常明亮、宽敞，而且房间还有电脑，酒店的价格又便宜！性价比超高的！酒店一出门就是一条小吃街、路边还有很多公交车，可以直接坐车去西湖看美景！这次杭州行，真的很值得！哪怕是以后自己来杭州，我想也会选择入住这家酒店的！\n\n', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '房间不错很满意', '短评打分': 3}
{'短评内容': '酒店装修很有特色，卫生间非常明亮、宽敞，而且房间还有电脑，酒店的价格又便宜！性价比超高的！酒店一出门就是一条小吃街、路边还有很多公交车，可以直接坐车去西湖看美景！这次杭州行，真的很值得！哪怕是以后自己来杭州，我想也会选择入住这家酒店的！', '短评打分': 5}
{'短评内容': '酒店除了难找外，要绕个圈，别的还好,大家可以试试', '短评打分': 5}
{'短评内容': '很方便快捷', '短评打分': 3}
{'短评内容': '，很好', '短评打分': 3}
{'短评内容': '性价比不错，只是酒店周边在建造，环境不好', '短评打分': 5}
