{'短评内容': '酒店管理你还好，位置不错', '短评打分': 5}
{'短评内容': '床头没有插座', '短评打分': 4}
{'短评内容': '还可以，就是需要交押金', '短评打分': 5}
{'短评内容': '服务员特别热心，很不错！', '短评打分': 5}
{'短评内容': '酒店位置很好有停车场', '短评打分': 5}
{'短评内容': '暖气很给力，比较满意', '短评打分': 5}
{'短评内容': '有个前台服务特别差，说从携程上订，立马甩脸给我们看，拿放东西故意摔来摔去，我们没欠您几百万吧？！第一天给的房间特别小，特别差。被罩是脏的，灯坏了好几个，洗漱台的水龙头往外喷水！第二天十二点换了房，稍好一点，至少洗澡间和马桶隔开了，不过被罩还是脏的。地面也有不明黑色物体。半夜两三点，被卫生间的滴水声叫醒，一看，房顶在漏水，索性漏的不大，就忍了，还好第二天没再漏！总之在这里住就是图位置，陕师大对面，比', '短评打分': 2}
{'短评内容': '房间挺大的，价格比较合理，服务还行，对面就是陕师大，到陕师大办事很方便。', '短评打分': 4}
{'短评内容': '服务什么都感觉挺好的，但是隔音效果太差了，第二天考试，结果半夜隔壁的女的一直在哭，还以为闹鬼了呢', '短评打分': 4}
{'短评内容': '服务挺好的，一开始找停车场走错了，指引很热情，设备不太新了，卫生间门锁不上，整体还可以的。离高速挺近。', '短评打分': 4}
{'短评内容': '靠近陕师大，图一个方便，周围交通和吃饭都方便。设施有点陈旧但服务态度很好，总体来说还不错，值得推荐。', '短评打分': 5}
{'短评内容': '靠近陕西师范大学，交通便利。', '短评打分': 5}
{'短评内容': '酒店环境还可以，就是这个团购让人没有选择。不住不退   牛', '短评打分': 3}
{'短评内容': '还好吧，房子隔音太不好了。还有人唱歌！', '短评打分': 3}
{'短评内容': '妻子考试，给妻子订的  她说还不错  服务接待员给她安排了一个无烟味的房子  她睡的很好，房子也很敞亮。', '短评打分': 5}
{'短评内容': '房间不太干净，周围比较喧哗。前台服务态度真的不是太理想。但胜在交通方便，也就回去睡个觉。', '短评打分': 5}
{'短评内容': '酒店周围配套齐全，离陕西师大很近，房间还可以吧，这个价位还算合适', '短评打分': 3}
{'短评内容': '房间挺干净,公交也很方便.', '短评打分': 3}
{'短评内容': '总体感觉不错，就是隔音太差晚上睡不好。', '短评打分': 3}
{'短评内容': '已入住526房。可惜没电脑。', '短评打分': 3}
{'短评内容': '后勤服务还不错，环境也还行，就是暖气不是很暖和。', '短评打分': 3}
{'短评内容': '环境非常一般，周围挺乱的，要不是因为网上找不到周围其他的酒店，绝对不会选择这家，楼上是KTV，半夜非常吵，房间隔音效果又很差，隔壁打呼的声音能把人吵醒，前台服务态度很不好，尤其是一个女前台，态度极其恶劣！', '短评打分': 1}
{'短评内容': '条件还行，吃住出行比较方便。有点贵。', '短评打分': 3}
{'短评内容': '房间还挺好，就是感觉前台服务员态度不是太好，问什么都很不耐烦。最关键的是我预定的两个三人间到店说只有一个，最后给了一个大床间但是按照门市价算账的，很恼火``', '短评打分': 1}
{'短评内容': '地理位置好，洗澡水痛快。\n不足之处洗澡水流出浴室较为严重，上网电脑有病毒。第一天入住时门被拆下来维修了一下。', '短评打分': 5}
{'短评内容': ' 还行。', '短评打分': 3}
{'短评内容': '前台有位太凶了~ 没窗的房间你好意思要一样的价格嘛！！！', '短评打分': 5}
{'短评内容': '毛巾真的是太旧了！可以更新了！电视频道数太少，而且总是卡不舒畅 不过床还挺好 挺干净舒服的 对我来说很方便 晚上不要再打电话了 你懂得', '短评打分': 5}
{'短评内容': '酒店位置很好，就在陕西大对面，有多路公交车经过，并有世园会4号线直达。距离曲江展览中心步行10分钟，很方便。酒店房间宽敞，也很干净很不错.', '短评打分': 5}
{'短评内容': '服务态度太差，酒店本身的错误还与客人强词夺理；在那里住了几天，被单、床单竟然没有换过，我做了个特殊标记；从入住那天起一真催促把网络开通（酒店承诺免费上网），直到退房那天，网络还没有开通，酒店说是外线问题，机房维修人员水平有限，我真无语。', '短评打分': 1}
{'短评内容': '设施齐全,干净卫生,服务也挺好,就是过条街正在建房子,白天有点噪音!', '短评打分': 3}
{'短评内容': '卫生OK，白天窗外有工地施工，但不算吵，只是房间隔音效果差，第一天晚上12点左右隔壁电视声和外面过道说话声很大。', '短评打分': 5}
{'短评内容': '陕师大正对面，坐公交及其方便、干净，很不错的酒店，推荐下。', '短评打分': 5}
{'短评内容': '地理位置挺不错,床单房间挺干净,就是毛巾感觉旧了点,没有浴帽,卫生纸质量差点,其他都好着呢', '短评打分': 3}
{'短评内容': ' 前台服务态度很好 周围环境还可以 离师大和外语大学很近 坐600区间就可以到火车站 ', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 3}
{'短评内容': ' 非常好，就是楼下施工有些吵，呵呵', '短评打分': 3}
{'短评内容': '离西安外国语很近，到那考试的朋友很方便~~但是周围有点吵，尤其是晚上', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '总的来说很不错，环境，卫生，都还好，床也大，就是洗澡水不热，这点很不好，其他都不错。', '短评打分': 5}
{'短评内容': '还不错，就是晚上才发空调没有遥控器~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '酒店设施同其他连锁酒店没什么区别，酒店卫生纸质量差，而且打电话（国内）都还要另外收费，实在费解。', '短评打分': 3}
{'短评内容': '由于要在西安外国语大学参加考试，所以选择这家酒店。装修风格稍显老气，房间有的很宽敞有的略显拥挤，卫生条件还算可以。', '短评打分': 5}
{'短评内容': '服务态度有点差，只是地点离学校近才二次入住!', '短评打分': 1}
