{'短评内容': '卫生一般哦', '短评打分': 3}
{'短评内容': '性价比还是不错的！', '短评打分': 5}
{'短评内容': '帮人代定，反馈说不错，下次再入住', '短评打分': 5}
{'短评内容': '帮人代定，反馈说还不错', '短评打分': 5}
{'短评内容': '酒店环境不错，挺安静，有个大院子，早餐虽然只有面条，但味道不错合我的味口，就是设施有点老了，马桶盖子都立不起来，老往下掉', '短评打分': 5}
{'短评内容': '设备老化，被子，枕头旧且感觉差，好好的一个地方经营不好', '短评打分': 2}
{'短评内容': '遇上做活动，性价比极高', '短评打分': 4}
{'短评内容': '房间都是发霉的，进去就是一股霉味，闻得难受死了的。。。。另外就是携程这边订的，当晚想在23点入住的，结果当天晚上7点的时候打电话说没房间了，吓死人的，还好最后是虚惊一场', '短评打分': 3}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '蚊子多，设备阵旧。', '短评打分': 2}
{'短评内容': '挺好，满意，出差可以去', '短评打分': 3}
{'短评内容': '环境还好，大晚上有点恐怖，星期六，日早餐一塌糊涂！', '短评打分': 4}
{'短评内容': '还可以！', '短评打分': 5}
{'短评内容': '环境很好。性价比好。服务到位', '短评打分': 3}
{'短评内容': '这种重中之重自作自受', '短评打分': 3}
{'短评内容': '这是一家专门为电力公司服务的酒店，我是当日的唯一散客。你想想？', '短评打分': 1}
{'短评内容': '环境不错。但饮食还要提高。谢谢。', '短评打分': 3}
{'短评内容': '总体上说还不错，挺满意的，环境也很好', '短评打分': 5}
{'短评内容': '房间设施布局都挺温馨的，电视频道很多，设施齐全达标。', '短评打分': 5}
{'短评内容': '环境挺悠闲的，比较适合度假的客人，而且是自驾游，要不出行太不方便了。', '短评打分': 5}
{'短评内容': '环境很好，房间的配置硬件设施都很不错，周围环境也很好，就是出行不是很方便。', '短评打分': 5}
{'短评内容': '服务挺好的，员工都很热情。性价比也很合理。', '短评打分': 5}
{'短评内容': '这家店的餐饮很好，味道不错，上菜速度也很快。', '短评打分': 5}
{'短评内容': '房间设施还是可以的，电视频道很多，空调也能用，整体环境优雅，很喜欢。', '短评打分': 5}
{'短评内容': '离火车站和汽车站有点距离，不过度假村整体环境很好，挺舒适的。', '短评打分': 5}
{'短评内容': '屋子里挺宽敞，床铺也舒服，我和老婆都很满意。', '短评打分': 5}
{'短评内容': '我们全家去上海玩的时候，住的这家度假村，午餐很丰盛，很合妈妈的胃口。', '短评打分': 5}
{'短评内容': '想在附近办事，所以就近找了一家，房间相对小而且设施也不是很好', '短评打分': 1}
{'短评内容': '想在附近办事，所以就近找了一家，房间相对小而且设施也不是很好', '短评打分': 1}
{'短评内容': '房间收拾的很舒服，宽敞明亮，饭菜也做得好吃。', '短评打分': 5}
