{'短评内容': '价格合适，运气好。', '短评打分': 5}
{'短评内容': '出差选华天，温馨舒适，不错的', '短评打分': 5}
{'短评内容': '还不错，很超值', '短评打分': 4}
{'短评内容': '酒店的位置特别好，地处商业圈，不管是吃饭还是逛街，都特别的方便，地理位置是极佳，而且酒店的大床特别的大，很喜欢酒店周围的小吃街，，应有尽有，棒棒的，就是早餐好，前台服务特别好，退放开房都特别快，很专业，下次还是会选择入住。', '短评打分': 5}
{'短评内容': '酒店位置好，有免费的停车场，购物、餐饮、娱乐都很方便，服务到位，卫生状况也还可以。', '短评打分': 5}
{'短评内容': '交通方便，还不错', '短评打分': 5}
{'短评内容': '环境很好，没有异味。', '短评打分': 5}
{'短评内容': '价格适中。', '短评打分': 5}
{'短评内容': '还不错吧，比前台便宜不少', '短评打分': 5}
{'短评内容': '不错，价格比前台便宜', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '住了两天，感觉可以，服务比罗马好', '短评打分': 5}
{'短评内容': '老牌星级酒店了，虽然订的不是主楼，设施相对老，但其实维护得不错。前台人手不够，但两个小美女让人感觉很舒服。', '短评打分': 5}
{'短评内容': '前台服务态度好，退房时大堂副理有拜访，感觉很不错！早餐不错，益阳市的市中心，方便出行！相比其他星级酒店位置是最好的！', '短评打分': 5}
{'短评内容': '不错，前台服务好，安静，干净，卫生！交通方便，位置环境好！', '短评打分': 5}
{'短评内容': '不错，房间宽敞，设施齐全，性价比很高，值得推荐。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '………………………此处省略十五字', '短评打分': 2}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '在益阳市中心，房间一般，周围环境方便', '短评打分': 5}
{'短评内容': '交通便利，房间布置合理，干净整洁。楼下还有美食城、对面就是超市，确实很方便。', '短评打分': 5}
