{'短评内容': '老板说装修，不让住。然后取消了，凑够20个字儿。', '短评打分': 5}
{'短评内容': '酒店在万达广场，不错，离很多景点很近，价格便宜！', '短评打分': 5}
{'短评内容': '还行吧 风景挺好', '短评打分': 5}
{'短评内容': '照片很假，在万达附近的写字楼里，电梯里一股子臭味，整栋楼很破，房间吵杂，里面是公寓，隔壁就是住户，还有什么美甲店，装修超级破，还脏，这是住的最垃圾的房子了！', '短评打分': 1}
{'短评内容': '巨垃圾！！', '短评打分': 1}
{'短评内容': '就这样', '短评打分': 3}
{'短评内容': '酒店的东西感觉好久都没人住了，但是老板还是很好的', '短评打分': 5}
{'短评内容': '工作人员到是不错，就是房间的清洁程度不够，还有就是房间坏的东西有点多，地方还是好找的', '短评打分': 5}
{'短评内容': '挺好的体验了', '短评打分': 5}
{'短评内容': '还可以吧，除了空调不够冷都还好，周边吃饭超方便。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '在大商场边上，吃饭逛街很方便。楼里人有点嘈杂，十一阶段这个价格算不错的了', '短评打分': 4}
{'短评内容': '房间 服务差的要死 尤其是房间 脏乱差 前台连个服务员没有 整个2B保安做房卡，等了好长时间整不明白，哎后悔死了', '短评打分': 1}
{'短评内容': '卫生和环境差强人意，很是不满意', '短评打分': 2}
{'短评内容': '交通方便，周围商场吃住玩都方便', '短评打分': 4}
{'短评内容': '条件一般，服务热情。', '短评打分': 4}
{'短评内容': '좋아요 시내중심가고 카운터가 35층에잇어서 찾는데 조금 헤맷는데 그정도는 방이 다 커버해주네요 일주일간 잘 머물다가 갑니다.', '短评打分': 5}
{'短评内容': '总的来说还是性价比比较高的，不错！', '短评打分': 4}
{'短评内容': '酒店环境还可以，居住条件一般，而且房间里还有股发霉的味道', '短评打分': 3}
{'短评内容': '非常好的一家公寓式酒店，干净卫生，交通便利，性价比很高，住了不后悔。', '短评打分': 5}
{'短评内容': '不错。', '短评打分': 3}
{'短评内容': '非常一般。在写字楼里面，很杂乱。。房间没有舒适感', '短评打分': 3}
{'短评内容': '感觉还不错，比较安静,环境也还可以，房间挺干净也很舒适', '短评打分': 5}
{'短评内容': '感觉服务很好', '短评打分': 3}
{'短评内容': '就是位置比较偏僻。其他都好。。前台小妹妹张的很好。。嘿嘿', '短评打分': 5}
{'短评内容': '酒店的环境还可以，但在万达广场中的写字楼上，不好找，找个前台跟找黑店一样，房间大小还不错，但这家店不应叫酒店只能算是公寓，没有餐厅，没有其它服务，相比较性价比差了很多，不过楼高，看看风景不错', '短评打分': 5}
{'短评内容': '位于万达广场商业楼上面，在附近办事入住的话图个方便还是可以，但是有几处不便：1、没有停车位，需要停在收费地下车库；2、没有标示，自己找不到酒店，须打电话询问；3、性价比不高，不如普通连锁商务酒店；4、没有早餐，可以到楼下麦当劳吃。5、床垫质量不好，空调不能制冷。', '短评打分': 1}
{'短评内容': '不错，房间很干净。服务态度也很好。下次来还会选择。', '短评打分': 5}
{'短评内容': 'room ok...service ok...louzy traffic!', '短评打分': 5}
{'短评内容': '   地段挺好的，很方便，就在万达楼上，很干净，服务也很周到。就是价格方面稍微高了一点。', '短评打分': 5}
{'短评内容': '一般，有点脏，不过对得起价格~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '典型的酒店式公寓，楼下就是万达广场，买东西吃饭都很方便。房间很干净，蛮舒服的。唯一不足的是洗手间与淋浴房中间没有间隔，洗好澡很湿，不方便。其他都不错，出行也很方便。', '短评打分': 5}
{'短评内容': '就在万达广场内，出行和购物娱乐都很方便，而且周边没有高层建筑的围挡，视野很开阔。', '短评打分': 5}
