{'短评内容': '除了便宜 一无是处 房间灯 开关是烂的 空调也不好用 位置马马虎虎一般  差的一塌糊涂', '短评打分': 1}
{'短评内容': '着急住，也还好吧，住了就知道了', '短评打分': 3}
{'短评内容': '周围环境挺不错的，就是房间通风不好。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '还不错，附近交通挺方便的，十一市中心三四百一间，这个对比起来真划算。', '短评打分': 3}
{'短评内容': '真的太吵了，里面好不卫生，好久都没打扫', '短评打分': 3}
{'短评内容': '一般情况！！', '短评打分': 5}
{'短评内容': '除了位置较好外，没有什么值得再去的了，第一次开的房间门都锁不上，折腾了半天才跟我们换一间房。。。。。', '短评打分': 3}
{'短评内容': '跟现实严重不符，坑人，还诬赖人用他的东西，不会再去了', '短评打分': 1}
{'短评内容': '房间是臭的，还有怪味····小点跟图片不符，太坑人了···', '短评打分': 1}
{'短评内容': '为了考试过去的，主要是想找个性价比高的宾馆，这家还不错，服务态度好，前台提供的糖果很好吃', '短评打分': 5}
{'短评内容': ' 总体感觉还可以，有些设备都坏了，卫生还可以', '短评打分': 3}
{'短评内容': '＋环境一般', '短评打分': 3}
{'短评内容': '地理位置很好，我住的浪漫圆床放房感觉很好！卫生间的大花洒太爽了还有香薰灯好贴心！价格才99元，还赠了2瓶水', '短评打分': 5}
{'短评内容': '对于这个价格，还好吧····························', '短评打分': 5}
{'短评内容': '环境不错，比较安静，卫生条件还可以，服务态度不错', '短评打分': 5}
{'短评内容': '环境一般，性价比不高！硬件设施很陈旧！和周边的比没有什么优势！', '短评打分': 1}
{'短评内容': '该酒店环境太差，经常不收拾房间，弄的房间乱七八糟。发票还总是找借口不给你开，一个人入住最后直接管我要一个安全套钱，说我用了他的安全套，我汗。', '短评打分': 1}
{'短评内容': '还不错 离观音桥比较近 环境还可以 就是空调不太冷', '短评打分': 5}
{'短评内容': '为什么不推荐，原因如下：1.在三楼，没电梯。2.前台小姑娘不是本地人，一问三不知。3.第二天早上突然停电，直到退房还没修好。4.由于走的时候停电，衣服忘拿，她们查房也没发现，到上火车才发现，打电话过去想说一下，一直打到晚上也没人接。\n唯一的亮点是对面的重庆老火锅还有附近1.5元一个小时的网吧（环境不错）。其实重庆这个价位这个设施的宾馆（或者说招待所）比比皆是，根本不用定。', '短评打分': 1}
{'短评内容': '宾馆屋子小，有发霉的味道，早晨起来衣服裤子都很潮湿，不过前台服务还是不错的。', '短评打分': 3}
{'短评内容': '环境还可以，感觉还是不错。。支持一个。。', '短评打分': 5}
{'短评内容': '我入住该酒店后较满意，酒店很诚信，服务态度也好！', '短评打分': 5}
