{'短评内容': '酒店很干净，内部设施好。就是出门不怎么方便。周围餐厅少。', '短评打分': 5}
{'短评内容': '很不错，房间和环境没得说，就是稍微有点偏僻！！！！', '短评打分': 5}
{'短评内容': '这次是续定的，已经住了十几天了，觉得不错。', '短评打分': 3}
{'短评内容': '多次入住了，各方面条件设施都不错。标间还给免费升了高级房，下次还选这里。', '短评打分': 3}
{'短评内容': 'h恩不错，住得比较舒服，免费停车，卫生也不错', '短评打分': 5}
{'短评内容': '房间很干净，环境很好', '短评打分': 3}
{'短评内容': '还可以吧.就是早上办理入户在需要好长时间！！！！值得改进...', '短评打分': 5}
{'短评内容': '酒店设施很舒服也很安静，就是早餐品种太少。', '短评打分': 3}
{'短评内容': '酒店不错，干净舒适，服务也很热情周到.........', '短评打分': 5}
{'短评内容': '酒店的服务很好，也很干净，房间的地毯很干净，卫浴也很好，下次还住，强烈推荐798附近的好酒店！', '短评打分': 3}
{'短评内容': '价格服务环境等还可以，实惠，就是出外坐车比较麻烦', '短评打分': 5}
{'短评内容': '很不错的酒店，性价比很高，离798时尚区步行紧五分钟。酒店设施很完备，服务很周到，接待人员很有礼貌。就是结账的时间稍长了一点，希望以后有所改进。', '短评打分': 5}
{'短评内容': '和同事一起入住，大家的评价都很好，早餐略微简单了一些。', '短评打分': 5}
{'短评内容': '标准大床房不错啊，干净舒适，房间够大，环境也很安静', '短评打分': 5}
{'短评内容': '标准大床房不错啊，干净舒适，房间够大，环境也很安静', '短评打分': 5}
{'短评内容': '标准大床房不错啊，干净舒适，房间够大，环境也很安静', '短评打分': 5}
{'短评内容': '酒店还不错，就是早餐简单了点，而且去晚了东西就比较少', '短评打分': 5}
{'短评内容': '位置偏，找了很长时间才找到大门，而且离酒店还有很长的路。预定的是一点五米的床，实际的床很短小，快无法睡觉。网上告示可以用歺，实际只提供简单而又简单的早歺，中晚歺只得去很远的饭店解决。名不符实。', '短评打分': 1}
{'短评内容': '酒店很方便，离机场近，以后还会选择！', '短评打分': 3}
{'短评内容': '该家酒店给我的感觉还是蛮舒服的，涉外酒店，早餐也非常好', '短评打分': 5}
{'短评内容': '酒店的位置比较偏，不过还是找到了。整体感觉不错。', '短评打分': 5}
{'短评内容': '房间比较大，比较温馨，外国人入住的比较多。只是服务要提高，赠送的矿泉水有忘了的情况，电话前台后，给及时补上了。', '短评打分': 5}
{'短评内容': '房间很干净，好像是美国人投资的吧。几乎房间内都有浴缸。', '短评打分': 5}
{'短评内容': '还不错，到店时比较晚，直接给升级成套房，赞一个~', '短评打分': 5}
{'短评内容': ' 每次北京都住北京这家酒店，安静，方便。', '短评打分': 3}
{'短评内容': '酒店很干净，晚上可以坐外面bbq。标准房的房间小了点，早餐天天一样，而且除了有很多老外的那天有煎蛋，其它两天都不见服务员。', '短评打分': 5}
{'短评内容': '很好，物有所值', '短评打分': 3}
{'短评内容': '酒店不错 服务态度好 舒适度很高 \n楼层管理也很合理\n整体不错', '短评打分': 5}
{'短评内容': '离机场比较近，在798艺术圈，早餐比较好，卫生，安全。', '短评打分': 5}
{'短评内容': '离机场比较近，在798艺术圈，早餐比较好，卫生，安全.', '短评打分': 5}
