{'descr': '很好很好，楼下很多吃的。', 'star': 5}
{'descr': '还好吧，母校里的，方便。', 'star': 4}
{'descr': '为了靠近林大 周边性价比高的酒店缺乏', 'star': 3}
{'descr': '挺方便的', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '脏\n乱\n被子居然发黄 还有破的地方\n要发票和不要发票价格也不一样\n总之不会再住了\n同等价格 远不如快捷连锁酒店', 'star': 1}
{'descr': '房间有点小', 'star': 3}
{'descr': '服务员态度很不错，那个阿姨很不错，语气非常的不错。', 'star': 5}
{'descr': '酒店还不错，比较干净。入住时是元旦，又涨了20元，不过，这个价还算合理。', 'star': 5}
{'descr': '地点在中科院南京林业所内，很幽静。设施有点旧，但房价便宜。', 'star': 5}
{'descr': '位置好，酒店卫生，设施不错，地方也大。下次还去。', 'star': 5}
{'descr': '周边环境挺不错的，在学校里面，服务态度也不错，特别是那些保洁员...就是蚊子有点多&还不能刷卡，只能现金支付！说是拿去修了，还不晓得啥时候拿回来可以刷卡！', 'star': 5}
{'descr': '位置不错，但住的是包房改的客房，附近油烟味重。实际房价比网上确认的价格贵了10元，也不解释为何多收。', 'star': 1}
{'descr': '一般般', 'star': 3}
{'descr': '\u3000很好', 'star': 3}
{'descr': '便利，方便,校园内，比较干净。厕所玻璃窗有些不太方便。', 'star': 5}
