{'短评内容': '服务热情 卫生干净整洁 性价比高', '短评打分': 5}
{'短评内容': '不错(*๓&acute;╰╯`๓)♡', '短评打分': 5}
{'短评内容': '新酒店，门窗设施有待修缮。', '短评打分': 5}
{'短评内容': '房间很大，环境不错！', '短评打分': 5}
{'短评内容': '服务好，卫生好，房间好，早餐好，交通便利，喜欢，值得表扬推荐', '短评打分': 5}
{'短评内容': '环境太差了。一点都不舒服，床单枕头还有点点血迹', '短评打分': 5}
{'短评内容': '2406是真的垃圾。开门进去有一股异味。空调开久一点有杂音', '短评打分': 3}
{'短评内容': '房间还算挺好，就是设施有点旧了', '短评打分': 5}
{'短评内容': '还可以?⭕⭕⭕⭕⭕⭕⭕', '短评打分': 5}
{'短评内容': '环境很不错，停车也很方便～', '短评打分': 5}
{'短评内容': '这个可以可以可以可以', '短评打分': 5}
{'短评内容': '值！', '短评打分': 5}
{'短评内容': '价格优惠环境好', '短评打分': 5}
{'短评内容': '很好的酒店，下次在来', '短评打分': 5}
{'短评内容': '不错，酒店是租了大厦的几层楼开的，感觉是连锁酒店的样子。除此以外都还好，价格便宜。附近也是商业区，四、五线来说，不错了。', '短评打分': 4}
{'短评内容': '服务好 早餐好', '短评打分': 3}
{'短评内容': '早餐非常给力', '短评打分': 4}
{'短评内容': '性价比高，可推荐', '短评打分': 4}
{'短评内容': '不错，多次入住', '短评打分': 5}
{'短评内容': '交通便利，购物也方便', '短评打分': 5}
{'短评内容': '酒店地理位置不错，交通方便，周边餐饮可以满足，打车也比较容易，房间的话基本都还干净整洁，服务还不错，商务出行首选！', '短评打分': 4}
{'短评内容': '非常棒！很好很强大，一直喜欢这家！', '短评打分': 5}
