{'短评内容': '非常不错，66666', '短评打分': 5}
{'短评内容': '有儿童拖鞋，比较人性化的设施。', '短评打分': 4}
{'短评内容': '比较偏，环境不错，安静。', '短评打分': 4}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '环境比较好', '短评打分': 5}
{'短评内容': '谢谢， 一切都很好！', '短评打分': 5}
{'短评内容': '嘉定周边环境最好的酒店。', '短评打分': 5}
{'短评内容': '服务还不错', '短评打分': 5}
{'短评内容': '干净舒适。', '短评打分': 5}
{'短评内容': '酒店很好 皇冠假日哦不错', '短评打分': 5}
{'短评内容': '酒店很大很气派，各种服务也很不错，酒店稍微有点偏，房价稍高，总体还是不错，酒店比较安静，床比较舒服。', '短评打分': 5}
{'短评内容': 'Good hotel for stay in weekends. The price is good, give the good services and delicious breakfast. ', '短评打分': 5}
{'短评内容': '不行', '短评打分': 5}
{'短评内容': '环境很好早餐很好就是房间空调不行冷死了', '短评打分': 5}
{'短评内容': '服务有待改善。周边配套不方便。', '短评打分': 4}
{'短评内容': '酒店环境很好，其中出了点小插曲，还行吧！', '短评打分': 5}
