{'短评内容': '房间看起来有点旧，早餐挺好，设施很齐全，地点也不错', '短评打分': 5}
{'短评内容': '不含早餐', '短评打分': 5}
{'短评内容': '非常好！！', '短评打分': 5}
{'短评内容': '非常好，绝对赞，绝对推荐！', '短评打分': 5}
{'短评内容': '非常棒！！', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '还可以吧，位置在市中心，交通很方便。', '短评打分': 5}
{'短评内容': '京东客服服务很好，细心，耐心的服务体现出高素质的企业文化。希望京东一如既往，继往开来。', '短评打分': 5}
{'短评内容': '总体评价还满意！酒店地理位置略偏闹市，但附近有地铁公交，出行可以的。房间比较安静，也没有小广告骚扰。但客房打扫状况不满意，被单没换可以理解，但有次小毛巾也不换就不该了吧。还有用过的一次性拖鞋，牙刷杯子甚至用完的牙膏每次都是在原处不处理，用过的茶杯不洗留在原地，而杯中的茶叶包有时拿掉有时留着。', '短评打分': 4}
{'短评内容': '还可以～。。。。。。', '短评打分': 5}
{'短评内容': '人民路上的老宾馆，位置很好，邻近港湾广场，去哪里都很方便，但是房间设施比较老，甚至不如就近的一些快捷酒店。价格上总体偏贵。', '短评打分': 4}
{'短评内容': '交通便利，卫生干净，服务很好。', '短评打分': 5}
{'短评内容': '環境衛生交通便利', '短评打分': 4}
{'短评内容': '環境衛生服務都非常好', '短评打分': 4}
{'短评内容': '条件一般，设施老旧，位置不错，没有停车位', '短评打分': 4}
{'短评内容': '位置一般吧，周围就一些小超市，吃饭也不是太方便，需要走上约10分钟左右的时间。 老酒店了，有点冷清的感觉，设施还算达标吧。 服务来说，也说得过去，不太好也不太坏。 早餐来说，有点太差了，最多三星标准，品种不多，质量一般。 总体来说，不太推荐，但是住一住也无妨。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '位置很好，出行方便', '短评打分': 3}
{'短评内容': '没有安排双人间，最后只有又订了一个房间。', '短评打分': 4}
{'短评内容': '相当不错', '短评打分': 5}
{'短评内容': '还可以的', '短评打分': 4}
{'短评内容': '房子比较旧。达不到4星。', '短评打分': 4}
{'短评内容': '酒店外观虽然陈旧，但内部设施、环境、卫生都不错，早餐很好，中西结合。服务非常周到。房间热水、浴室热水都很温暖，物品配备齐全。', '短评打分': 5}
{'短评内容': '房间很大很干净，前台服务人员服务也很热情，而且楼下还有个很温馨的咖啡厅', '短评打分': 5}
{'短评内容': '酒店的价位不高，但房间很宽敞，也很干净，前台服务很热情。', '短评打分': 5}
{'短评内容': '交通便利，房间很宽敞，酒店前台热情迎人，值得推荐。', '短评打分': 5}
{'短评内容': '房间很大，干净整洁。值得入住。工作人员服务特别好，尤其是她们的微笑!', '短评打分': 5}
{'短评内容': '环境很好服务态度也很好', '短评打分': 3}
{'短评内容': '干净整洁，必要用品完备，性价比高，值得入住。', '短评打分': 5}
{'短评内容': '酒店服务还可以，就是房间设施感觉有点陈旧', '短评打分': 3}
