{'短评内容': '非常非常非常好', '短评打分': 5}
{'短评内容': '酒店干净，服务好', '短评打分': 5}
{'短评内容': '环境不错，地理位置也挺好的，总体挺满意，关键是听卫生，看着干净', '短评打分': 5}
{'短评内容': '房间比较小，无法加床。位置还是可以，停车比较困难。', '短评打分': 3}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': '隔音太差了，完全没法睡啊，吵死了', '短评打分': 3}
{'短评内容': '离演唱会地点很近，交通方便，离深圳湾口岸也很近', '短评打分': 5}
{'短评内容': '价格不错，位置好找，比较安静，值得推荐', '短评打分': 5}
{'短评内容': '酒店是有点旧了但胜在位置很好，吃饭很方便~喜欢购物的，酒店后面出来过了桥就是，里面环境不错，品牌店多，东西也不是很贵。 总的来说是性价比很不错的酒店~', '短评打分': 5}
{'短评内容': '差，没样好，床也不好，前台的态度简直是比老板娘还老板娘，此生没下次！', '短评打分': 1}
{'短评内容': '满意         行', '短评打分': 4}
{'短评内容': '好          OK', '短评打分': 4}
{'短评内容': '酒店環境及酒店管理還算可以，只可惜房間太小了，活動空間不夠', '短评打分': 4}
{'短评内容': '周边便利', '短评打分': 3}
{'短评内容': '环境挺不错.!就是没有一次性沐浴套装..!', '短评打分': 5}
{'短评内容': '性价比高，值得推荐，在关内，不错了，房间小巧精致', '短评打分': 5}
{'短评内容': '交通比较便利，离地铁站大概10分钟行程。我住的单人大床房，房间比较小，但很干净也很舒适，前台态度也很好。推荐来深圳住翠园喔~~', '短评打分': 5}
{'短评内容': '房间干净，价格相对实惠。', '短评打分': 3}
{'短评内容': '好臭啊！换了一个还是臭！好臭啊！换了一个还是臭！', '短评打分': 1}
{'短评内容': ' 这里环境很好，有大窗台，布置很温馨，家具也实用，服务态度好，离景点近，交通方便！', '短评打分': 3}
{'短评内容': '光线,通风条件都不错,价格也比较合适,就是装修比较旧  门口有点漏水  总之很不错了', '短评打分': 5}
{'短评内容': '性价比挺高', '短评打分': 3}
{'短评内容': '第2次入住,不错。', '短评打分': 3}
{'短评内容': '服务可以，价格旅游者可以接受，屋里地毯有异味，附近不远处有合适宾馆，距离600米左右！', '短评打分': 3}
{'短评内容': '门口有点漏水，除了这点毛病。大体上还是挺可以的，在这样的价位上算上不错的了，房间是小点，但很精致。下次去深圳还去住这。。。。。', '短评打分': 5}
{'短评内容': '对于深圳关内，这个宾馆的性价比较高。交通业方便，周边还有大型超市等。', '短评打分': 5}
{'短评内容': '环境还不错，就是房间里有点味道！总体上还可以！', '短评打分': 3}
{'短评内容': '优点:价位，位置，离大新地铁站不太远，周围也很方便，有些小店还有一超市。这房型还可以，虽然只有半扇窗，但有电脑。缺点:房间比较脏。', '短评打分': 3}
{'短评内容': '地理位置优越，周围商超、餐饮一应俱全，交通便利，有很多公交线路，离桃园和大新地铁站很近，房间整体感觉不错，值得一住。', '短评打分': 5}
{'短评内容': '虽然酒店内配置不咋样，但是服务还不错的。特别是前天的MM，笑容好看。价格算比较实惠。', '短评打分': 5}
{'短评内容': '不错，空间蛮大，设施一般', '短评打分': 3}
{'短评内容': '不错，交通方便，环境好，附近很多不错的去处；经济实惠', '短评打分': 5}
{'短评内容': '地方难找，而且房间很小，光线很差，价格还行', '短评打分': 1}
{'短评内容': '深圳关内是个寸土寸金的地方，能住到这个价位的宾馆，个人感觉性价比较高！', '短评打分': 5}
{'短评内容': '环境不错，这个价位的酒店算可以了。', '短评打分': 3}
{'短评内容': '性价比好,服务好,此次入住唯一不满意的就是热水不够热.打电话到服务台说是刚跟换的热水器?', '短评打分': 5}
{'短评内容': '房间环境还可以吧，就是隔音做的不太好，还有就是房间出现了小强，性价比还说的过去', '短评打分': 1}
{'短评内容': '房间很小，而且地毯还有股异味！最无语的是晚上感觉有点冷让其加床被子，竟然被告知要额外加收20大洋，真不知道该说什么好~！！！住了这么多酒店，还是头一回遇到，不过地理位置还不错~！', '短评打分': 1}
{'短评内容': '环境还可以，周围都是卖吃的东西的小店，不过房间有点暗', '短评打分': 5}
{'短评内容': '＋太贵', '短评打分': 3}
{'短评内容': '还可以吧，装修比较旧，好像开的时间比较长了', '短评打分': 5}
{'短评内容': '酒店环境还可以，比对面的百德酒店好很多，而且价钱也公道。以后有需要还回来。唯一不足的地方就是洗衣服是按10元一件算的，还是自己手洗吧。', '短评打分': 5}
