{'短评内容': '酒店住的挺好的，周围交通方便，住的很安静，环境真的挺好的，服务也挺好的，价格也不贵，下次来还会住这个地方', '短评打分': 5}
{'短评内容': '房间味道很重，酒店位置偏。', '短评打分': 3}
{'短评内容': '卫生间地上太滑了，摔了一跤', '短评打分': 5}
{'短评内容': '停车很方便，环境还不错', '短评打分': 5}
{'短评内容': '订的豪华标准间，却开的是商务标准间，太坑人了！', '短评打分': 3}
{'短评内容': '房间很好 性价比很高 而且比较安静', '短评打分': 5}
{'短评内容': '，', '短评打分': 5}
{'短评内容': '酒店一般！', '短评打分': 2}
{'短评内容': '性价化高，停车方便，网速快，房间大', '短评打分': 5}
{'短评内容': '性价化高，停车方便，网速快，房间大', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '空调不给力，吹出来的空气味道很大，别的都还行，门口的罗哥烧菜做得不错，好评', '短评打分': 5}
{'短评内容': '还不错，多次入住', '短评打分': 4}
{'短评内容': '装修还可以，周边吃饭还算方便。', '短评打分': 5}
{'短评内容': '订的时候有返现，入住离店后就没有了，真他妈坑人', '短评打分': 3}
{'短评内容': '订的时候有返现，入住后离店就没有了，真他妈坑人', '短评打分': 3}
{'短评内容': '房间味道比较大，一般商务出行还将就住一下', '短评打分': 3}
