{'短评内容': '酒店服务很差，经理很牛，早餐一般', '短评打分': 3}
{'短评内容': '不错哦', '短评打分': 5}
{'短评内容': '在携程订的，没有早餐，而且中午十二点之前要退房，房间卫生还可以，就是酒店楼层中设有KTV，晚上睡觉真的很吵', '短评打分': 3}
{'短评内容': '房间大，设施一般，淋浴间下水有些堵，旁边有KTV有些吵。其他尚可。', '短评打分': 4}
{'短评内容': '晚上太吵，楼下ktv……四楼房间根本没法开窗。十月底的天气明明很凉却只能开空调……入住的酒店里最差的，没有之一', '短评打分': 2}
{'短评内容': '还不错。。。', '短评打分': 4}
{'短评内容': '付了钱，没房', '短评打分': 5}
{'短评内容': '#ud83d#ude1c服务不错', '短评打分': 5}
{'短评内容': '房间舒服干净', '短评打分': 5}
{'短评内容': '卫生环境各方面都不错！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境好，服务态度不错，卫生。', '短评打分': 5}
{'短评内容': '一直都是很好', '短评打分': 5}
{'短评内容': '还行还行还行还行还行还行还行还行还行还行还行还行', '短评打分': 4}
{'短评内容': '还行，不算差', '短评打分': 5}
{'短评内容': '只能付现，携程又预付，郁闷', '短评打分': 3}
{'短评内容': '这次还是考试之旅，前台还有工作人员的服务态度都挺好的，环境比较安静，晚上睡的蛮舒服的，第二天有足够的精力去考试。', '短评打分': 5}
{'短评内容': '酒店很干净，房间一个人住挺大，服务还不错', '短评打分': 4}
{'短评内容': '酒店房间很大 卫生也很好  电视频道也多  床很舒服 要是有朋友上南宁去车管所 是非常值得入住的', '短评打分': 5}
{'短评内容': '房间有点小，其他还好。', '短评打分': 3}
{'短评内容': '整体还不错，就是房间太小了，剩余空间仅能够一个走过。', '短评打分': 3}
