{'短评内容': '住了几天感觉很好', '短评打分': 5}
{'短评内容': '三星级酒店挺好的', '短评打分': 5}
{'短评内容': '     我们一行三人在此酒店住了2日，条件和三星酒店一样，很好，交通方便。满意', '短评打分': 5}
{'短评内容': '位置不错，环境好，硬件有点旧，前台POS机划了数次，酒店该升级了。', '短评打分': 5}
{'短评内容': '该酒店总体性价比还可以，只是房间的隔音效果有待改善，拖鞋厚一点就更好了。', '短评打分': 5}
{'短评内容': '位置不错，交通便利，出门便是天塔公园，风景挺好', '短评打分': 5}
{'短评内容': '感觉还好吧。就是一次性拖鞋 洗澡的时候要小心！前台收银的 押金800说得天津话太快，没听懂。我在天津呆了三年 一般都听得懂，这个话真。。。。！这么大酒店没有无线网的确很。。。。', '短评打分': 5}
{'短评内容': '老公说还不错，就是没有商务中心，想订个火车票都没有办法。这个希望酒店可以改进。', '短评打分': 5}
{'短评内容': '老公说还不错，出差住的。离他要去的地方还是很近的', '短评打分': 5}
{'短评内容': '酒店位置环境好 ，交通便利，好评', '短评打分': 3}
{'短评内容': '还好 ！空调不太给力哦！不过整体来说还好了 出去玩也很方便', '短评打分': 5}
{'短评内容': '位置好方便出行，服务也好，就是有些老旧了！', '短评打分': 5}
{'短评内容': '酒店所处位置较好，交通方便，设备略显老旧。', '短评打分': 5}
{'短评内容': '。已入住红楼大酒店。感觉还可以。', '短评打分': 3}
{'短评内容': '很好哦，交通方便，屋里很大，楼下有餐厅，酒店是暖风供暖的', '短评打分': 5}
{'短评内容': '酒店是三星级的，条件很好，而且很好找，在天塔湖边，晚上还可以看湖景，真是好极了。地理位置好。价格也不贵', '短评打分': 5}
{'短评内容': '极烂的酒店！！！\n先是入住的时候，前台看客人到了，装看不见，等了5分钟才开始办理入住。\n入住后发现床硬的简直像搓板，几乎没太睡好。而且夜里10点多，居然接到洗浴中心电话，询问需要不需要洗浴！\n早晨二十元，连个酸奶水果都没有！\n结账的时候又等了10分钟，而且服务员完全毫无歉意！\n总之就是很差！', '短评打分': 1}
{'短评内容': '房间比较旧，配套的餐厅也冷冷清清，没什么生意，让换个房间说是全满了，偶的是最后一间，也不知道真假。反正闷着，开不了窗户。', '短评打分': 1}
{'短评内容': '2年前入住觉得还可以，现在一看太旧了！！', '短评打分': 1}
{'短评内容': '说实话，没什么好的。像国有招待所。\n服务员不冷不热，也不像其他人点评那样有什么规范用语。\n从电梯下来往房间走居然会有楼梯…… 拿箱子怎么走啊？\n房间整体结构偏阴冷。昏暗。\n晚上点个餐试试再说。\n给我第一印象来看：\n以后肯定不会再来。', '短评打分': 1}
{'短评内容': '      极力推荐，服务人员态度非常好，第一次入住国有企业，感觉不太一样，能感觉出工作人员级别不同，房间服务最好，新装修过，比想象的新。', '短评打分': 5}
{'短评内容': '中规中矩的酒店，符合3星标准，床有点硬。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '酒店还可以吧', '短评打分': 3}
{'短评内容': '经济 实惠 超值 赠洗浴', '短评打分': 3}
{'短评内容': '挺干净。', '短评打分': 3}
