{'短评内容': '韩国人挺多的一家酒店，卫生好，只是不知为啥4楼和五楼的房间不大一样？', '短评打分': 4}
{'短评内容': '环境不错，设施挺好', '短评打分': 5}
{'短评内容': '住了几次挺好的', '短评打分': 4}
{'短评内容': '挺不错的 卫生还可以  房间也挺大', '短评打分': 5}
{'短评内容': '一般 早歺不好', '短评打分': 3}
{'短评内容': '酒店環境不錯', '短评打分': 5}
{'短评内容': '周边环境还可以，就是酒店设施有点陈旧！', '短评打分': 4}
{'短评内容': '服务态度好，早餐一般', '短评打分': 3}
{'短评内容': '卫生条件一般，服务态度好', '短评打分': 3}
{'短评内容': '卫生条件一般，早餐一般', '短评打分': 3}
{'短评内容': '很不错的选择', '短评打分': 5}
{'短评内容': '环境，服务都可以。', '短评打分': 5}
{'短评内容': '哈了还不错啊，离快速路比较近方便', '短评打分': 5}
{'短评内容': '还可以啦，地点里快速路比较近额', '短评打分': 5}
{'短评内容': '设施还行，服务简直是太差了……', '短评打分': 4}
{'短评内容': '房间有异味', '短评打分': 3}
{'短评内容': '设施条件和环境不错，挺值，卫生也好。', '短评打分': 5}
