{'短评内容': '环境不错，附近也有很多饭店小吃街', '短评打分': 5}
{'短评内容': '还可以，住宿环境一般。', '短评打分': 4}
{'短评内容': '地点好，整洁卫生！挺好的', '短评打分': 5}
{'短评内容': '酒店在公寓里，适合出差住宿', '短评打分': 5}
{'短评内容': '总体不错，周围很繁华！当时上去没找到服务，建议弄个像样的办公地点，不知道的还以为那里边是住人！！！！', '短评打分': 3}
{'短评内容': '转了几圈才找到，设施老旧。', '短评打分': 4}
{'短评内容': '柜子容量', '短评打分': 5}
{'短评内容': '非常一般，热水器的水要现插电烧，床上用品看着不舒服感觉不是很干净', '短评打分': 4}
{'短评内容': '一般一般', '短评打分': 5}
{'短评内容': '窗外就是淮河文化广场边上，很漂亮，位置非常好，停车方便。只是服务台在小区内的6楼，第一次去的人较难顺利找到，问门卫才行。房间很大，2张1.5米大床睡得很舒服，干净卫生，以后还会住这里。挺好', '短评打分': 5}
{'短评内容': '还不错，嗯服务还算满意。', '短评打分': 3}
{'短评内容': '很好，不错，值的推荐。。。', '短评打分': 3}
{'短评内容': '酒店不是很干净，服务态度也很怠慢，总之很不开心', '短评打分': 1}
{'短评内容': '看的图片来的，和图片成反比，但是太差了，不干净，房间有发霉的味道，这辈子不会来，床上有小虫子，像跳蚤那种的', '短评打分': 2}
{'短评内容': '地方容易找，但是没有太明显的标志，这点不好！\n酒店里面没有喝水的杯子，没有洗澡巾，没有门锁铰链等等！\n希望下次来的时候改变一下！', '短评打分': 5}
{'短评内容': '不推荐此家酒店。第一，房间里没有毛巾浴巾，只有一个开起来就15块的旅行包，还只有一条毛巾。第二，垫被床单都不是非常干净，叫工作人员换他们还说不用换不用换，挺干净。第三，每天没有工作人员送一次性洗漱用品，都要自己去拿。第四，厨房是没有用的，没有装修，广告打的有点假。第五，我们用的吹风机电一插上就是坏的，把游客吓到了，但是老板硬说是我们弄坏的，还叫我们赔偿。总的来说，是我最不愉快的一次住宿。', '短评打分': 1}
{'短评内容': '新店，服务态度很冷淡！进门门头上竟然还滴水，也不知道干不干净！郁闷！一进门就碰上！', '短评打分': 1}
{'短评内容': '周围的环境倒是很安静，但是屋内的设施并不是很好，床是家庭中的那种木板床，上面铺了一层被子而已，唯一不好的是没有楼层服务员，结账的时候忘记拿发票，打电话让前台找人送一下，他们就推脱忙，也许是真的忙吧！', '短评打分': 1}
{'短评内容': '地势不错  房间里有煤气，还有洗衣机适合长期居住  环境也不错', '短评打分': 5}
{'短评内容': '听说蚌埠开了一个嘉年华主题游乐场，就和几个同学来蚌埠玩。在网上订的房间。到酒店就给顺利安排了，房间在18楼。夜里2点才到，睡了6个小时就来了。感觉酒店的床很舒服，房间里还有个洗衣机，不过我没用上哈，呵呵~~ 负责接待的前台姐姐很热情，多送了我们一套洗漱用品（由于我们一个房间住了3个人，哈哈）说说房间吧，感觉很宽敞，很温馨，和家里一样，有点自助公寓的感觉。也说说不足吧，房间里没有电话，不能打出去联系', '短评打分': 5}
{'短评内容': '酒店服务态度还不错，希望能做的更好。', '短评打分': 5}
