{'短评内容': '下次出出差还会来', '短评打分': 5}
{'短评内容': '性价比很高，也方便', '短评打分': 4}
{'短评内容': '还不错！经常住这里！', '短评打分': 4}
{'短评内容': '干净卫生', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '酒店服务很好  就是没有wifi用  公交车什么的倒是很方便', '短评打分': 3}
{'短评内容': '房子比较陈旧，但卧具还比较干净，整体还可以。', '短评打分': 3}
{'短评内容': '酒店环境很不错离景点都挺近的', '短评打分': 3}
{'短评内容': '酒店环境很不错，只是房间隔音效果有点差，假期房价也非常贵', '短评打分': 3}
{'短评内容': '酒店性价比高，在这个价位，房间如此宽敞，值得推荐，如果再来开封，一定还会入住该酒店，停车方便，酒店还免费提供2瓶水，不错，值得推荐', '短评打分': 4}
{'短评内容': '房子很大，价格公道。', '短评打分': 3}
{'短评内容': '酒店很干净，价位也算实惠，房间味道有些重，不过，还是值得推荐', '短评打分': 3}
{'短评内容': '比较干净，洗澡水也不错，免费早餐能吃饱！！', '短评打分': 5}
{'短评内容': '还好，网上订了一间，实际入住两间，另一间积分什么啥都没的，第二天还短信提醒说未入住，要回短信确认。另外人家还有会员价比网上还便宜，不过没有那个优惠券就是了，凑合着能住，不能期望太高，那个早餐真叫一个。。。。。。', '短评打分': 5}
{'短评内容': '服务态度很好，车位数量一般，房间很大，洗澡水温度很舒服，网速还不错，可以玩网游', '短评打分': 5}
{'短评内容': '这是我住过最好的速8，房间超大，而且干净，服务态度很好。就是早餐太单一，下次再去还会选择住在这里。', '短评打分': 5}
{'短评内容': '距离鼓楼和西司挺近的，交通方便，房间给我的第一个感觉就是宽敞，干净整洁，设施很人性化，服务态度很有爱，我去开封住宿的首选:D', '短评打分': 3}
{'短评内容': '不错，很干净，住着很舒服，价格也不算太高', '短评打分': 5}
{'短评内容': '房间很大，卫生巾碰头也超给力，早餐包子很好吃，就是可选种类不多，总体很好，赞一个～', '短评打分': 3}
{'短评内容': '房间很大，看起来很新的酒店，就是开封市有点旧了，不是想象中的样子', '短评打分': 5}
{'短评内容': '环境很好，就是早餐不是太丰盛，坐公交几站就到鼓楼广场了', '短评打分': 5}
{'短评内容': '在开封边上，酒店房间超级大，设施很新，本来非常喜欢，但是晚上洗澡，水非常冷，超级小。夜里跟本没有办法睡觉，外边过车的 声音非常大，因为酒店邻街，一共才7层，小酒店。关键这都不重要，因为便宜，但是，大家进房间前一定要清点该酒店大型 ，我们就是因为没有留意方便面，数量，说我们消费了一桶，我想说我们自己带的都不吃，会吃你们酒店的方便面，这还是我住了你们多酒店，头一次遇见。太垃圾了。', '短评打分': 1}
{'短评内容': '个人认为这是开封最好的酒店了 同等价位的 ', '短评打分': 5}
