{'短评内容': '酒店其他都好，唯独窗户只能开一点点。。闷人哟', '短评打分': 5}
{'短评内容': '太坑了，居然洗漱用品还要另外加钱，一次性拖鞋也没有，更别提什么早餐之类的了，哎，去一次再也不想去了。', '短评打分': 1}
{'短评内容': '去年入住了感觉还行，就是洗漱用品没有，预定的时候写着有免费的，也没问前台到底有没有，自己带还是放心点。今年回家还是选择住这里，主要是贪图方便，附近什么都有，离自己家也近。酒店配套的毛巾是破洞的，所以还是自带吧。房间这次给的也不大，比去年的小，卫生一般般，厕所里的头发也没清理干净。前台服务员的态度还要继续加强强。', '短评打分': 4}
{'短评内容': '去年入住了感觉还行，就是洗漱用品没有，预定的时候写着有免费的，也没问前台到底有没有，自己带还是放心点。今年回家还是选择住这里，主要是贪图方便，附近什么都有，离自己家也近。酒店配套的毛巾是破洞的，所以还是自带吧。房间这次给的也不大，比去年的小，卫生一般般，厕所里的头发也没清理干净。前台服务员的态度还要继续加强强。', '短评打分': 4}
{'短评内容': '携程下单很快  酒店确认也很快  入住顺利  很满意  希望携程继续抓好服务和质量', '短评打分': 4}
{'短评内容': '非常好，性价比高的酒店', '短评打分': 5}
{'短评内容': '价格实惠，房间整洁、舒适。不错。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '在装修不是很方便', '短评打分': 3}
{'短评内容': '朋友千里迢迢来看我，给他定了鸿达大酒店，位置不错，价格公道？之前住过几次了，一如既往好评！！！！！！', '短评打分': 5}
{'短评内容': '酒店周边配套设施完善，吃的玩的都很方便，酒店服务态度还可以，卫生总体来说不错，但设施比较陈旧，被子有破洞现象。房间窗不能关上，有很多蚊子，咬到小孩子满脸包，这是要扣分很多的地方。洗漱用品没有提供，需自己搞定，好在之前有看评论，自带了一套。', '短评打分': 4}
{'短评内容': '性价比可以，离汽车站很近', '短评打分': 4}
{'短评内容': '环境不错，很安静', '短评打分': 5}
{'短评内容': '又住了一天！', '短评打分': 4}
{'短评内容': '房间性价比不错，出差常住', '短评打分': 4}
{'短评内容': '墙面损坏，灯不亮', '短评打分': 3}
{'短评内容': '可以，还不错，只能说一般化，不是非常高档，但是这个价钱可以的', '短评打分': 3}
{'短评内容': '内部比酒店外看起来要好\n\n在湘潭转了一圈后觉得这应该是很好的酒店了\n\n离去长沙的车很近\n\n真的是走两分钟就能到', '短评打分': 5}
{'短评内容': '酒店很好，处于城中心，但很安静。干净，服务态度好。', '短评打分': 3}
{'短评内容': '酒店房间装修很好，还算干净，但是有个枕头上有黑印，不过有四个枕头，也无所谓了。服务还不错，隔音也很好，在闹市区晚上也很安静，不过房间有点小，厕所里的设施也有点旧。整体还算不错吧。', '短评打分': 5}
{'短评内容': '比较新的酒店。比较干净。服务态度挺好。在雨湖区。 离大学只有4.5公里。推荐。比较好', '短评打分': 5}
{'短评内容': '酒店的位置还不错，离汽车站火车站挺近，出行还是很方便的。', '短评打分': 5}
{'短评内容': '酒店位于市中心，周边交通很便利，环境很好，很干净很舒适，设施也比较新，住的很满意。', '短评打分': 5}
{'短评内容': '在当地算是中上水平，服务上有求必应，位置也很好，周边交通很便利。', '短评打分': 5}
{'短评内容': '这家酒店看起来还比较新，卫生很好，服务也很专业，离毛泽东纪念堂也挺近的，有空也可以参观参观。', '短评打分': 5}
{'短评内容': '酒店设计的挺现代化的，显得挺有档次，服务上也挺热情周到，感觉很亲切。', '短评打分': 5}
