{'短评内容': '设施为新装修', '短评打分': 3}
{'短评内容': '感觉一般，较陈旧', '短评打分': 3}
{'短评内容': '价格还算公道，但是环境不是很好。里面看着比较破旧。而且空调是有问题的，怎么都温度降不下去。', '短评打分': 1}
{'短评内容': '房间太简陋，没有电梯，卫生也很一般。交通不方便。', '短评打分': 1}
{'短评内容': '这家酒店不是很大，在老汽车东站附近，还比较干净，价格便宜，附近吃饭的地方较少，适合到批发市场进货的人入住。', '短评打分': 5}
{'短评内容': '经济实惠，服务态度也很好，房内设施得用，整齐干净，是背包客不错的选择。', '短评打分': 5}
{'短评内容': '位置不错，房内也比较干净，设施还可以。不过窗口面朝大路，对于安静程度要求较高的人可能不太喜欢。', '短评打分': 5}
{'短评内容': '太不好了，东西都很旧，加点钱还不如去住旁边的怡莱，真是后悔死了', '短评打分': 1}
{'短评内容': '没有电梯，空调不制冷，叫了修理后，遥控器一通乱按后，说就是这样的！16度制冷会是那效果吗？又出现上不了网的问题，致电服务台，居然就不理会了！服务真的不行。', '短评打分': 1}
{'短评内容': '位置尚好，靠近汽车东站！', '短评打分': 3}
{'短评内容': '整天条件一般，隔音不好', '短评打分': 3}
{'短评内容': '服务很热情，很干净，交通也很方便的.屋子有点小，不过空气流通还不错，有空调不错', '短评打分': 5}
{'短评内容': '这个价格不贵,不过总觉得不怎么卫生，较安静，是老房子了。附近还有网吧，交通不是很方便。', '短评打分': 5}
{'短评内容': '旁边就高架睡的不安稳', '短评打分': 3}
{'短评内容': '这个价位，在这种地段还算不错了，环境也不错，服务也可以的', '短评打分': 5}
{'短评内容': '交通比较便利，价格适中，符合这个价格的定位。', '短评打分': 5}
{'短评内容': '总的来说还可以，价格经济实惠，环境不错，住宿条件还行', '短评打分': 5}
{'短评内容': '酒店交通还是挺方便的，位置还可以，前台服务周到热情，住宿环境不错', '短评打分': 5}
{'短评内容': '房间打扫的干净整洁，酒店靠近主干道，周边出行还算方便，服务很一般', '短评打分': 3}
{'短评内容': '该酒店一般，如同招待所，服务员态度比较差，下次不会来住了。', '短评打分': 1}
{'短评内容': '总体来说还算不错。价格也实惠。环境也不错。值得推荐。', '短评打分': 5}
{'短评内容': '还好。。不是很差也不是很好，对得起这个价了。交通还是比较方便的  走150米就到濮家新村的公交站了 再晚也有K228 能到~~', '短评打分': 5}
{'短评内容': '酒店位置还可以 环境不错 服务员业务不熟练 询问酒店怎么去都不知道。', '短评打分': 5}
{'短评内容': '酒店跟跟旅社差不多。房间又小，还商务房呢。', '短评打分': 1}
{'短评内容': '前台接待的男孩服务态度不错。酒店的设施、卫生就不敢恭维了，到的时候比较晚，所以也没办法再换酒店。这个所谓的商务酒店比招待所还不如，住的房间门前脏脏一片乱七八糟的东西，地毯极脏。进入房间，甚至没敢洗澡，房间的墙壁到处脏乎乎、桌子上面也是看起来油腻腻的脏东西、卫生间里到处是可疑的污渍.....全部环境只能用一个脏字来概括。真是住着心里难受！', '短评打分': 1}
