{'短评内容': '房间小的可怜，服务=没有，每天要自己洗茶杯。就是个破旅馆', '短评打分': 1}
{'短评内容': '酒店地处商业中心，逛街购物非常方便，房间环境也干净舒适。这一次过来是来参展的，离会展中心很近。', '短评打分': 5}
{'短评内容': '酒店交通方便，价格相对于香港的其他酒店是比较便宜的，房间比较小，但是整洁卫生。距离时代广场步行只需要10分钟，是香港购物入住酒店的不错选择。呵呵。', '短评打分': 5}
{'短评内容': '酒店非常的方便，距离时代广场很近，周围什么都有，价格相对于香港的其他酒店是比较便宜的，所以我推荐还可以，非常整洁卫生，在香港购物是值得推荐入住的酒店。呵呵。', '短评打分': 5}
{'短评内容': '总体还不错，交通很方便，走路就能逛到铜锣湾，附近有条小巷晚上有宵夜，值得一试。就是房间偏小，不过这也算香港特色了。', '短评打分': 5}
{'短评内容': '位置绝佳服务尚可望再提高！', '短评打分': 3}
{'短评内容': '不错，购物交通都很方便！~还能在时代广场看电影，休闲一下！确实不错！~', '短评打分': 5}
{'短评内容': '酒店标房房间很小，卫生间也很小，装修很旧而且地毯很脏。', '短评打分': 1}
{'短评内容': '酒店打的很便利 上网无限量 很好 房间不错', '短评打分': 5}
{'短评内容': '房间很干净，就是床太小了！逛街很方便，到时代广场步行10分钟，时代下面就有港铁！', '短评打分': 5}
{'短评内容': '位置很好，也干净。\nnnd，字数不够，居然要20个以上', '短评打分': 5}
{'短评内容': '酒店很不错 离时代广场超级近。。。很干净卫生 不知道定的时候是不是太晚了 略贵了点哦。。。下次提前点', '短评打分': 5}
{'短评内容': '位置太棒了，离铜锣湾的时代广场很近，房间不大，但干净卫生，设备也不错。住的挺满意的。', '短评打分': 5}
{'短评内容': '我觉得房间比一般酒店要宽敞店，卫生打扫很好，卫生间里设施挺先进的，用着很好用，', '短评打分': 5}
{'短评内容': '房间虽小，但是布置的挺合理，卫生打扫也很好，价格也挺合理，是个不错的选择。', '短评打分': 5}
{'短评内容': '酒店地理位置还不错，离时代广场很近，购物逛街很方便的，周边交通也很方便。', '短评打分': 5}
{'短评内容': '周边环境不错，很多小吃店，晚上还有大排档，离地铁站也挺近，出行很方便，酒店服务卫生也挺好的。', '短评打分': 5}
{'短评内容': '位置挺好，离时代广场挺近，内部环境挺干净，设施挺齐全，隔音效果挺好，就是面积小了点，整体感觉还不错。', '短评打分': 5}
{'短评内容': '酒店不大，但是服务很到位，基本设施也算齐全，早餐也挺丰盛的。', '短评打分': 5}
{'短评内容': '酒店价格不算贵，服务卫生也还好，设施挺齐全，位置相当不错，离时代广场很近，总体感觉性价比挺高。', '短评打分': 5}
{'短评内容': '服务挺周到，房间干净整洁，设施齐全，出行交通便利，总体干净挺不错。', '短评打分': 5}
{'短评内容': '房间挺小，但是设施挺齐全，卫生打扫的也很干净，位置很好，离铜锣湾地铁站和时代广场很近，出行逛街很方便。', '短评打分': 5}
