{'短评内容': '房间很干净就是有点小', '短评打分': 5}
{'短评内容': '闵佳音给办理的入住 很快  王晨辉小伙子服务也很好 很周到 赞', '短评打分': 5}
{'短评内容': '房间整洁，服务态度蛮好。孔凡菊还特意送了迎宾水果。酒店性价比不错。下次还会考虑入住。', '短评打分': 5}
{'短评内容': '很满意。经常来 闵佳音办理入住很快 服务很好。舜和 ，好样的', '短评打分': 5}
{'短评内容': '房间干净卫生，大姐孔凡菊服务很好', '短评打分': 5}
{'短评内容': '  服务很好很热情，鲍莹莹服务很周到满意呢，，，', '短评打分': 5}
{'短评内容': '服务态度很', '短评打分': 5}
{'短评内容': '每次来济南都住这家酒店，设施干净卫生，田磊服务态度非常好！', '短评打分': 5}
{'短评内容': '一般话，不值这个价格', '短评打分': 4}
{'短评内容': '刘彬杜星云服务非常好', '短评打分': 5}
{'短评内容': '服务好  特别是细节很温馨', '短评打分': 5}
{'短评内容': '多次入住，还是一如既往的好！', '短评打分': 5}
{'短评内容': '好小。还行。', '短评打分': 5}
{'短评内容': '好好好好好好好好', '短评打分': 5}
{'短评内容': '很好很舒适，值得拥有的感觉，楼下的德国餐厅很棒很棒！！！', '短评打分': 5}
{'短评内容': '挺不错的，感觉很好的酒店，很好，相信京东', '短评打分': 5}
{'短评内容': '不错，很舒服，很不错的旅馆', '短评打分': 5}
{'短评内容': '周边交通方便，房间设施好', '短评打分': 4}
{'短评内容': '环境好，服务好，交通便利', '短评打分': 5}
{'短评内容': '干净整齐，温馨。已经住过两次了。只是房间面积小', '短评打分': 5}
{'短评内容': '环境很好 房间干净 服务周到', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '每次出差都会入住，性价比高。周围环境不错。酒店硬件配套设施还不错。早上酒店周围打车有点困难。总体来说还不错。', '短评打分': 5}
{'短评内容': '硬件软件都好！', '短评打分': 5}
{'短评内容': '还不错的酒店，以后还会考虑，就是房间小了一点', '短评打分': 5}
{'短评内容': '停车位太少了，停车不方便，其他说的过去', '短评打分': 5}
{'短评内容': '早餐和房间没的说，就是周边车太多', '短评打分': 5}
{'短评内容': '一如既往的支持舜和', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '这酒店不错，服务比较细心，服务员很细致，对老客户会特别关注', '短评打分': 5}
{'短评内容': '服务确实很好，从前台美女到保安后勤全都笑脸相迎，积极帮忙，房间小了点，电视也该升级了。', '短评打分': 3}
{'短评内容': '每次客户到来出差的 首要选择 服务态度好 干净整洁', '短评打分': 5}
{'短评内容': '服务周到，设施准备充分，细节考虑认真。性价比高，很不错。', '短评打分': 5}
{'短评内容': '反正不错的啦  客户每次来都会入住的  服务不错的啦', '短评打分': 5}
{'短评内容': '酒店服务很好，大床房房间小了点', '短评打分': 3}
{'短评内容': '地理位置很方便，环境也很不错，服务很周到。特别表扬吴萍MM，我有吃的东西落下了，吴MM很是热心地主动跟我联系，因为在路上，联系了好几次才跟我通上电话。我说留下给她吧，她很客气，说是给孩子的东西，是个纪念，非常热情地给我寄了回来。酒店因为有了她的周到服务，让我们宾至如归，印象深刻。提议：酒店老板应该给她加工资、发资金！', '短评打分': 5}
{'短评内容': '环境好 很干净   服务很好  这里的微笑服务让我觉得很亲切  家一样的感觉', '短评打分': 5}
{'短评内容': '服务周到，态度热情，非常不错 下次还会再来', '短评打分': 5}
{'短评内容': '服务相当周到，非常不错 工作人员招待很周到', '短评打分': 5}
{'短评内容': '环境很好，服务很到位，还送水果和牛奶！', '短评打分': 3}
{'短评内容': '服务真周到哇，名符其实呀，比想像中的好多了', '短评打分': 5}
{'短评内容': '客户说还不错，5月份客户觉得有点热 但是似乎济南那时候还都没给开空调', '短评打分': 5}
{'短评内容': '服务热情周到，非常满意', '短评打分': 3}
{'短评内容': ' 原来一直是住的天发舜和酒店，都是一个集团的，服务都很好，五星的服务。酒店的早餐也是不错的，房间的床很舒服。推荐！', '短评打分': 5}
{'短评内容': '很不错的一个酒店，服务员的态度非常好，而且酒店的位置离海边很近和到刘公岛码头很近，酒店旁边都小吃街和商场，出入很方便', '短评打分': 5}
{'短评内容': '前台服务好，位置便利，房间有电脑，值得一住。。。', '短评打分': 5}
{'短评内容': '酒店的工作人员非常热情，房间内准备了很多文具，且有免费水果送。酒店内的中餐厅营业到凌晨1:00，非常方便，早餐也很丰富。', '短评打分': 5}
{'短评内容': '服务那个是相当的好啊，房间环境也挺好。。。。。。', '短评打分': 5}
{'短评内容': '服务真的很不错,超5星了.是在济南服务最好的酒店,身在外地感觉很温暖.', '短评打分': 5}
{'短评内容': '初次入住该酒店，确实名不虚传，一进入酒店广场就有保安人员指引车辆，并帮着提拿行李，非常热情，进入酒店大堂后，有服务人员热情招待，并领到总台处办理入住手续，短短的2-3分钟等待时间，竟然有服务员送上毛巾和咖啡，让我非常惊喜，而且有服务人员陪同到房间，途中热情介绍济南的特色景点及酒店的巴西烤肉，我之前也听朋友说过，舜和巴西烤肉在当地非常有名，今天有机会我也去品尝了一下，一进餐厅生意异常火爆，品尝后确实', '短评打分': 5}
{'短评内容': '酒店不错，环境挺好的 服务也不错，就是房间空间在这个等级算一般的。其他的都很全，我感觉不错。', '短评打分': 5}
{'短评内容': '酒店服务非常好，非常细心，是我住过的最好酒店之一，而且餐厅菜品也很好', '短评打分': 5}
{'短评内容': '服务很好！办理入住手续很快，递上的热毛巾、热咖啡很温馨！', '短评打分': 3}
{'短评内容': '该酒店服务，早餐都很不错，但不要在那消费按摩足疗，服务很差。', '短评打分': 5}
{'短评内容': '该酒店的服务比较好，早餐很丰富，每次去济南都住该酒店。', '短评打分': 5}
{'短评内容': '大厅小，环境一般，不过价位可与其条件相当。', '短评打分': 5}
{'短评内容': '房间有点小    小 。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '早餐不错，房间小，隔音不太好', '短评打分': 3}
{'短评内容': '该酒店各方面都不错，早餐也很好，就是房间温度不太高', '短评打分': 5}
{'短评内容': '房间设置很人性化，服务也不错，整体感觉蛮好的，下次还要入住。', '短评打分': 5}
{'短评内容': '进店一杯热咖啡，晚上送水果和酸奶，服务热情周到，设施不错，很干净，感觉很好。', '短评打分': 5}
{'短评内容': '一直住该酒店，每次都有新发现，现在新增的夜宵很不错，而且服务员的态度很好，不会因为你只点一盘饺子而给你看脸色，这样的服务以后一定会吸引很多的顾客上门的，衷心希望舜和集团能在其他城市也开出同样的酒店，我会一如既往，追随你们。', '短评打分': 5}
{'短评内容': '不错 很温馨 本人非常满意 相信我还会再次光临的 呵呵', '短评打分': 5}
{'短评内容': '绝对是住过的服务最好的酒店，性价比很高。房间装修温馨，并且配备了各种贴心的工具，并且提供电脑。房间服务阿姨知道我在复习还很贴心地帮我拿了一台护眼灯，各种酸奶水果，总之是很感动啦~如果去济南需要住宿的话必然还是这一家~', '短评打分': 5}
{'短评内容': '服务真的很好…下次绝对要去…', '短评打分': 3}
{'短评内容': '环境很不错，尤其是服务态度，很喜欢的哇~', '短评打分': 5}
{'短评内容': '酒店不大，设施还行，不过他们的服务真的很不错！一直住这家酒店。', '短评打分': 5}
{'短评内容': '服务非常好。酒店房间偏小。就是这个价格不含早餐，不过早餐的价格还算厚道', '短评打分': 5}
{'短评内容': '初次入住这家酒店，给我留下深刻印象，每个服务人员训练有素，有礼貌也很热情\n\n在办住宿登记时有服务人员呈上热毛巾可以让住宿的客人擦擦手，然后还有免费的热咖啡提供，这一点很有酒店自己的服务特色\n\n房间除了小了点以外其它都很好，干净整洁，晚上有免费牛奶提供！\n\n早餐品种丰富，38/位，很超值！\n\n有机会来济南还会选择入住！', '短评打分': 5}
{'短评内容': '每次去济南基本上首选山东舜和天禧酒店，一是因为距我的客户比较近，再者，该酒店几次住过后的感觉一直不错，希望以后能更好', '短评打分': 5}
{'短评内容': '非常好的酒店！非常的给力，非常的人性！非常的好！', '短评打分': 5}
{'短评内容': '总体还行；特别是服务很热情。但房间里有台阶，玻璃门，有些危险，差点摔倒和撞坏。另外，挂牌3星，为什么Elong按4星来推荐呢', '短评打分': 5}
{'短评内容': '房间环境相当不错，装修布局很有家居风格，让人感到有宾至如归的感觉。有电脑能上网，各种茶叶和水果都是免费的，不愧是四星级标准。', '短评打分': 5}
{'短评内容': '酒店服务非常好，客房感觉很温馨，到下午如果客人在房间除了送水果还送了一杯热豆浆，唯一不方便的是房间里的桌子，上面放了彩电/烧水的电热水壶还有酒店配置的电脑，如果自带电脑的办公的话不是很方便，建议把彩电换成液晶的，这样能腾出好些空间', '短评打分': 5}
{'短评内容': '还不错，就是房间有点小，挨着经十路，有点吵', '短评打分': 5}
{'短评内容': '第二次入住了，很好的酒店，硬件服务都不错。', '短评打分': 5}
{'短评内容': '酒店紧邻马路，比较吵，我的房间安排在背面，以为比较安静，但整晚都听到轰隆隆的声音，以为是工地，早上发现是锅炉，够不幸的，第二天赶紧换地方。酒店服务还是不错的，有舜的特色', '短评打分': 5}
{'短评内容': '房间还可以 房间还可以房间还可以房间还可以', '短评打分': 5}
{'短评内容': '该酒店业是多次入住，这次的特价房感觉比较值，以后若有相同条件的房间，考虑再次入住。', '短评打分': 5}
{'短评内容': '非常满意，服务很好，有水果，小礼物，还有手写的信。设施非常全，不比五星差。', '短评打分': 3}
{'短评内容': '不错，服务到位，房间宽敞整洁，酒店位置佳，容易找，出行也比较方便', '短评打分': 5}
{'短评内容': '酒店服务很好，室内也很干净。就是搞不清开始入住时网上用了20元消费券前台却没这信息。', '短评打分': 3}
{'短评内容': '近一年来出差最满意的酒店！房间不错！服务更好！有小礼品和水果送，每个服务员都很热情周到，无微不至！真的很好！比很多五星级都贴心！', '短评打分': 5}
{'短评内容': '酒店服务不错，办理登记手续的时候有暖暖的咖啡，很温情。美中不足的是商务标准间里没有液晶电视。', '短评打分': 5}
{'短评内容': '服务超好 设施齐全 设施舒服 管理人性化 方便 手续简便 快捷 强烈推荐 。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '在附近上学，选择这家酒店。总体来说，房间的硬件条件基本可以，地理位置也可以，服务质量不错，价格有点高。\n', '短评打分': 5}
{'短评内容': '非常好，环境好，位置好，房间好，早茶好，服务一流好，服务员更是没得说，总而言之，超级棒，所有的都很好。', '短评打分': 5}
{'短评内容': '房间的硬件条件基本可以，地理位置也可以，总台服务质量稍差。', '短评打分': 5}
{'短评内容': '除了较远以外，其他还都好。从济南火车站过去不算近', '短评打分': 5}
{'短评内容': '服务还是不错的，只是房间有点小。饭菜味道不错。', '短评打分': 5}
{'短评内容': '不错的酒店，服务很周到热情，有家的感觉，交通也很方便。', '短评打分': 5}
{'短评内容': '服务不错，硬件还可以 ，价格偏高，应该提供免费早餐', '短评打分': 5}
