{'短评内容': '停车方便，住也很好', '短评打分': 5}
{'短评内容': '厕所堵了。', '短评打分': 5}
{'短评内容': '还不错，地理位置不错', '短评打分': 5}
{'短评内容': '环境很干净', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '值得推荐这家', '短评打分': 5}
{'短评内容': '还可以，还可以，还可以，还可以', '短评打分': 5}
{'短评内容': '！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '整体还行', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间不错，虽然小点但是很干净。就是窗外空调外机噪音大些。早餐很丰富。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '一如既往的好', '短评打分': 5}
{'短评内容': '酒店有地方停车很不错，总台服务很好，房间干净卫生，以后还会再去的，谢谢啦。', '短评打分': 4}
{'短评内容': '锦江之星的软硬件都没的说 很满意 就是房间窗户小了些 ', '短评打分': 5}
{'短评内容': '一般，不太干净，吃饭\n很贵。', '短评打分': 3}
{'短评内容': '新酒店，感觉比较干净和精致，床挺舒服的，标准间的床一大一小。房间的确很小，这个价格的房间，没有对外的窗户，只有一扇很小的对着一个通风井的窗户，采光不好，不过由于不沿街，绝对是很安静，就是睡个觉，挺好的。房间的墙都是隔板装修的，可能会听到走廊上的说话声。总体来说，还是很推荐的。', '短评打分': 5}
{'短评内容': '还好，挺干净，就是小了点，隔音效果不好，但是，很干净', '短评打分': 5}
{'短评内容': '房间小一点，。靠近路德房间有点吵，别的都还不错', '短评打分': 5}
{'短评内容': '还不错呢!干净舒服!交通也比较便利!就是网上订房得12点之前退房!', '短评打分': 3}
{'短评内容': '感觉蛮干净。', '短评打分': 3}
{'短评内容': '还不错 就是房间太小了 隔音也不太理想 住在4楼 有个平台 会有人走过', '短评打分': 5}
{'短评内容': '卫生条件一如既往，服务还是很好的，房间小点，但很舒适', '短评打分': 5}
{'短评内容': '房间较小，隔音效果一般。服务尚可，干净条件都是一般商务酒店的标准。', '短评打分': 5}
{'短评内容': '离市中心挺近的，周边吃饭什么的也算方便,本身也有小厨房\n还挺干净的，就是房间是没窗户的\n', '短评打分': 5}
{'短评内容': '初次入住锦江之星，卫生、装修风格别致，服务很好，特别是10月1日晚值班的停车场保安，值得表扬，总体感觉不错，好评！', '短评打分': 5}
{'短评内容': '客房还可以，和前一个星期住的一样。只是酒店的早餐实在不敢恭维！18元一位，花样很少，远不如银座佳驿的丰盛', '短评打分': 5}
{'短评内容': '环境不错，秉承了锦江一贯的特点。就是入住时有些慢，总体不错！前台工作人员态度可嘉，有机会还是选择锦江！', '短评打分': 5}
{'短评内容': '1、因为用信用卡担保了，但入住时间不确定，打前台电话转啊转，转了7、8次都没转进去，无语。\n2、电话咨询了锦江之星的统一电话，说给我回复，等到花儿也谢了，没有。\n', '短评打分': 1}
{'短评内容': '酒店还可以', '短评打分': 3}
{'短评内容': '比较干净，床挺舒服，但是房间比较小，是住过的酒店里最小的，靠马路，所以有点吵，窗户和强的隔音效果一般。。。', '短评打分': 1}
{'短评内容': '挺好，房间挺干净，唯一的遗憾是没有特价房，如果有特价房的话，会更好了。', '短评打分': 5}
{'短评内容': '锦江之星一直是我和朋友选择入住的酒店之一，所以我会向大家推荐，但是我本次入住的枣庄店的房间的空调不太好，漏了一晚上的水，我放在地上的包都湿了，空调的按键使用也不太灵活，需要找卡片挡着，不断调整角度才好不容易选择到所需的温度，如果其他人要入住的话一定要检查以下，不要出现我的这种现象，及时换房。', '短评打分': 5}
{'短评内容': '不错，挺干净的，早餐太少', '短评打分': 3}
{'短评内容': '店面干净整洁~\n室内较小，但是也很整洁~\n环境不错~\n', '短评打分': 5}
{'短评内容': '谢谢', '短评打分': 3}
{'短评内容': '2\u3000挺干净的，价格便宜，就是离景区远点', '短评打分': 3}
{'短评内容': '窗户小了一点。不过床睡的还算舒服，但电视有点小。', '短评打分': 5}
{'短评内容': '在枣庄是不错的了，室内环境很好，条件跟这个价位挺匹配，不足的话，隔音差点，晚上11点走廊大妈还有动静，外面噪音还行，控制的', '短评打分': 5}
{'短评内容': '锦江的服务一直很不错，就是位置太偏僻，距离我办事的位置远离车站也不近。', '短评打分': 1}
{'短评内容': '酒店内部环境不错，但是周围吃饭的地方比较少，总体来说还是可以的', '短评打分': 5}
{'短评内容': '感觉还可以  还干净的 对于出差来说没什么太多的要求 环境过的去就好', '短评打分': 5}
{'短评内容': '绝对是那条街上看上去最顺眼的建筑~快捷酒店~都一样', '短评打分': 5}
{'短评内容': '隔音太差太嘈', '短评打分': 3}
{'短评内容': '比较干净。早餐还可以。服务员态度好，但对怎么去到该店的路线讲的不是很清楚。\n', '短评打分': 5}
{'短评内容': '商务连锁酒店，在当地口碑不错，而且设施也比较全面，住着舒服就好.', '短评打分': 5}
{'短评内容': '客房比较新，整体感觉比较干净，包括设施还有日常用品都很不错.', '短评打分': 5}
{'短评内容': '位置好，距离汽车站很近.去哪都挺方便的，室内环境也非常不错.', '短评打分': 5}
{'短评内容': '在枣庄这家酒店的性价比很高，口碑也不错，比较符合我的心意，整体来讲还是很好的.', '短评打分': 5}
{'短评内容': '服务人员办事效率挺快的，有需要帮助他们都很热心，让我感觉很亲切.', '短评打分': 5}
