{'短评内容': '一般，吃饭不太方便，主要是离客户哪里近', '短评打分': 4}
{'短评内容': '还可以便宜', '短评打分': 5}
{'短评内容': '总体一般，作为普通落脚地点还不错', '短评打分': 4}
{'短评内容': '出差没网络，很伤！有机麻房，稍微有些吵！其他都还可以吧！', '短评打分': 4}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '还行还行还行还行吧', '短评打分': 5}
{'短评内容': '还行  热水可以再给力点', '短评打分': 3}
{'短评内容': '坏境还行  热水不是很热。反正洗着不是很冷  但是前天那位男服务员态度不敢恭维  可能是老板吧。', '短评打分': 3}
{'短评内容': '整体一般，性价比还可以，位置有点偏，靠近火车站。', '短评打分': 3}
{'短评内容': ' 这样的价钱 住着样的房间 很可以的  大家可以去那里感受吧', '短评打分': 5}
{'短评内容': '各人认为还不错，特点比较安静，经济实惠！', '短评打分': 5}
{'短评内容': '住的还行，就是服务不怎么好，收拾一下房间另外收我20', '短评打分': 3}
{'短评内容': '环境还好 就是地理位置难找 房间小了点 别的还行', '短评打分': 5}
{'短评内容': '房间还比较干净，住宿环境非常好，价格也差不多。还得了30元的返券。隔音效果不是很好，但这样已经很不错了', '短评打分': 5}
{'短评内容': '房间非常大，床非常大', '短评打分': 3}
{'短评内容': '房间很大很干净，床也很大', '短评打分': 3}
{'短评内容': '不错。住宿环境非常好，价格也便宜，来孝感出差的话，如果不要求地理位置，这个酒店非常值。。。', '短评打分': 5}
{'短评内容': '还可以，服务态度都挺好的，也很热情。酒店的环境也不错，也很安静。', '短评打分': 5}
{'短评内容': '非常好，房间大，床好', '短评打分': 3}
{'短评内容': '前台加服务生态度很好，且环境都还不错，电脑房电脑性能很好', '短评打分': 5}
{'短评内容': '房间很大  床很大  洗手间也很大  总之房间很满意  只是隔音不是很好  走廊外的声音很大  总体来说值得推荐  价格也不贵', '短评打分': 5}
{'短评内容': '酒店还算干净，但设施比较简单', '短评打分': 3}
{'短评内容': '环境还不错，浴室蛮有特点，玻璃墙的。', '短评打分': 3}
{'短评内容': '空间不错，环境舒适，单人间床挺大，性价比不错。', '短评打分': 5}
{'短评内容': '前台很好，很热情！推荐了～！！！！！！！！！！', '短评打分': 5}
