{'短评内容': '不错，房间有点小', '短评打分': 5}
{'短评内容': '房间卫生蛮好，不错！', '短评打分': 5}
{'短评内容': '酒店早餐样数单一，不好吃，卫生间排风扇噪音大，房间通风不好，衣架设计不合理', '短评打分': 3}
{'短评内容': '早餐差了些，其他都不错', '短评打分': 5}
{'短评内容': '整体影响还过得去。啦啦啦啦啦了啦啦啦了啦啦啦啦啦了啦啦啦啦啦啦啦啦啦啦了了了啦啦啦啦啦了啦啦啦了丽雯何。', '短评打分': 3}
{'短评内容': '房间小，环境差', '短评打分': 1}
{'短评内容': '还可以吧，一般这个价钱的酒店也都差不多', '短评打分': 4}
{'短评内容': '房间太小，和图片的感觉差得有点多，感觉一般，不会想去第二次', '短评打分': 2}
{'短评内容': '总体来说很差，不卫生，床单被套肯定不是一客一换', '短评打分': 1}
{'短评内容': '环境好，早歺差，服务态度一般！舒服！', '短评打分': 4}
{'短评内容': '卫生条件不错，安排在二楼临街，很吵。床头插板都没得，一台老式小电视。', '短评打分': 3}
{'短评内容': '总体来说还算可以。', '短评打分': 4}
{'短评内容': '还不错，挺好的，卫生还可以！！！！！！', '短评打分': 3}
{'短评内容': '周边很方便，环境一般般。', '短评打分': 4}
{'短评内容': '房间有点潮湿其他一般吧', '短评打分': 3}
{'短评内容': '＋不值这个价 很旧很破', '短评打分': 3}
{'短评内容': '价格比较便宜，含双早餐，所处位置交通方便，其他设施一般', '短评打分': 5}
{'短评内容': '卫生还不错，但是硬件设施都比较陈旧了，没想到156的价格还含了两个人的早餐', '短评打分': 1}
{'短评内容': '服务态度不是很好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
