{'短评内容': '不行', '短评打分': 1}
{'短评内容': '总体来说还可以', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '交通比较方便。', '短评打分': 4}
{'短评内容': '还是可以的', '短评打分': 5}
{'短评内容': '早餐虽然就平常，但是种类还是挺多的，味道也不错。不好的地方就是，房间隔音不太好，设施稍微老旧了！停车要趁早，不是没有位置啦！', '短评打分': 5}
{'短评内容': '房间比较大，客房卫生干净，房间设施齐全。周边交通，吃饭十分方便。但是前台接待员退房时态度生硬，说话口气硬，素质不高。', '短评打分': 4}
{'短评内容': '位置还是不错的。周围交通也比较便利。比较热闹', '短评打分': 5}
{'短评内容': '房间老旧，晚上还吵的很，隔音效果不好，洗澡还漏水。', '短评打分': 3}
{'短评内容': '一直是靠您的会员，以前还觉得不错，现在越来越差了，刚开门进去塞的全是小卡片，而且电梯坐着也心惊胆战的！空调很给力，反正总提也就一般，更愿意青睐全季了', '短评打分': 4}
{'短评内容': '很好，很舒适', '短评打分': 5}
{'短评内容': '环境可以，下次还住。', '短评打分': 5}
{'短评内容': '很好，，', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '性价比较高', '短评打分': 5}
{'短评内容': '酒店因为交通便利，有点吵；现在是秋冬季节，晚上有点冷，被子偏薄', '短评打分': 5}
{'短评内容': '一般，房间较旧', '短评打分': 3}
{'短评内容': '酒店舒适，但是停车难', '短评打分': 3}
{'短评内容': '酒店位置不错，房间也还行，早餐差点', '短评打分': 3}
{'短评内容': '房间还可以就是有点小。如果在大些的话就好了\n', '短评打分': 5}
{'短评内容': '酒店位置还好 位于老城区和新城区交接的中心地段 附近吃的也多 楼下有家大型商场', '短评打分': 5}
{'短评内容': '房间还可以，就是整个酒店的灯光太暗，房间也暗', '短评打分': 5}
{'短评内容': '隔音效果还可以，早餐可以，服务态度还不错。总之综合性价比还不错。', '短评打分': 5}
{'短评内容': '早餐还行，就是感觉东西少了点，起晚的话有些都吃不到了', '短评打分': 5}
{'短评内容': '不错的酒店，底下有吃喝一条街，翘脚牛肉，叶儿粑，主要是带车的话，地下停车场宽敞', '短评打分': 5}
{'短评内容': '挺方便，楼下就是人人乐超市，去购物吃饭都挺方便。', '短评打分': 5}
{'短评内容': '不错，每一连锁店都比较一致，干净整洁。乐山店楼下就是人人乐，很方使。', '短评打分': 5}
{'短评内容': '房间一般', '短评打分': 3}
{'短评内容': '已经是第二次来咯~~~酒店位置很方便。。。环境相当不错。。。不过就是我住的那天早晨6点半，给我隔壁morning call的姐姐忒大声了点儿......', '短评打分': 5}
{'短评内容': '22楼不吵，干净.在市区，下面是人人乐，购物方便。停车免费', '短评打分': 5}
{'短评内容': '总体印象还可以，硬件和服务都不错。性价比还行', '短评打分': 5}
{'短评内容': '离吃东西和逛街的地方比较近，还比较方便。', '短评打分': 5}
{'短评内容': '早餐一如既往的让人伤心，实在有待改进，加点牛奶，咖啡，炒饭什么的嘛', '短评打分': 5}
{'短评内容': '住了好多次了，感觉还是不错的，旧是旧了点，不过整体还是不错的', '短评打分': 5}
{'短评内容': '早餐不咋样', '短评打分': 3}
{'短评内容': '房间内设施一般。。甚至有些老旧，最受不了的就是窗户像是没有安装一样的吵，第二天一早楼下车水马龙的声音就无法安睡了，最揪心的就是晚上入住的时候发现。。。周围的两间房都是俩老爷们带着小姐来开房的。。。回去心里这叫一个别扭\n但是前台小姑娘服务热情，而且还给我指出了去小吃一条街吃饭，距离小吃街好近，吃了个肚歪~回来后至今念念不忘小吃街', '短评打分': 1}
{'短评内容': '在乐山的闹市区，楼层很高很安静，离张公桥夜市很近，旁边还有购物店。酒店环境非常好，房间宽敞干净，淋浴也很不错，是个好地方。', '短评打分': 5}
{'短评内容': '性价比高的酒店，干净，免费地下停车场车位多，临近好吃街', '短评打分': 5}
{'短评内容': '其他都还好 就是居然没有网线  房间也没说上面说的那么大 只有20平米左右 差了10到20平米\n', '短评打分': 5}
{'短评内容': '楼层高,可以看夜景,住的挺舒服.', '短评打分': 3}
{'短评内容': '··感觉不错，就是洗手间有点小，下次继续支持···', '短评打分': 5}
{'短评内容': ' 住在23楼，房间干净，采光不错。底楼就是人人乐，购物方便，交通便利，从客运站坐12路，9路到张公桥下车就到了。', '短评打分': 3}
{'短评内容': '很满意', '短评打分': 3}
