{'短评内容': '虽然装饰很久了，但是躺在床上还是有回家的感觉', '短评打分': 5}
{'短评内容': '还不错，多次住了，性价比很高，环境还可以，停车也方便。就是五楼的夜总会晚上有点吵。总的说来还是不错的。', '短评打分': 5}
{'短评内容': '很好，干净舒服', '短评打分': 5}
{'短评内容': '总体来说不错，前几年经常住，最近才又入住，就是觉得杯子洗的不干净，特别是洗手间的牙杯，', '短评打分': 5}
{'短评内容': '很好，性价比高，都住白宫', '短评打分': 5}
{'短评内容': '酒店服务很好！很舒服！很干净！很满意！交通也很方便', '短评打分': 5}
{'短评内容': '晚上有点吵，服务态度一般', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '这是什么酒店啊？', '短评打分': 5}
{'短评内容': '名字很好听，感觉也不错', '短评打分': 5}
{'短评内容': '高兴的高好了', '短评打分': 5}
{'短评内容': '一般般一般一般一般般一般一般一般般一般一般一般般一般一般一般般一般一般一般般一般一般一般般一般一般一般般一般一般一般般一般一般', '短评打分': 5}
{'短评内容': '住好几天', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '酒店还行，性价比挺高，就是早餐差了很多，有待改善', '短评打分': 3}
{'短评内容': '价格合适，环境好，服务佳', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好 好好好好', '短评打分': 5}
{'短评内容': '物美价廉，交通方便，下次再来。', '短评打分': 5}
{'短评内容': '总的不错，什么都挺好的。', '短评打分': 3}
{'短评内容': '有点吵 其他的还好~不够20个字，，，，，，，，，，，，，，，，，，，，，，，，真麻烦啊', '短评打分': 5}
{'短评内容': '不错.对的起这价.实惠下次还住白宫.非常的不错', '短评打分': 5}
{'短评内容': '房间还可以。网络也很快。就是吃东西不方便', '短评打分': 3}
{'短评内容': '设施还不错，电脑光钎上网速度很快。卫生比较干净，服务态度也不错。就是前台刷卡的话有些麻烦，最好入住的时候选择现金付款！', '短评打分': 5}
{'短评内容': '房间一般般卫生间看起来不舒服,早餐好差感觉离市中心也不方便.当房间里的卫星电视很多太看,总体来说还好', '短评打分': 1}
{'短评内容': '环境比较差，我住的是豪单，但环境我觉得比一般旅社还不如，窗户门口就是广告牌，跟没有窗户一样，卫生环境也很差，硬软件设施均有待提高。', '短评打分': 1}
