{'descr': '还不错吧，吃过几次了还可以&hellip;以后还会来', 'star': 5}
{'descr': '挺好的挺好的挺好的', 'star': 5}
{'descr': '挺好的，2016新装修的，第一次住海友，环境很好，很干净，前台服务态度也特棒，手工点赞', 'star': 5}
{'descr': '好好好', 'star': 5}
{'descr': '没法停车', 'star': 3}
{'descr': '啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊', 'star': 5}
{'descr': '好好好好好啊好还是少啊佳波好haohao', 'star': 5}
{'descr': '好好好好好好好好好好好好好好啊', 'star': 5}
{'descr': '马马虎虎，将就将就。感觉没之前好了。', 'star': 4}
{'descr': '还行 打车不太好打', 'star': 4}
{'descr': '中规中矩商务酒店，但在锦江官网上没有此店！！！', 'star': 4}
{'descr': '周边交通很方便，离景点较近。但这环境卫生不好，地面都裂了，卫生间里面的地漏堵了。而且这电视不知是从哪个朝代穿越来的。本来对锦江之星印象挺好的，结果......', 'star': 3}
{'descr': '设施稍显陈旧，电视没信号，地质地图定位不是太准。周边设施一般般。不过临时歇脚不错了。价格也合适。', 'star': 4}
{'descr': '酒店周边环境还可以，酒店设施不错，卫生很好，期待下次再次入住', 'star': 4}
{'descr': '好', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '酒店在繁华市区中，闹中取静，周围出行十分方便', 'star': 4}
{'descr': '太脏，床上还有头发，服务态度很不好', 'star': 1}
{'descr': '交通便利，与要办事的地方很近，很方便，环境比较好，比较干净', 'star': 5}
{'descr': '免费餐券入住的时候给比较好吧，结账时不提醒总是不给', 'star': 5}
{'descr': '经常住这，非常不错，干净卫生，交通方便。值得推荐', 'star': 5}
{'descr': '就是有点贵！！！！！！！！！！！1111', 'star': 5}
{'descr': '小贵！！！！！！！！！！！！！！！！！！！！！1', 'star': 5}
{'descr': '锦江的房间还是一如既往的不错，就是前台的服务人员比较差，服务那叫一个慢，价格应该算比较贵了，周围有超市，就是在小巷子里，除非打车，否则不太好找', 'star': 5}
{'descr': '挺不错，只是地方太不好找了，而且前台误导说离火车站很近，其实很远的……', 'star': 3}
{'descr': '酒店位置很好,不在主街上,晚上很安静.交通也很方便,离办事的地方很近, 步行就能到柳巷.酒店服务也不错,服务员很热情,值得入住', 'star': 5}
{'descr': '位置不太好找，在小巷子里面。房间布置还可以，干净卫生。价格有点儿偏高，下次还会住吧。', 'star': 5}
{'descr': '非常不错的酒店，服务态度很好，安全、卫生、性价比高，我每次都住在这里，很喜欢。', 'star': 5}
{'descr': '还不错，干净，就是装修不算太温馨，地理位置是不错的，如果想去购物和办事都会比较方便\n', 'star': 5}
{'descr': '床适中，非常适合入睡，但有个缺点：电视机虽然是液晶，可是太小了，睡在床上如果是近视眼我估计看不到', 'star': 5}
{'descr': '地理位置佳，住宿条件干净，服务到位，周围购物、招待方便，理想的商务住所。现在房间紧张，须提前E LONG预定。', 'star': 5}
{'descr': '房內佈置簡單但清理非常乾淨，且備有紙筆，不比國際級酒店差。\n另服務態度很好。早餐種類雖不多，但菜色均衡營養。\n我退房時已項服務人員表達稱讚。', 'star': 5}
{'descr': '真的蛮不错的，服务态度，环境。我都挺喜欢的、', 'star': 5}
{'descr': '位置很不错，安静而且离商业区又不远。价格略高', 'star': 5}
{'descr': '地理位置优越，位于市中心，我们去办事很方便，其他条件和全国的锦江之星一样，干净舒适', 'star': 5}
{'descr': '还不错，房间也干净！就是价格不算便宜哦！房间干净整洁，可以再住。', 'star': 5}
{'descr': '还不错，交通比较方便，在商业中心区，房间也干净！房间稍微有点小，不过这个价钱也很划算了！', 'star': 5}
{'descr': '常客，没啥可评论的，就是一点，价格涨的有些太快，已经快超出我所承受的极限了。', 'star': 3}
{'descr': '常客，没啥可评论的，就是一点，价格涨的有些太快，已经快超出我所承受的极限了。', 'star': 3}
{'descr': '交通方便，干净卫生，能有免费早餐就更好了。', 'star': 5}
{'descr': '交通方便，干净卫生，能有免费早餐就更好了。', 'star': 5}
{'descr': '每次入住此家酒店，商住使用，地理位置方便，周围就是商业区，买特产方便。', 'star': 5}
{'descr': '每次入住此家酒店，商住使用，地理位置方便，周围就是商业区，买特产方便。', 'star': 5}
{'descr': '房间很干净,不错综的简约风格.', 'star': 3}
{'descr': '房间很干净,不错综的简约风格.', 'star': 3}
{'descr': '在快捷酒店里，锦江之星就算是做的很好的了；房间干净，服务也不错', 'star': 5}
{'descr': '在快捷酒店里，锦江之星就算是做的很好的了；房间干净，服务也不错', 'star': 5}
{'descr': '住宿餐饮皆佳，交通便利，出行方便,属于商业区。但做好提前预定，房源有时紧张。', 'star': 5}
{'descr': '住宿餐饮皆佳，交通便利，出行方便,属于商业区。但做好提前预定，房源有时紧张。', 'star': 5}
{'descr': '房间干净,服务态度好', 'star': 3}
{'descr': '房间干净,服务态度好', 'star': 3}
{'descr': '条件一般 楼下餐厅很差劲', 'star': 3}
{'descr': '条件一般 楼下餐厅很差劲', 'star': 3}
{'descr': '位置可以，到太原的柳巷步行街很方便，而且周边有大超市，但259元的房间还不包括早餐，比较贵啦！性价比不太高了。', 'star': 1}
{'descr': '位置可以，到太原的柳巷步行街很方便，而且周边有大超市，但259元的房间还不包括早餐，比较贵啦！性价比不太高了。', 'star': 1}
{'descr': '酒店地理位置好，出行很方便，卫生条件好，服务很周到', 'star': 5}
{'descr': '酒店地理位置好，出行很方便，卫生条件好，服务很周到', 'star': 5}
{'descr': '到太原一直住的酒店，放心，干净卫生，服务周到', 'star': 5}
{'descr': '到太原一直住的酒店，放心，干净卫生，服务周到', 'star': 5}
{'descr': '十不错，就是纸杯喝热开水不方便', 'star': 3}
{'descr': '十不错，就是纸杯喝热开水不方便', 'star': 3}
{'descr': '服务很好呀，人性化，其它也都不错，保持了锦江的风格！', 'star': 5}
{'descr': '服务很好呀，人性化，其它也都不错，保持了锦江的风格！', 'star': 5}
{'descr': '早餐很好', 'star': 3}
{'descr': '早餐很好', 'star': 3}
{'descr': '还行吧，就是涨价了，觉得没有以前实惠了，希望商家能够体谅我们这些穷人。嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎', 'star': 5}
{'descr': '还行吧，就是涨价了，觉得没有以前实惠了，希望商家能够体谅我们这些穷人。嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎', 'star': 5}
{'descr': '酒店位置不错，就是停车不太方便，服务态度很好，刚进入房间异味很大，开了窗户后才走了味道，其他的还可以，希望能把停车这一问题考虑的多一点，那样就更好了，总体不错，', 'star': 5}
{'descr': '酒店位置不错，就是停车不太方便，服务态度很好，刚进入房间异味很大，开了窗户后才走了味道，其他的还可以，希望能把停车这一问题考虑的多一点，那样就更好了，总体不错，', 'star': 5}
{'descr': '酒店工作人员服务不错，只是设施太过陈旧了，感觉不太舒服。', 'star': 5}
{'descr': '酒店工作人员服务不错，只是设施太过陈旧了，感觉不太舒服。', 'star': 5}
{'descr': '环境不错，服务上成', 'star': 3}
{'descr': '环境不错，服务上成', 'star': 3}
{'descr': '优点：\n服务人员态度等很好，训练有素；周围有个小市场，吃饭买水果方便；房间比较大，住着舒服。位置非常好，房间很静。\n缺点：\n1）经常接待旅游团，人多；2）不好停车，交通容易发生拥堵；3)房价略微偏高，屋内设置有些偏旧了；', 'star': 5}
{'descr': '优点：\n服务人员态度等很好，训练有素；周围有个小市场，吃饭买水果方便；房间比较大，住着舒服。位置非常好，房间很静。\n缺点：\n1）经常接待旅游团，人多；2）不好停车，交通容易发生拥堵；3)房价略微偏高，屋内设置有些偏旧了；', 'star': 5}
{'descr': '在太原很方便的地方 保持了锦江之星一贯的干净的品质 前台服务很好', 'star': 5}
{'descr': '在太原很方便的地方 保持了锦江之星一贯的干净的品质 前台服务很好', 'star': 5}
{'descr': '这个宾馆还不错，服务质量也比较高。地理位置还可以，晚上出去散步，可以去附近的河边走走，感觉的到社会的和谐。', 'star': 5}
{'descr': '这个宾馆还不错，服务质量也比较高。地理位置还可以，晚上出去散步，可以去附近的河边走走，感觉的到社会的和谐。', 'star': 5}
{'descr': '地点很好。去哪里都方便，就是人很多。建议选择这个店，比其他几家都方便一些，门前是单行线，不过还可以。', 'star': 5}
{'descr': '地点很好。去哪里都方便，就是人很多。建议选择这个店，比其他几家都方便一些，门前是单行线，不过还可以。', 'star': 5}
{'descr': '酒店位置很好，到哪里都方便，设施很好，值得推荐。我正好赶上接待旅游团，人多。', 'star': 5}
{'descr': '酒店位置很好，到哪里都方便，设施很好，值得推荐。我正好赶上接待旅游团，人多。', 'star': 5}
{'descr': '不错的 在太原这个城市 这个酒店一如既往的保持干净', 'star': 5}
{'descr': '不错的 在太原这个城市 这个酒店一如既往的保持干净', 'star': 5}
{'descr': '卫生干净，不错，住过好多次，服务也不错。。。。。。。。。。。。', 'star': 5}
{'descr': '卫生干净，不错，住过好多次，服务也不错。。。。。。。。。。。。', 'star': 5}
{'descr': '房间比较干净，价格适中，推荐朋友入住，附近吃饭和交通也比较方便。', 'star': 5}
{'descr': '房间比较干净，价格适中，推荐朋友入住，附近吃饭和交通也比较方便。', 'star': 5}
{'descr': '朋友来一般会推荐这个宾馆，上次反应说洗浴设备比较陈旧，这次住的房间已经换了，谢谢！', 'star': 5}
{'descr': '朋友来一般会推荐这个宾馆，上次反应说洗浴设备比较陈旧，这次住的房间已经换了，谢谢！', 'star': 5}
{'descr': '不错的酒店，干净卫生，服务周到，处于繁华市区之中，很方便。', 'star': 5}
{'descr': '不错的酒店，干净卫生，服务周到，处于繁华市区之中，很方便。', 'star': 5}
{'descr': '房间干净整洁，早餐也不错，交通也便利，值得推荐', 'star': 5}
{'descr': '房间干净整洁，早餐也不错，交通也便利，值得推荐', 'star': 5}
{'descr': '位置还挺方便的，卫生也不错。水在前台发的，就为啥不能直接放房间里呢？', 'star': 5}
