{'短评内容': '地理位置比较好，离上课的地方比较近，下次还会选择这家的', '短评打分': 5}
{'短评内容': '价格还可以。就是前面在修地铁有点不方便。等到修好交通应该会更好。', '短评打分': 5}
{'短评内容': '此宾馆在也不会去了，前台服务员服务很差，别说微笑服务了还好像欠他钱似的，还处处叼难你，有刷卡的还不让你刷要你付现金，本来含早餐服务员还说没有，环境很脏，里边好像八百年没住人一层灰', '短评打分': 3}
{'短评内容': '位置和酒店条件不错。', '短评打分': 3}
{'短评内容': '麻雀虽小五脏俱全 澳门路附近的酒店大致有莫泰、汉庭、星程这几家，快捷归快捷房间有多旧相信诸位差旅人士深有体会。这家别看个子不大，四层小楼，居然还是三个星，房间很干净，灯光够足，还有IPTV可看，周遭也很安静，出了门就是各种小餐馆小超市，一百五十多性价比很高啊。', '短评打分': 5}
{'短评内容': '房间还可以   但是大床比普通的大床要小  床垫不是很舒服  睡醒了腰疼   浴室空间倒不错   早餐实在是太简陋了   我最后是到外面买的老鸭粉丝汤      总体来说只能算很一般   ', '短评打分': 5}
{'短评内容': '2个月前在这里住的时候，弄丢了两幅耳环，这次特意还过来住这里，希望能找到的，哎，可惜。宾馆值得推荐的是IPTV不错，更新电视剧蛮勤快的。', '短评打分': 5}
{'短评内容': '离地铁镇坪路站蛮近，出行较为方便，而且离频道一购物中心也蛮近，步行几分钟即到。就是早餐太差，种类太少。', '短评打分': 5}
{'短评内容': '酒店环境和设施都不错，前台的服务人员态度也很好。', '短评打分': 5}
{'短评内容': '地理位置还不错，距离公交站点很近，出行很方便。就是早餐太简单了。另外，我好像丢了2副耳环在这里，哎，希望酒店工作人员如果捡到了联系我，谢谢。', '短评打分': 5}
{'短评内容': '住的挺不错。位置也挺好，司机很快就找到了。周围很多玩的地方。价格也挺便宜的。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '整天还可以，就是环境差了点！交通很方便，空调效果也不错！', '短评打分': 5}
{'短评内容': '地点还可以，价格也算比较便宜。服务态度是一般，据说是含早。不知明天早饭吃什么。', '短评打分': 5}
{'短评内容': '帮朋友定的房间，朋友说挺好的，以后还会来住，他还说，如果直接打电话到总台，价格还可以优惠，现在是因为世博期间，所以房间价格高了点。', '短评打分': 5}
{'短评内容': '酒店的硬件设施很新，房间很宽敞，住着蛮舒服的。', '短评打分': 5}
{'短评内容': '房间有的小,房间没有配备吹风机,卫生方面还可以', '短评打分': 5}
{'短评内容': '很卫生，服务也不错，离地铁不远，性价比超高。', '短评打分': 3}
{'短评内容': '嘉怡卫生不错，室内设施比较新。前台的服务很热情。交通也蛮方便的，步行几分钟就到地铁3.4.7号线，总体感觉很不错。', '短评打分': 5}
{'短评内容': '酒店位置还可以。离长寿路商圈不算太远。房间隔音似乎不算太好，装修有些年头了显得有些陈旧。房间有iptv还算不错。没有骚扰电话。', '短评打分': 1}
{'短评内容': '说是三星级酒店就是一个旅馆， 房间很差，位置还好，环境特别不舒服从外观看起来就是旅馆根本算不上什么酒店简直和想象当中的差很远，建议以后不要推荐这种所谓的三星级酒店了。', '短评打分': 1}
{'短评内容': '这是我这次华北行住的第一个酒店，也是最好的一个，第一晚下了飞机，从杭州的机场20分钟的士到了酒店，果然和之前所听的一样，新酒店，豪华装修，价钱比后来定的如家连锁都便宜，在当时杭州上海200多的价格，豪华单人房，房间设施一流，至少顶得上4星级的酒店，服务态度不说，因为我没跟服务人员接触，嗯嗯  &#183;&#183;&#183;&#183;真的大力推介   去这家，没错的，我的真实体验告诉你 ', '短评打分': 5}
{'短评内容': '同类型酒店中房间较大，但是卫生间设施一般，吹风机还要去前台自己拿\r\n', '短评打分': 5}
{'短评内容': '我们走的时候因为要赶飞机，很早就去退房了，服务员也没有表现出不耐烦，还是很周到的为我们服务。', '短评打分': 5}
{'短评内容': '酒店一般，位置有点难找，打了三次的士居然都不知道这个酒店名，不过晚上睡觉还是比较安静，设施也还可以', '短评打分': 5}
{'短评内容': '这家酒店住着很舒服,很安静,离火车站很近.很方便,性价比很高,下次来上海还会选择这家酒店.', '短评打分': 3}
{'短评内容': '环境还不错,房间也很好很赶紧,服务还是比较满意的,位置还可以附近还有公交车出行挺方便的,性价比还是比较不错的.', '短评打分': 3}
{'短评内容': '这家宾馆还不错，一切都很ok，还是值得推介给大家的。', '短评打分': 5}
{'短评内容': '总的来说，性价比可以，出门挺方便的，房间也很干净，舒适。', '短评打分': 5}
{'短评内容': '这家宾馆据说新开不久所以预订了，入住之后觉得真的很满意，房间很干净，服务也很热情.下次如果还来上海的话，我一定会再住的。', '短评打分': 5}
