{'短评内容': '七天现在真心不如以前了', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '空调说是都坏了，也不在上面标注，哎！好后悔的一次入住', '短评打分': 2}
{'短评内容': '周边酒吧餐饮比较多，挺好', '短评打分': 5}
{'短评内容': '性价比挺高，七天服务一直不错，位置有点偏。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '很一般很一般，不会再去第二次。不仅很low而且服务没有，重点是事情还多。不是牌照啦就是叫你微信关注什么的，神烦', '短评打分': 1}
{'短评内容': '还可以、', '短评打分': 4}
{'短评内容': '房间很小，地段近，但是附近有酒吧有点吵，卫生一般设施不好。', '短评打分': 2}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '酒店很好，很干净，床也挺舒服的', '短评打分': 5}
{'短评内容': '环境一般，周边吃饭不错，房间异味大，配套设施陈旧', '短评打分': 3}
{'短评内容': '不错，很安静，打车也方便', '短评打分': 3}
{'短评内容': '还可以，价格也不贵', '短评打分': 4}
{'短评内容': '还可以，价格也不贵', '短评打分': 4}
