{'短评内容': '位置很好找，而且免费升级了标准大床房。', '短评打分': 5}
{'短评内容': '环境好，房间干净', '短评打分': 5}
{'短评内容': '环境很好，房间干净', '短评打分': 5}
{'短评内容': '还可以，服务不错', '短评打分': 5}
{'短评内容': '位置方便，安静', '短评打分': 5}
{'短评内容': ' 服务很周到', '短评打分': 5}
{'短评内容': '多次入住了。环境还不错，原格林豪泰。除了房间有点老旧其他还好，因为在酒吧一条街，晚上可能有点吵。两点后就好多了。周边也有商店。', '短评打分': 5}
{'短评内容': '多次入住了。环境还不错，原格林豪泰。除了房间有点老旧其他还好，因为在酒吧一条街，晚上可能有点吵。两点后就好多了。周边也有商店。', '短评打分': 5}
{'短评内容': '多次入住了。环境还不错，原格林豪泰。除了房间有点老旧其他还好，因为在酒吧一条街，晚上可能有点吵。两点后就好多了。周边也有商店。', '短评打分': 5}
{'短评内容': '多次入住了。环境还不错，原格林豪泰。除了房间有点老旧其他还好，因为在酒吧一条街，晚上可能有点吵。两点后就好多了。周边也有商店。', '短评打分': 5}
{'短评内容': '订的大床房，很干净，房间很大，一个人住奢侈了一把。就是窗户临街，隔音效果不大好。旁边有几间酒吧，很有情调的样子。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '蛮好的', '短评打分': 5}
{'短评内容': '属于老宾馆了，设施有点陈旧，但是卫生还是可以的，也算是值这个价了。', '短评打分': 5}
{'短评内容': '好好好刚好好好好尴好好好', '短评打分': 3}
{'短评内容': '地理位置好，附近很方便。房间还可以。', '短评打分': 3}
{'短评内容': '不错，哈哈哈哈。。。。。', '短评打分': 5}
{'短评内容': '房间比较大 离市中心不远 稍微有点不好找 卫生还算可以 不过感觉有点旧', '短评打分': 5}
{'短评内容': '服务一般，房间还算干净，WIFI很差，在房间连接不上，还有就是衣架太少了', '短评打分': 5}
{'短评内容': '很不错  不仅酒店的环境好  而且周边的环境也是非常的好  发现了好几家好吃的店  而且还有好几家酒店  很好啦总之  安静又舒适  下次去郑州还会去哪里住   对  最重要的是离火车站也挺近  但是绝对比火车站周边安静  ', '短评打分': 5}
{'短评内容': '没有什么特别之处  太旧了 没有什么特别之处  太旧了 ', '短评打分': 1}
{'短评内容': '酒店位置不错，位于市中心，坐公交很方便，值得一住', '短评打分': 5}
{'短评内容': '比较干净卫生，服务较满意，房间较大，下次还住，欢迎朋友们到郑州到这里下榻', '短评打分': 5}
{'短评内容': '服务态度很好，没有大床房直接免费升级为标准间，房间干净，往二七路走十多分钟的路程，经六路不繁华，较安静。微一缺点隔音不好。', '短评打分': 5}
{'短评内容': '房间挺大的,还不错', '短评打分': 3}
{'短评内容': '酒店前台办理手续时乱哄哄的，业务不熟练，而且感受不到格林豪泰的专业连锁，早餐也简单之极，馒头稀饭都基本凉的，不会再入住', '短评打分': 1}
{'短评内容': '酒店外部环境不错，就餐、出行都很方便，酒店内部也不错', '短评打分': 5}
{'短评内容': '价格一般，性价比比较高！感觉装修比较老，地理位置∶如果行政办公出差离省委比较近', '短评打分': 3}
{'短评内容': '房间不错，169的豪华标间。有电脑。', '短评打分': 3}
{'短评内容': '位置不错，环境很好，适合长期出差者选择.', '短评打分': 5}
{'短评内容': '干净舒适.地段繁华.下次还会入住', '短评打分': 3}
{'短评内容': '地理位置不错，房间很干净，服务好，居住舒适，环境优雅', '短评打分': 5}
{'短评内容': '环境很差，但房间卫生还可以，价格便宜，算是实惠型的吧', '短评打分': 1}
{'短评内容': '房间还行', '短评打分': 3}
{'短评内容': '环境，位置还可以，就是房间有点小，店的服务还不错，大堂比较大，感觉比较高档', '短评打分': 5}
{'短评内容': '该酒店硬件设施还可以，就是前他服务员的素质比较差', '短评打分': 5}
{'短评内容': '不好，位置太远了，离开火车站远的来实在是不方便，不过还是比较干净，但是电梯很慢还和其他的楼层办公在一栋大楼里面，不推荐！', '短评打分': 1}
{'短评内容': '酒店的电梯坏了，几天都没有修好。房间整体感觉不好，服务一般', '短评打分': 5}
{'短评内容': '到郑州出差，朋友帮忙预定的酒店，住了好几回了，价格还算公道，就是没有提供早餐', '短评打分': 5}
{'短评内容': '各方面都好，就是浴室太滑，为环保及安全，建议不用一次拖鞋，用防滑塑料拖鞋。', '短评打分': 3}
{'短评内容': '各方面都好，就是浴室太滑，为环保及安全，建议不用一次拖鞋，用防滑塑料拖鞋。', '短评打分': 5}
{'短评内容': '到郑州出差，朋友帮忙预定的酒店，第一次住感觉不错，就是没有提供早餐', '短评打分': 5}
{'短评内容': '2010-10-16入住，感觉不错，会继续预定 ', '短评打分': 3}
{'短评内容': '2010-10-14入住，感觉不错，会继续预定', '短评打分': 3}
{'短评内容': '2010-10-13入住，感觉不错，会继续预定 ', '短评打分': 5}
{'短评内容': '我住的大床房，挺舒服的，性价比挺好。欠缺的就是洗手间太滑了，好几次差点摔倒。', '短评打分': 5}
{'短评内容': '对了，网速那叫一个慢啊！只能挂个QQ，网页就不好打开了', '短评打分': 3}
{'短评内容': '和其他地方的格林豪泰酒店比起来，服务态度差很多，设施也不完备。位置倒是还好。', '短评打分': 5}
{'短评内容': '+一般', '短评打分': 5}
{'短评内容': '电脑好点就好了，显卡比较垃圾。别的就没什么了', '短评打分': 5}
{'短评内容': '卫生还不错，我住的大床房，很宽敞，挨着河南省委，很清静，到市区汽车站，火车站方便，打的就10元，性价比很高，值得！', '短评打分': 5}
{'短评内容': '环境不错，交通方便', '短评打分': 5}
{'短评内容': '位置可是让我找了好一番功夫。转了一个大圈。紫荆山那里还老堵车。', '短评打分': 5}
{'短评内容': '一般一般 世界第三  酒店位置不错 价格不高  设施相对还凑合 故而说之 ', '短评打分': 5}
{'短评内容': '大床房不错房间很大', '短评打分': 5}
{'短评内容': '还不错。位置很好，周边吃喝玩乐的比较多。房间有点小。', '短评打分': 5}
{'短评内容': '比较安静，离火车站不远，环境也不错', '短评打分': 5}
{'短评内容': '总体都还不错，下次去的话还继续住，比较安静，不吵，周边还有蛮多茶座酒吧', '短评打分': 5}
{'短评内容': '没办法啊  价格贵了点 唉！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '总的来说不错。可是工作安排有些问题，房间里没有毛巾，没有茶叶，跟前台说可还是不动手解决。住过这个连锁店的其他酒店，都没遇到过这类问题。', '短评打分': 1}
