{'短评内容': '很好', '短评打分': 5}
{'短评内容': '周边在施工，有点吵，别的还好', '短评打分': 5}
{'短评内容': '条件很好，干净整齐，住着很舒适，而且周围商店饭店什么都有，很方便', '短评打分': 5}
{'短评内容': 'Wifi和隔音比较差！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好用，京东的酒店服务不错！', '短评打分': 5}
{'短评内容': '京东的酒店服务很不错，推荐给大家！', '短评打分': 5}
{'短评内容': '！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '房间比较大，但由于周边的建筑工地太多，对面就是万科杭宸的工地，来来往往的货车比较喧闹，睡眠质量不好的需要注意不要订靠马路的房间。房间里面床垫不太舒服，毛巾，浴巾比较薄，有毛边', '短评打分': 3}
{'短评内容': '无线不怎么好用，环境一般', '短评打分': 3}
{'短评内容': '很好很干净，下次还会光顾。', '短评打分': 5}
{'短评内容': '总是在出差所以特别希望能住到一个非常不错的酒店性价比比较高的酒店住得舒适才能工作的好这次出行选择了这家酒店总体感觉还可以', '短评打分': 5}
{'短评内容': '寒假一个人去的，半夜听到有人把门打开了，还好我上了另一个锁，胆小的女生别一个人住，在外面还是要小心点，晚上睡觉把门上的锁都锁上', '短评打分': 3}
{'短评内容': '环境不错，服务挺好。商务出行挺好的选择。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一般般，比边上的其他小旅馆好点', '短评打分': 4}
{'短评内容': '环境不错，下次到杭州还会入住！', '短评打分': 3}
{'短评内容': '周边没啥像样酒店，这个已经不错了。', '短评打分': 5}
{'短评内容': '房间挺好的，性价比高。', '短评打分': 3}
