{'短评内容': '很不错的酒店，交通方便', '短评打分': 5}
{'短评内容': '宾馆位置很好找，直接滴滴过去的。宾馆门口有公车站，还有挺多共享单车。因为要去广财考试(图为广财夜景)，所以选择了这里。靠近商业街吃的多，但因为靠近马路还有隔音的问题，这里很早的时候很吵，晚上也能听到走廊别人路过的声音。。。房间里发现小蟑螂跟蚊子！！(不能忍！！)然后就是打扫房间的人没发现牙刷被人拆过吗？牙膏都没了怎么刷牙，第一晚我用了自带的一次性的，想着第二天打扫的人会换掉，结果呢？把梳子换了把我', '短评打分': 3}
{'短评内容': '      沒什麼想說的。。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '确实不咋地。招待所吧', '短评打分': 3}
{'短评内容': '房间设施满意、服务态度很好！', '短评打分': 5}
{'短评内容': '有些可以  有些一般', '短评打分': 4}
{'短评内容': '好好！', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': 'The Gordon Hotel is quite near to Canton Fair , with good location also m near to public transportation providing a good service for guests. Rooms are clean enough, and all facilities are fair enough ', '短评打分': 4}
{'短评内容': '差，不值这个价钱', '短评打分': 2}
{'短评内容': '一般的酒店，觉得太贵了。顶多就是7天酒店的商务房这样，设备都比较旧', '短评打分': 5}
{'短评内容': '很好找，站牌后面', '短评打分': 4}
{'短评内容': '不咋样', '短评打分': 2}
{'短评内容': '整天感觉还可以，交通比较方便，就在路边上，卫生环境还能接受，离市场有点远，只是过度一下的可以考虑，旁边有吃饭的地方', '短评打分': 5}
{'短评内容': '酒店装修旧', '短评打分': 1}
{'短评内容': '酒店环境不错！酒店环境不错！酒店环境不错！', '短评打分': 5}
{'短评内容': '还不错，性价比挺高，是我学校附近比较便宜的宾馆了吧~态度也不错~就是在床下发现个DUREX的包装袋，这点有点那啥~', '短评打分': 5}
{'短评内容': '还行就是没电脑', '短评打分': 3}
{'短评内容': '还可以 只是一到退房时间就马上停电…', '短评打分': 3}
{'短评内容': '\n哥尔顿宾馆房间不错服务也很好', '短评打分': 3}
{'短评内容': ' 服务态度很好，就在赤沙碑坊站台，就是离广商还是有段距离', '短评打分': 3}
{'短评内容': '一般还行吧，就是有的房间窗口朝内跟没窗户没什么区别', '短评打分': 5}
{'短评内容': '很不错  。服务态度还可以，住的环境也是很舒服的··', '短评打分': 5}
{'短评内容': '酒店装修简洁,实用,房间内设施简练,合理,房间干净。周围好像是村子,离会展中心似乎稍远。', '短评打分': 3}
{'短评内容': '离展馆近，房间很大，很干净，设施齐全，值得推荐。唯一不足就是一楼的标间没有窗子，有点闷。', '短评打分': 5}
{'短评内容': '条件一般，卫生不错。', '短评打分': 3}
{'短评内容': '有车接送去琶洲展馆…', '短评打分': 3}
{'短评内容': '十', '短评打分': 3}
{'短评内容': '还好。就是窗帘太小，不能遮光，很烦。还每个房间多这样。请改进', '短评打分': 1}
{'短评内容': '酒店还算实慧，展会包接送，还是很贴心的，配套还行，就是早餐太简单，稀饭包子，连点菜都没有', '短评打分': 3}
{'短评内容': '实在不敢恭维其管理和服务水平以及酒店其它硬件！唯一让人觉得过得去的是，没有想到简单的早餐味道还挺好，粥熬得也非常够火候。', '短评打分': 1}
{'短评内容': '离广交会很近。十分方便。广交会期间，这个价位算便宜了。', '短评打分': 5}
{'短评内容': ' ok', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '极差极差的，简直不能称是宾馆。就像一家私人的旅馆，住2楼要爬楼梯的，而且是走后门的。和他们宾馆网页上就是一个天一个地，希望你们不要上当受骗。', '短评打分': 1}
