{'短评内容': '楼上是KTV，房间隔音效果还是挺好的，只是房间里的水不知道放了多久，喝了过后人就不舒服，希望及时更换', '短评打分': 4}
{'短评内容': '早餐品种多，适合带孩子，酒店位置好，有停车场', '短评打分': 5}
{'短评内容': '很好，五颗星！', '短评打分': 5}
{'短评内容': '一般，价格不错', '短评打分': 3}
{'短评内容': '临近大街，早餐丰富', '短评打分': 3}
{'短评内容': '价格实惠，周边环境不错，服务热情！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '这里性价比确实不错，周边吃饭也很方便，可以选择的哦', '短评打分': 4}
{'短评内容': '性价比高，环境好', '短评打分': 5}
{'短评内容': '每次来都住这 不错', '短评打分': 5}
{'短评内容': '早餐不错了，停车有点恼火，性价比不错！下次还会选择！', '短评打分': 4}
{'短评内容': '多次入住,值得推荐!前台服务态度不错,酒店服务和环境都不错，就是感觉有点吵、不是很安静。房间干净明亮、整体比较舒适，房间内设施也还行、位置还算方便、、入住整体来说还是比较划算', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '价格便宜，交通打车方便，酒店环境一般，早餐很一般，但是有麻将房！', '短评打分': 3}
