{'短评内容': '挺好。。。。。。', '短评打分': 5}
{'短评内容': '位置很好，周边玩的多，前台服务很好', '短评打分': 5}
{'短评内容': '房间很大，前台退房很快', '短评打分': 5}
{'短评内容': '大堂有茶水，装饰很有节日气氛，前台服务很细心', '短评打分': 5}
{'短评内容': '不错的，非常好', '短评打分': 5}
{'短评内容': '我为什么喜欢在京东买东西，因为今天买明天就可以送到。我为什么每个商品的评价都一样，因为在京东买的东西太多太多了，导致积累了很多未评价的订单，所以我统一用段话作为评价内容。京东购物这么久，有买到很好的产品，也有买到比较坑的产品，如果我用这段话来评价，说明这款产品没问题，至少85分以上，而比较垃圾的产品，我绝对不会偷懒到复制粘贴评价，我绝对会用心的差评，这样其他消费者在购买的时候会作为参考，会影响该商品销量，而商家也会因此改进商品质量。', '短评打分': 5}
{'短评内容': '很好，很不错', '短评打分': 5}
{'短评内容': '环境很好，很不错', '短评打分': 5}
{'短评内容': '环境可以，值得信赖。', '短评打分': 5}
{'短评内容': '很不错的酒店，很舒适', '短评打分': 5}
{'短评内容': '没烟灰缸，没茶叶和咖啡，管理失误。', '短评打分': 1}
{'短评内容': '非常满意，设施齐全', '短评打分': 5}
{'短评内容': '来了几次了，每次都不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店的房间特别大，周边小吃购物都非常方便。', '短评打分': 5}
{'短评内容': '酒店设施时间较长，离贵阳主城区较远。', '短评打分': 3}
{'短评内容': '商务出差或是渡假旅游都非常合适的酒店，购物商城就在附近，方便采购与用餐，交通便捷不拥堵，服务到位有水平', '短评打分': 4}
{'短评内容': '非常值得推荐。', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '还可以吧，随着贵阳五星酒店的新开增加，此酒店需要在性价比上提升', '短评打分': 5}
{'短评内容': '整体还行，人员太多太复杂，需要改善', '短评打分': 5}
{'短评内容': '酒店好，各种好！', '短评打分': 5}
{'短评内容': '爽！', '短评打分': 5}
{'短评内容': '不错，吃住购物都方便', '短评打分': 5}
{'短评内容': '房间超大，服务员有礼貌，客气，热情', '短评打分': 4}
{'短评内容': '酒店离机场较远，但设施还是很不错', '短评打分': 5}
{'短评内容': '连锁大酒店，是商务旅行的好选择。', '短评打分': 5}
{'短评内容': '环境不错，房间条件很好', '短评打分': 3}
{'短评内容': '酒店位于金阳新区，周边环境不错。酒店服务及硬件设施都很好，就是网上预订的房间不含早，如需用早每人另加78元，感觉不舒服。', '短评打分': 5}
{'短评内容': '酒店的房间很大，很干净。床很舒服。\n位置很好，出行方便。', '短评打分': 5}
{'短评内容': '酒店的房间很大，很干净。床很舒服。\n位置很好，出行方便。\n只是早餐有点不足。\n\n', '短评打分': 5}
{'短评内容': '\n干净舒适', '短评打分': 3}
{'短评内容': '硬件很好，地点太偏！', '短评打分': 3}
{'短评内容': '相当不错！！！服务和房间设施都是一流的！！！', '短评打分': 5}
{'短评内容': '很好超级推荐', '短评打分': 3}
{'短评内容': '还可以，不错。还可以，不错。还可以，不错。还可以，不错。', '短评打分': 5}
{'短评内容': '软硬件服务都很到位，食物也不错。金阳最好的酒店', '短评打分': 5}
{'短评内容': '非常不错，出行用餐购物都很方便，周环境也很好，处于金阳新区这边，旁边均是金源的配置建筑，比如购物、用餐等。个人觉得世纪金源应该算得上是金阳新区的标志性建筑了。相比同档次的其他酒店，这里的价格已经很实惠了', '短评打分': 5}
{'短评内容': '去住过该酒店多次了，酒店的硬件设施相当不错！遗憾的是前台服务，服务人员连最起码的待客之道：微笑都不会！酒店应该花些时间在服务人员的培训上，要让客人有宾至如归的感觉！', '短评打分': 5}
{'短评内容': '，服务不错。', '短评打分': 3}
{'短评内容': '房间很大 很舒服 就是位置有点偏 位于新城区 周边没什么贵州的特色饮食', '短评打分': 5}
{'短评内容': '酒店房间很宽敞舒适，设施齐全，卫生间干湿分开，很方便。住店客人可免费使用会所游泳池， 很少有酒店有这样50米的标准泳池，遗憾的是晚9点就准备打烊了，9:30清场。太早了！', '短评打分': 5}
{'短评内容': '房间安装了电脑，很方便，目前免费， 11月1日起，每天58元。因事先不知道，自己的电脑就白带了。早餐还可以，中午自助餐98元一位，一般。令人不满意的是自助餐晚餐到9点就关门不能进了。太不可思议了，可能当地人都是早睡早起吧！', '短评打分': 5}
{'短评内容': '酒店很新，就是位置有点远。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店还是不错的，就是位置远了点。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': 'very good service and hotel', '短评打分': 3}
{'短评内容': '地处贵阳新区，周边购物，餐饮相当的方便，酒店房间没的说，相当大，床非常舒服，尤其是酒店的服务一流，配套设施相当齐全。价格相当据有吸引力，性价比相当高，超五星标准', '短评打分': 5}
{'短评内容': '酒店很新、很大气，房间很漂亮，卫生间很大、很舒服。服务很到位，600多住这样的酒店，超值。', '短评打分': 5}
{'短评内容': '还是前台服务欠佳，需要等待的时间过久，有待提高。', '短评打分': 5}
{'短评内容': '不错的酒店，干净，硬件设置好，老婆和我都很满意，9分。就是酒店位置在高新区，晚上周围不热闹，不过酒店有自己的桑拿和会所。\n晚上到酒店的时候是23时，在房间里面要了送餐服务，接电话的人态度生硬，像是免费提供送餐一样，就是这个扣除1分。', '短评打分': 5}
{'短评内容': '硬件非常好，房间装修值得学习，在这边休息的非常好，停车场很大。但是服务人员完全不熟悉业务，是我去过的所有酒店里办理入住离店手续最慢的，就算很多实习生也该有个像样点儿的主管带着吧。', '短评打分': 5}
{'短评内容': '酒店房间很大  舒适 干净  最好的是酒店公众场所是禁烟的  有点和世界接轨的感觉 总之在贵阳能找到这么好的酒店我感到很开心  现在去市区的路也通了  很方便的   如果是在金阳办事就更方便了 ', '短评打分': 5}
{'短评内容': '不错，但酒店的自助早餐太一般了。。。比三亚的同档次酒店的早餐差太多了', '短评打分': 5}
{'短评内容': '非常棒的酒店！房间很大，让人眼前一亮，硬件没的说，早餐很好。', '短评打分': 5}
{'短评内容': '＋房间很好，就是有点远！', '短评打分': 3}
{'短评内容': ' 还不错，就是离老城区太远，硬件设施不错，房间拖鞋就一双！下沉式浴缸不太干净！', '短评打分': 3}
{'短评内容': '酒店硬件很好。前台员工虽然人很多，但大部分是实习生，业务水平需要提高。退房的时候是一个前台领班给我办理的手续，此员工说话生硬，脸无笑容，让人感觉很不舒服。', '短评打分': 1}
{'短评内容': '設備新,夠氣派,自助餐非常豐盛,以五星級酒店消費來看, 目前價位滿合理的. 別忘了..爽爽貴陽...', '短评打分': 5}
{'短评内容': '多次入住，感觉很好！大气！舒服!物超所值！\n硬件购了，但总体服务水平还要提高，现在显得有点不匹配，可能跟酒店开业时间不长有关，希望尽快磨合，尽善尽美！', '短评打分': 5}
{'短评内容': '己入住', '短评打分': 3}
{'短评内容': '总体评价\n- 总共入住了2个晚上，感觉是非常不错的5星级酒店，性价比比较高。会推荐给去贵阳旅游的朋友。\n\n房间设施\n- 房间比较大\n- 床很舒服，软硬适中\n- 大浴缸很有助于缓解旅行中的劳顿\n- 有个很大的梳妆台\n\n服务\n- 前台效率尚可\n\n位置\n- 地处金阳新区，距离市区有20多分钟车程（不包括堵车）\n- 离金阳客车站很近，起步费即可到达，比较适合自由行的游客\n- 住的时候周围没有什么东西可逛，', '短评打分': 5}
{'短评内容': '酒店环境优美华贵，周围商业配套设施齐全，周边小吃店味美价廉，是入住首选，房间单早要调成，房间含早餐更好。', '短评打分': 5}
{'短评内容': '酒店离市区比较远，但是是贵阳比较新的5星酒店，房间很大。', '短评打分': 5}
{'短评内容': '前台服务不冷不热，打电话要拖鞋，半天不接听，', '短评打分': 1}
{'短评内容': '酒店很新,硬件设施不错,就是交通不太方便,早餐只有一份令人不爽', '短评打分': 5}
{'短评内容': '早餐自助，晚餐自助都不错。床也很舒服。周边配套的商场等设施也很全。', '短评打分': 5}
{'短评内容': '硬件很好。比豪生要好。不过前台的服务有待提高。第二次入住，也是第二次被告知，没有打扫好的房间，需要等待半个小时以上的时间。', '短评打分': 5}
