{'短评内容': '很好', '短评打分': 5}
{'短评内容': '早餐品种齐全，味道不错，出行方便，有停车场', '短评打分': 5}
{'短评内容': '服务员态度太差了，多要一对拖鞋还要收三块钱，说明要钱不要，马上拉下脸，真是超级无语', '短评打分': 2}
{'短评内容': '还不错，老酒店。', '短评打分': 5}
{'短评内容': '地理位置不错 方便 第一次去感觉很OK 值得推荐', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '一直去武汉都住这家，很干净，很温馨，早餐也很好吃！', '短评打分': 5}
{'短评内容': '挺好的，', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '好评好评', '短评打分': 5}
{'短评内容': '酒店还不错，就是周边环景不太好，毕竟是老城区，如果是慢游武汉老城区，这里是个很好的选择', '短评打分': 4}
{'短评内容': '周围有点不干净', '短评打分': 3}
{'短评内容': '不错的酒店', '短评打分': 4}
{'短评内容': '不错的酒店', '短评打分': 4}
{'短评内容': '真的很超值的酒店，有HBO电影频道，很舒适', '短评打分': 5}
{'短评内容': '很好，住的很舒服，性价比高', '短评打分': 5}
{'短评内容': '酒店房间非常棒，同比这个价位的四星要超值', '短评打分': 5}
{'短评内容': '周边环境不好', '短评打分': 4}
{'短评内容': '房间小，网速慢，床睡的比较舒服，还算安静，早餐还可以，跟武展有两站路，不是武汉的肯定不好找。', '短评打分': 5}
{'短评内容': '整体还不错，比较安静，物品也齐全，洗澡水也比较稳定。\n不足的话就是退房电话打了好几个，一会门口来问一下，一会电话又询问一下的。', '短评打分': 5}
{'短评内容': '隔音效果不是很好，但房间很干净，床也很舒服，购物逛街也很方便', '短评打分': 5}
{'短评内容': '酒店设施蛮不错的，工作人员服务态度也很好~还有免费的水果赠送到房间。非常好', '短评打分': 5}
{'短评内容': '  房間比網上照片小好多。其他都很好。', '短评打分': 3}
{'短评内容': '房间很大，很干净', '短评打分': 3}
{'短评内容': '到这边附近办事，所以地点很方便，去后面的国广也很近，就是房间卫生有问题，居然有蟑螂，第一次住酒店碰到', '短评打分': 5}
{'短评内容': '由于跟网友出去聚会., 临时订了个房间... 感觉房间隔音不是蛮好....自助早餐的话还可以...6点多入住的，  下午退的房..  288加早餐性价比还可以..', '短评打分': 5}
{'短评内容': '酒店地段非常好，服务也不错，房间很有特色，酒店里面很干净，每次来武汉都入住该酒店！', '短评打分': 5}
{'短评内容': ',酒店很好，很喜欢！特别是卫生间，感觉很时尚', '短评打分': 3}
{'短评内容': '还比较好找哇~房间没有江汉路的好就是了~', '短评打分': 5}
{'短评内容': '房间不大，窗户小，光线不太好。空调不太制冷啊。早餐倒是蛮好吃的。', '短评打分': 1}
{'短评内容': '非常好的酒店。在经历了武展商务酒店那种如招待所般的脏乱差的地方，来到这家如家庭般温馨的酒店，真感觉，一个地下，一个天上。下午的水果服务，给人的体验特别好。虽然很多朋友说，房间小啦，隔音不好啦，周边设施不好啦。其实，住酒店，就是找一个好的体验，住的舒适和开心就够了。', '短评打分': 5}
{'短评内容': '还算不错，服务态度不错，也还干净利落。地点很好，出门就能逛街。不过性价比一般。\n卫生间的门很容易掩手，需要注意。', '短评打分': 1}
{'短评内容': '住得很舒服，除了房间稍微小了一点，其他都很完美，交通也方便，下次绝对还会住这里。', '短评打分': 5}
{'短评内容': '地处步行街，闹市区，酒店新装修，房间太小，价格稍贵。', '短评打分': 5}
{'短评内容': '酒店中规中矩，住住还可以，没什么亮点。。。。。。', '短评打分': 5}
{'短评内容': '隔音效果不是很好，但是感觉比较温馨，还不错', '短评打分': 5}
{'短评内容': '地理位子还不错，房间条件还可以，但交通不方便，主要是附近没有地铁站，价格觉得有点贵。', '短评打分': 5}
{'短评内容': '靠近中山大道，老城区吃东西很方便。酒店设施比较新，干净，三楼有免费自助洗衣的地方。不错的选择。第二家扬子江集团的酒店，感觉都挺好！', '短评打分': 5}
{'短评内容': '帮同事预定的，他们都还比较喜欢这家酒店，除了打车不太方便外，其他都还不错', '短评打分': 5}
{'短评内容': '酒店挺好的，大堂环境也不错，性价比比较高的商务酒店', '短评打分': 5}
{'短评内容': '挺温馨的，觉得对得起这个价格。可能对于过道隔音有所欠缺，临街还是挺安静的', '短评打分': 5}
{'短评内容': '总体来说 在武汉 算不错的啦.酒店的位置去 江汉路 都比较 近的。', '短评打分': 5}
{'短评内容': '这个酒店感觉还行 就是 感觉 出来这条街 不够干净。晚上有一点点吵', '短评打分': 5}
{'短评内容': '酒店还不错，干净整洁，地理位置方便，去逛武广国广很方便', '短评打分': 5}
{'短评内容': '酒店不错，设施齐全，东西挺好吃，就是晚上吵了点', '短评打分': 5}
{'短评内容': '让人惊喜的酒店，环境非常好，服务也非常周到，很感动于酒店无微不至的细心，总之物超所值！', '短评打分': 5}
{'短评内容': '房间装饰得不错，就是小了点，而且被子盖得不舒服', '短评打分': 1}
{'短评内容': '房间卫生条件很好，每晚都有水果送到房间。就是结账速度有些慢，服务员的服务技能还是应该加强', '短评打分': 5}
{'短评内容': '房间布置温馨，适合旅游入住，早餐还可以，就是房间有点小', '短评打分': 5}
