{'短评内容': '服务态度特别好 老板热情 距离发现王国和金石滩也近 有接送服务   好 好 好 重要事情说三遍 真心很不错的', '短评打分': 5}
{'短评内容': '干净整齐', '短评打分': 5}
{'短评内容': '不錯', '短评打分': 5}
{'短评内容': '酒店服务一流，有车接送到景点玩。老板服务热情。卫生差了点，我住3天第二天就没人去打扫卫生，第三天我叫人才打少卫生。作为商务宾馆，房间内的一次性拖鞋还得要才有，郁闷π_π。', '短评打分': 4}
{'短评内容': '房间挺大的，老板人也特别好，热水也很快，可以免费车接车送，', '短评打分': 5}
{'短评内容': '环境好，服务好。', '短评打分': 5}
{'短评内容': '店还是不错的，挺干净的，还提供金石滩内的车接车送，所以特别方便，去发现王国的门前也是送我们的人帮忙买到的，去海边也可以从店里租泳圈。总之，还是很满意的，老板人特别热情。', '短评打分': 4}
{'短评内容': '非常好，还不贵，还能接送，房间大', '短评打分': 5}
{'短评内容': '帮爸妈预定的，爸妈反应住的很不错，环境也很好，在商业中心附近1，很方便', '短评打分': 5}
{'短评内容': '酒店位置很好，金石滩中心地方，离景点都很近，店主有免费接送车，很方便，很贴心，房间干净整洁，个人感觉比快捷酒店要好，最主要服务员态度超好，值得推荐', '短评打分': 5}
{'短评内容': '好。', '短评打分': 5}
{'短评内容': '服务不好，态度恶略。网特别卡，房间还不错，就是服务不怎样。', '短评打分': 3}
{'短评内容': '房间干净，整洁。服务很好，尤其是酒店司机曲师傅热情，周到，很贴心。酒店距离金石滩海边和港口都比较近，吃早点的地方也很近，吃的实惠！', '短评打分': 4}
{'短评内容': '来大连一定要住在这，所有人都特别好，特别是曲师傅太好了，不厌其烦的接送你去你想去的景点，太棒了', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '推荐的理由：酒店各方面都不错，离金石滩、发现王国很近，走路约15分钟的距离，也很好找，出来轻轨站一直沿大路向东就能看到。我们住的家庭间很超值，很舒适。房间也大，一张1.8米的大床和一张单人床很舒服。24小时热水，电视、电脑俱全。房间密闭性很好，服务也很好。有朋友来一定隆重推荐，下次还住这儿。\n建议：在洗手间订个支架，洗浴时可以放衣服。浴巾、毛巾最好放在高处，在水池下面有小虫子。我们住的那间洗澡时下', '短评打分': 5}
{'短评内容': '环境还好，就是厕所的那个帘子很有问题，完全不挡，电视不是很清晰。服务态度不错。', '短评打分': 5}
