{'短评内容': '朋友住的挺满意的', '短评打分': 5}
{'短评内容': '干净！值！真心满意！', '短评打分': 4}
{'短评内容': '不好', '短评打分': 1}
{'短评内容': '还行吧，没窗，空调一开味也没有', '短评打分': 3}
{'短评内容': '主要是干净', '短评打分': 5}
{'短评内容': '老板服务态度很好，很干净，我喜欢，好评，就是吃饭的地方少', '短评打分': 4}
{'短评内容': '性价比很高的一个旅店，老板娘人很好，而且地理位置很方便，距离五四逛广场奥帆中心都很近，周围超市饭店都不错', '短评打分': 5}
{'短评内容': '住的是地下室，价格高，室内潮湿', '短评打分': 1}
{'短评内容': '服务还好，就是房间有点潮湿', '短评打分': 4}
{'短评内容': '旅舍位置很好找，房间很宽敞，干净卫生，附件还有一个小市场，卖的东西种类齐全，在哪吃的早餐，去八大关游玩，出门口就是站点，还有就是离湛山寺只有一站地，出行很方便。', '短评打分': 3}
{'短评内容': '房间安全，但是气味较大，但价格便宜', '短评打分': 3}
{'短评内容': '综合性价比，还算可以。', '短评打分': 5}
