{'短评内容': '非常好 下次还住这里', '短评打分': 5}
{'短评内容': '超级好 下次去必须住这里', '短评打分': 5}
{'短评内容': '酒店位置很好，离钟楼步行10分钟，酒店附近小吃很好', '短评打分': 5}
{'短评内容': '酒店位置不错。离哪里都很近 旁边也有很多好吃的', '短评打分': 5}
{'短评内容': '服务好', '短评打分': 5}
{'短评内容': '服务很好！环境不错！交通方便！', '短评打分': 5}
{'短评内容': '位置在市中心，吃饭、出行都很方便，床很大、也舒服，性价比高', '短评打分': 5}
{'短评内容': '服务很好，这里的服务超级好，只不过靠近小学，早上有点吵，睡懒觉是不行的', '短评打分': 5}
{'短评内容': '一般吧，位置不是很好找还有就是旁边是学习太吵啦', '短评打分': 4}
{'短评内容': '一直住这里 性价比很高 服务质量好 安静', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不从', '短评打分': 5}
{'短评内容': '环境很好，附近小吃特别多。早餐特别多。', '短评打分': 5}
{'短评内容': '京东订酒店房间也是不错的选则', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店地处市中心闹市区繁华地带，地理位置十分优越，楼下一条街很热闹，小吃店很多，离钟楼步行只要十分钟。店内干净卫生，设施齐全，以后来西安还会住在这里。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房屋舒适，位置便利，非常满意！', '短评打分': 5}
{'短评内容': '房屋舒适，位置便利，非常满意！', '短评打分': 5}
{'短评内容': '房间不错，很大。服务也到位。位置基本上算老街区，做车稍稍不便。', '短评打分': 4}
{'短评内容': '差到不能再差，如果不是晚上很晚才去，直接退房走人。', '短评打分': 1}
{'短评内容': '房间一般，就是有点冷，没有早餐很遗憾？', '短评打分': 2}
{'短评内容': '菊花园如家酒店位置不在大街面上，但是离主要干道东大街很近，5分钟就能到，交通便利。离钟鼓楼，回民街很近，步行20分钟。酒店外各种小吃，很方便。酒店服务也很好，电话通知灯有问题，马上就有人来维修。', '短评打分': 4}
{'短评内容': '房间还行，挺干净，出门交通也挺方便', '短评打分': 4}
{'短评内容': '因为房间在一楼，只住了一晚就退房了。', '短评打分': 4}
{'短评内容': '服务周到，干净。免费升级有窗房。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '位置好，钟楼边，环境好。靠近火车站及古城墙、碑林都不远。价格还可以，总台可以寄存的。', '短评打分': 5}
{'短评内容': '比较干净，但是有间房烟味比较大。', '短评打分': 3}
{'短评内容': '位置不错，端履门附近，里钟楼不远，在居民区，周围吃的不少。但是由于在小巷子里，打车很不方便，里公交站台还是有点距离的。', '短评打分': 5}
{'短评内容': '不错，离市中心不远，周边吃饭的地方也很多。', '短评打分': 3}
