{'短评内容': '早餐相对比较丰富，服务员服务意识和态度都非常到位', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务不错，环境非常安静', '短评打分': 5}
{'短评内容': '环境不错，比较安静，早餐也可以', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '不错不错不错不错', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '不错不错不错不错', '短评打分': 5}
{'短评内容': '服务房间很好', '短评打分': 5}
{'短评内容': '服务很好，有水果等，就是热水不给力，供暖一般', '短评打分': 4}
{'短评内容': '服务很好，早餐很好，房间挺宽敞，有热水，无线网，给免费的水果和奶，早餐主动给煎蛋，餐后还主动给口香糖。下次还来', '短评打分': 5}
{'短评内容': '酒店干净整洁，位置安静，适合出差入住，停车方便，设施尚可，服务员比较有礼貌。在携程预订了以后留有房间，报名入住', '短评打分': 4}
{'短评内容': '条件挺好，服务周到，餐厅菜品都不错，早餐还有贴心的赠品，餐厅阿姨服务很好。', '短评打分': 5}
{'短评内容': '酒店名字挺响亮，入住感受只能说是对得起这个价格，毕竟在新泰。', '短评打分': 1}
{'短评内容': '  酒店很清静，环境还可以。\n前台小姑娘开发票很磨即。', '短评打分': 3}
{'短评内容': '价格适中  房间宽敞  不过地板没有地毯', '短评打分': 5}
{'短评内容': '餐饮希望更多选择', '短评打分': 3}
