{'短评内容': '比较干净', '短评打分': 5}
{'短评内容': '0000000000...000000000000000000000000000000000000000啦啦啦', '短评打分': 3}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '总体感觉一般，入住需要交押金，房间门锁自己打不开，每次进出需要服务员，其他的都还好', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '好棒的酒店，简直不能再棒了，小伙伴们一定要来住啊，便宜又实惠啊，再穷也要来住一次啊，实在是居家商旅不二之选啊', '短评打分': 5}
{'短评内容': '呃呃呃', '短评打分': 5}
{'短评内容': '     真心各种不好，感觉是很久没人住的那种，特别潮，气味也很大。', '短评打分': 2}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还不错，就是房间有点潮。', '短评打分': 4}
{'短评内容': '还不错，提前预定的，两天，第二天还打扫卫生了，很贴心', '短评打分': 5}
{'短评内容': '设施陈旧，一股霉味。柜子里的被子没洗过，拿出来一股恶臭，薰得我整晚睡不着，结果早上起来落枕。三星级就是个笑话，地下室房间和50块的旅舍差不多。最大的好处是里面自带松一口的，你懂的。', '短评打分': 2}
{'短评内容': '还好吧', '短评打分': 4}
{'短评内容': '房间在底层，有点潮湿！不过一分钱一分货了', '短评打分': 3}
{'短评内容': '提前一周预定的98元标间，在入住的当天上午再次确认了，且于当晚8点前打的赶到酒店，却被告知98元的标间没了，有138的，无奈入住。酒店临主干道，挺吵；床垫太软，可能用久了；花洒糟糕，水温是相当的难调，要么烫，要泠水；无电梯。其它尚可。', '短评打分': 3}
{'短评内容': '房间在底层，有点潮湿了，不过也是一分钱一分货了。', '短评打分': 3}
{'短评内容': '可以方便多次住了', '短评打分': 4}
{'短评内容': '房子有点小，但一个人住足够了。没有电梯，这点有点不便。总得来说很好。', '短评打分': 3}
{'短评内容': '很好，听干净的，交通方便，早餐也实惠。就是午饭和晚饭不好解决，米饭准备的不够，而且周围也没什么餐馆。', '短评打分': 5}
