{'短评内容': '位置好服务好', '短评打分': 5}
{'短评内容': '还不错，挺好', '短评打分': 5}
{'短评内容': '都可以！还不错', '短评打分': 5}
{'短评内容': '只定了钟点房，来了，房间没有收拾，让等5分钟，我觉得这样是对我个人时间的剥削，尽管说可以晚退房，但是我定钟点房就是对时间有要求，来了就等很不爽！而且这样着急的收拾，我很担心收拾房间的质量！', '短评打分': 3}
{'短评内容': '卫生间比较小 走廊装修太普通', '短评打分': 4}
{'短评内容': '房间一般 比较旧 好在有停车位还比较方便', '短评打分': 4}
{'短评内容': '感觉越来越差了', '短评打分': 2}
{'短评内容': '就是有点远，安静卫生', '短评打分': 5}
{'短评内容': '挺好的，就是房间小了点，卫生间的门关不好。其他的还可以。前台接待挺好的，很客气。', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '好好', '短评打分': 5}
{'短评内容': '总体来说还算不错，除了床单上发现了一个小米大小的小虫子和房间不太隔音以外。（早餐还是挺好的）', '短评打分': 5}
{'短评内容': '酒店离火车站很近，走路3分钟就到，酒店楼比较旧，装修一般。入住时前台推荐办卡，没办，就给了我一个把山的房间，现在是冬天了，大家都明白吧，房间很小，有图有真相，暖气温乎，还不是一直有，所以房间很冷，得开空调，本人不喜欢开空调，晚上睡觉煎熬了，挺着吧。周边有小吃和烤串，吃饭方便。', '短评打分': 3}
{'短评内容': '不错不错 很干净 交通很方便', '短评打分': 3}
{'短评内容': '可以，挺好的，住了好几回了', '短评打分': 3}
{'短评内容': '干净整洁 住起来舒适 很好', '短评打分': 3}
{'短评内容': '房间有点潮湿，服务还不错，只是住在了角落里，有点远…', '短评打分': 3}
{'短评内容': '客房很精致，两条网线很方便，服务员服务很及时。出火车站没有明显标志，位置不好找，浴室较小，拖鞋太薄，临街的房间较吵。', '短评打分': 5}
