{'短评内容': '环境好，背山，安静。就是设施旧了些，美中不足。', '短评打分': 5}
{'短评内容': '酒店还可以，是上个世纪的装修算豪华的酒店', '短评打分': 3}
{'短评内容': '酒店设施太旧了，好多蚊子，不建议入住', '短评打分': 3}
{'短评内容': '环境还可以，出门不远就是大马路，但比较安静。', '短评打分': 5}
{'短评内容': '贵', '短评打分': 3}
{'短评内容': '家庭房的设计是不错，不过设备太陈旧，洗手间有味道', '短评打分': 1}
{'短评内容': '酒店很好，不错，停车场很好，下次还会来~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '酒店位置不错，比较好找，有个很大的停车场，卫生洗漱用品很齐全，房间一些硬件设施齐全，住着还可以', '短评打分': 5}
{'短评内容': '櫃檯人員對廈門的一些事情不夠了解,例如最近的公交車站牌\n不會刷卡', '短评打分': 1}
{'短评内容': '这家酒店设施太陈旧了，不过服务态度可以。', '短评打分': 1}
{'短评内容': '太好啦 太好啦 太好啦 太好啦 \n安静干净方便快捷舒服', '短评打分': 5}
{'短评内容': '酒店干净环境舒服，适合旅行居住，服务工作还比较满意', '短评打分': 5}
{'短评内容': '房间蛮旧了……不推荐', '短评打分': 3}
{'短评内容': '房间烟味太重了', '短评打分': 3}
{'短评内容': '很舊 沒特色 248元沒價值 在巷內不是很好找\n', '短评打分': 1}
{'短评内容': '位置还是比较好找，房间也不错卫生设施都挺好的。酒店的态度还是一般。性价比还是可以的。', '短评打分': 5}
{'短评内容': '酒店位置不错，比较好找，有个很大的停车场，卫生洗漱用品很齐全，房间一些硬件设施齐全，服务比较到位，住着还可以', '短评打分': 5}
{'短评内容': '酒店位置不错，处于繁华地带，出行方便，服务质量很好，服务员周到，耐心，室内布置的很温馨，环境优雅，舒适度蛮好', '短评打分': 5}
{'短评内容': '总体感觉印象还不错，酒店交通便利，周边出行方便，内部环境很好，蛮安静的，房间舒适度不错，服务也很好', '短评打分': 5}
{'短评内容': '酒店位置还可以，周边出行还算方便，房间硬件设施较齐全，服务一般，其他都还好', '短评打分': 3}
{'短评内容': '酒店位置不错，出行方便，房间舒适度很好，卫生条件不错，服务一般', '短评打分': 3}
