{'短评内容': '不错的，好几年的酒店还能有这种环境', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '位置很好，价格也比较便宜。装修时间有些早了，没有味道。入住手续办理很顺畅，结账也很快。下次还会再来的。', '短评打分': 4}
{'短评内容': '可以住', '短评打分': 4}
{'短评内容': '早餐一般般，款式比较少。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错吧', '短评打分': 4}
{'短评内容': '碰上搞活动送中晚餐券！整体还行，周边就有医院和超市，美中不足是门口打车不方便，携程订房优惠还行，直接挂牌价不值！', '短评打分': 5}
{'短评内容': '卫生有待提高，设施比较旧了', '短评打分': 1}
{'短评内容': '较好', '短评打分': 2}
{'短评内容': '有赠送一张中餐卷，前台接待人多，办事效率低，第二入住。', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '自助味道还不错', '短评打分': 4}
{'短评内容': '代他人订的，还可以还可以还可以。', '短评打分': 5}
{'短评内容': '酒店硬件设施比较旧，不过规格标准还不错。床比较舒服，能睡个好觉。', '短评打分': 5}
{'短评内容': '房间不错，早餐很烂，价格偏贵', '短评打分': 3}
