{'短评内容': '酒店出门拐个弯就是美食一条街', '短评打分': 5}
{'短评内容': '非常好，我们都住了两晚上，男朋友住着都不想走', '短评打分': 5}
{'短评内容': '院子古朴典雅，一步一景。飞花触水旁边，位置方便、闹中取静，可以尽享我们的休闲时光。大咖很好、小咖很萌、宝宝很乖、华哥很棒、强子很酷、感觉很好......在这里情人结就成了我们的后花园，一家有温度的客栈。', '短评打分': 5}
{'短评内容': '酒店坐落在酒吧街中心，闹中取静，服务很好，也很干净，下次来还会选择这里', '短评打分': 5}
{'短评内容': '特别好，老板人超级好，有种回家的感觉，然后院子和小景也特别好，位置又方便，出去就是新四方街，吃的喝的都在门口。有一个小狗叫宝宝，然后屋子忘记拍照了，老板帮忙免费升级了，感觉很有特色的木屋子。早餐也是很丰盛，5星推荐。', '短评打分': 5}
{'短评内容': '一个字：棒！老板可好了，还有美女帮我们升级了套房，简直棒呆！！客栈有好几个小花园啊，我想住好久～～～还有早餐～', '短评打分': 5}
{'短评内容': '喜欢院子里的摇椅，喜欢木头的房间，喜欢客栈人的热情，喜欢一摸就倒的宝宝c', '短评打分': 5}
{'短评内容': '很舒服，管家态度很好，热情，早餐非常丰富，离酒吧街很近，但晚上睡觉一点也不吵，很愉快的一次旅行', '短评打分': 5}
{'短评内容': '硬件设施不错，品牌洗漱用品，洗衣机，地理位置也不错；老板比较热情', '短评打分': 3}
{'短评内容': '环境挺好，也很干净，老板人也不错，推荐', '短评打分': 5}
{'短评内容': '在束河古镇 住着很舒服 安静 阳光充足 坐在院子里很惬意 房间很干净 有洗衣间和晒衣服的地方 有免费的水果和矿泉水 早餐挺好 阿姨做的 性价比很高', '短评打分': 5}
{'短评内容': '该客栈令我很难忘：首先，地理位置好，但非常宁静。第二，客栈的配套非常齐全，很干净，走的是高端路线；第三，装修花了不少心思，可以感受到每个角落的布置都花了心思，每张椅子每盏灯都是精挑细选，独一无二的精品！氛围非常浪漫，每间房间都有一个美妙的命名。我住的沉香芳菲光线好，面积大，以紫色为主，非常浪漫。最重要的是每间房间外面都有个放空的露台，坐在特别的椅子上放空好正，感受束河的晨光！价格是贵了点，下次去束', '短评打分': 5}
{'短评内容': '个性的房间、优越的位置、热情的服务、特色的装饰，让人流连忘返。', '短评打分': 5}
{'短评内容': '整个客栈就像一个艺术展览馆，里面每一个房间都会有不同的风格，真让人想把每个房间都住过来，感受其中的浪漫。', '短评打分': 5}
{'短评内容': '环境很好，空气新鲜，里面的设施非常不错，齐全而且个性，装饰的很有情调。', '短评打分': 5}
