{'短评内容': '义乌威顿酒店很干净服务态度也好，这钱花的值！', '短评打分': 3}
{'短评内容': '住的地方比较幽静，就是的士都比较难找！！', '短评打分': 5}
{'短评内容': '一般的很，而且待遇不同也不在预订说明里标注，感觉很不好', '短评打分': 1}
{'短评内容': '大厅装饰的还是比较有品位的.有咖啡厅.酒店的服务态度比较好.房间很整洁.到火车站还算比较方便.到国贸商城比较近.', '短评打分': 5}
{'短评内容': '跟预期的有点落差，房间还算整洁，但是地毯没清洗有不干净的感觉！', '短评打分': 3}
{'短评内容': '一般吧感觉性价比不是很高', '短评打分': 3}
{'短评内容': '早餐一般，能饱。酒店楼道地毯及客房内设施较为陈旧。', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '地理位置还可以，离国际商贸城很近，走路15分钟就到，附近有宾王夜市，晚上很适合去逛逛。但是就酒店来说感觉不怎么样，前台接待人员没有穿工作服，也许太冷了；带我看房的人和之后帮我开门的人他们均已亲戚称呼，感觉这家酒店就是一家人在开，我住的房间窗户没办法关紧，是坏的，让我一夜不能入睡', '短评打分': 1}
{'短评内容': '这次入住，感觉比以前要降低不少，卫生间的洗刷用品只有一套且湿哒哒的。', '短评打分': 5}
{'短评内容': '＋圆床很有特色，服务还不错！', '短评打分': 3}
{'短评内容': '很不错.离展厅很近  服务态度也很好   就是早餐希望能改善', '短评打分': 3}
{'短评内容': '值得推荐的酒店。地理位置不错，就是早餐太差了。', '短评打分': 5}
{'短评内容': '位置很不错，距离义乌小商品城非常近，出行都很方便很多地方步行就直接过去了。', '短评打分': 5}
{'短评内容': '条件比较一般，配置硬件设施算是齐全达标的，服务还不错，有什么问题找服务人员效率很高。', '短评打分': 5}
{'短评内容': '床是圆床，房间面积比较小，名字叫豪华休闲房感觉不太掿调.服务也蛮一般的.', '短评打分': 1}
{'短评内容': '很不错  服务员态度也很好', '短评打分': 5}
{'短评内容': '不错，就是顶机票时出了点矛盾！！', '短评打分': 5}
{'短评内容': '酒店位于小商品贸易城旁边，步行可至，酒店设施较新，房间大小和布局都算合理，卫生条件也不错，不过服务有点慢，送东西要催，总的来说性价比还可以。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '酒店设施比较新，但电话和电视质量不好，坏了。', '短评打分': 5}
