{'短评内容': '不错的环境', '短评打分': 5}
{'短评内容': '连锁酒店也不能要求太高了，但是拖鞋只有塑料拖鞋', '短评打分': 4}
{'短评内容': '总之很满意', '短评打分': 5}
{'短评内容': '房间没牙具还要去前台拿', '短评打分': 3}
{'短评内容': '房间很吵，二楼时KTV酒吧，房间有异味很重，以后绝对不会去住了。', '短评打分': 2}
{'短评内容': '综合来说还不错，帮别人定的，价格合适', '短评打分': 3}
{'短评内容': '空调不给力。江边环境还可以。', '短评打分': 4}
{'短评内容': '服务还可以，环境一般，毕竟便宜', '短评打分': 4}
{'短评内容': '酒店靠近湿地公园，地理位置不错。离步行街很近，吃饭购物都方便。房间被褥干净，卫生间排水不畅通。总的感觉信价比较高。', '短评打分': 4}
{'短评内容': '还不错的环境，位置不是很好找，还算不错……', '短评打分': 5}
{'短评内容': '就是有点吵，其余都很好', '短评打分': 5}
{'短评内容': '不错，就是有点吵', '短评打分': 5}
{'短评内容': '真心不好', '短评打分': 2}
{'短评内容': '晚上楼下酒吧的音响震耳欲聋', '短评打分': 3}
