{'短评内容': '毗邻大学，位置不错。', '短评打分': 5}
{'短评内容': '好，宽敞，很好', '短评打分': 5}
{'短评内容': '位置不错，挺干净', '短评打分': 3}
{'短评内容': '位置不错', '短评打分': 5}
{'短评内容': '123698', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 4}
{'短评内容': '很不错，位置好，服务好!', '短评打分': 5}
{'短评内容': '有一点是最讨厌的，就是网络订房的客人，退房时间是12点，每超1小时收费20元，黑店呐？到下午五点费用就是100元，人家其它酒店都是按下午六点之前和之后收的是半日房费，和全日房费，问她们原因说是我们老板规定的，这老板的智商遥遥领先与广大群众呀，佩服，', '短评打分': 3}
{'短评内容': '房间环境挺好，面积业挺大，服务态度很好，离我朋友家很近，朋友推荐住这里，已经来住过很多次了，推荐选住！', '短评打分': 5}
{'短评内容': '不错。', '短评打分': 5}
{'短评内容': '下水道味道大', '短评打分': 3}
{'短评内容': '环境没那么好有蟑螂', '短评打分': 3}
{'短评内容': '环境还不错。前台服务人员态度就跟她家出事了一样，家里要出事就不要上班、不要接待。那副脸孔看见就欠抽。前台接待就要有个前台接待的样。别人不欠你的。就这素质一辈子也就是服务员的命了，连领班也做不成！！！', '短评打分': 3}
{'短评内容': '房间有点小，不过挺干净的，', '短评打分': 3}
{'短评内容': '挺好的，，，，，，，，，，，', '短评打分': 3}
{'短评内容': '还不错，服务周到，我们要一个牙刷，服务员还会给一些别的以防万一，服务的非常周到，下次还会光顾', '短评打分': 3}
{'短评内容': '各方面都比较满意的，下次还订这个酒店。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
